year,cbsa,cbsatitle,category,indicator,value
2000,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0
2001,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",-0.009400635
2002,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.007730942
2003,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.027636109
2004,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.05906868
2005,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.069868319
2006,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.077061459
2007,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.09470848
2008,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.084878922
2009,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.022805404
2010,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.022664795
2011,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.034360506
2012,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.058293916
2013,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.054996796
2014,10420,"Akron, OH",Growth,"Aggregate Wages, indexed to 2000",0.086187437
2000,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0
2001,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.009821548
2002,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.025056992
2003,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.011922303
2004,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0.001329117
2005,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0.01932106
2006,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0.023873139
2007,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0.029329987
2008,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0.026586991
2009,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.032753523
2010,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.039814912
2011,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.030122681
2012,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.017319337
2013,10420,"Akron, OH",Growth,"Employment, indexed to 2000",-0.013316345
2014,10420,"Akron, OH",Growth,"Employment, indexed to 2000",0.001357651
2000,10420,"Akron, OH",Growth,"Output, indexed to 2000",0
2001,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.005239639
2002,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.028812867
2003,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.068583377
2004,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.103652269
2005,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.118808821
2006,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.113287121
2007,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.120236896
2008,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.111354522
2009,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.034658585
2010,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.061960526
2011,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.086447984
2012,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.109826356
2013,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.110356674
2014,10420,"Akron, OH",Growth,"Output, indexed to 2000",0.138846204
2000,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0
2001,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.033767473
2002,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.032637175
2003,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.047743455
