Year,CBSA,CBSA Name,Composite,Rank,Score
2004-2014,10420,Akron; OH Metropolitan Statistical Area,Growth,88,-2.537715576
2004-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Growth,53,-0.838391062
2004-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Growth,76,-1.951881153
2004-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,Growth,43,-0.172871917
2004-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,Growth,38,0.224916216
2004-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,Growth,71,-1.71982948
2004-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Growth,1,9.494980787
2004-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Growth,8,4.686295425
2004-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,Growth,37,0.229815563
2004-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Growth,16,3.330593263
2004-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Growth,78,-2.104365394
2004-2014,14260,Boise City; ID Metropolitan Statistical Area,Growth,20,2.286974528
2004-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,Growth,27,0.823808759
2004-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,Growth,87,-2.531959502
2004-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,Growth,67,-1.591830477
2004-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Growth,41,-0.118802803
2004-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,Growth,15,3.374820502
2004-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,Growth,18,2.668048077
2004-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Growth,81,-2.251991201
2004-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,Growth,70,-1.713215323
2004-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Growth,66,-1.564630577
2004-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Growth,94,-3.186227237
2004-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Growth,42,-0.135802594
2004-2014,17900,Columbia; SC Metropolitan Statistical Area,Growth,40,-0.096312479
2004-2014,18140,Columbus; OH Metropolitan Statistical Area,Growth,32,0.518048713
2004-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,Growth,9,4.593146076
2004-2014,19380,Dayton; OH Metropolitan Statistical Area,Growth,98,-4.878077464
2004-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,Growth,93,-2.923232472
2004-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Growth,19,2.643898453
2004-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,Growth,21,2.092407529
2004-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Growth,99,-5.012746233
2004-2014,21340,El Paso; TX Metropolitan Statistical Area,Growth,13,3.448230118
2004-2014,23420,Fresno; CA Metropolitan Statistical Area,Growth,55,-0.906042948
2004-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Growth,68,-1.601694448
2004-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Growth,92,-2.791795803
2004-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,Growth,34,0.428962006
2004-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Growth,72,-1.743891124
2004-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,Growth,57,-1.073187386
2004-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,Growth,2,7.90286817
2004-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,Growth,48,-0.383404929
2004-2014,27140,Jackson; MS Metropolitan Statistical Area,Growth,61,-1.34241957
2004-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Growth,52,-0.813765405
2004-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Growth,46,-0.359193727
2004-2014,28940,Knoxville; TN Metropolitan Statistical Area,Growth,51,-0.630015289
2004-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Growth,74,-1.942247855
2004-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical Area,Growth,63,-1.38087402
2004-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Statistical Area,Growth,30,0.635775006
2004-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistical Area,Growth,56,-0.935510486
2004-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistical Area,Growth,45,-0.325953964
2004-2014,31540,Madison; WI Metropolitan Statistical Area,Growth,26,1.054824852
2004-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Growth,4,6.314506552
2004-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,Growth,90,-2.723517596
2004-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Statistical Area,Growth,54,-0.85466502
2004-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical Area,Growth,77,-2.052258887
2004-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Statistical Area,Growth,50,-0.562104679
2004-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolitan Statistical Area,Growth,14,3.426566385
2004-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Growth,91,-2.769926099
2004-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Growth,97,-4.315542272
2004-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statistical Area,Growth,35,0.377389614
2004-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical Area,Growth,82,-2.27751354
2004-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Growth,24,1.790227929
2004-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Growth,17,3.273865814
2004-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Growth,28,0.755722961
2004-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,Growth,25,1.580129103
2004-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,Growth,58,-1.172652447
2004-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,Growth,95,-3.691719329
2004-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,Growth,69,-1.681629836
2004-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Growth,29,0.688560177
2004-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Growth,49,-0.553258815
2004-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,Growth,12,3.891564431
2004-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Growth,89,-2.562925161
2004-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Growth,3,7.497496889
2004-2014,39580,Raleigh; NC Metropolitan Statistical Area,Growth,7,5.509953538
2004-2014,40060,Richmond; VA Metropolitan Statistical Area,Growth,47,-0.380657625
2004-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,Growth,44,-0.285356856
2004-2014,40380,Rochester; NY Metropolitan Statistical Area,Growth,85,-2.434518327
2004-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,Growth,73,-1.789045402
2004-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,Growth,80,-2.175507766
2004-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,Growth,10,4.476002093
2004-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,Growth,6,5.733989121
2004-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,Growth,39,0.179436377
2004-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical Area,Growth,22,1.931441457
2004-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistical Area,Growth,5,6.094190135
2004-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statistical Area,Growth,79,-2.158834379
2004-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,Growth,11,4.01948426
2004-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,Growth,36,0.308713776
2004-2014,44140,Springfield; MA Metropolitan Statistical Area,Growth,65,-1.455531159
2004-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,Growth,84,-2.413608832
2004-2014,45060,Syracuse; NY Metropolitan Statistical Area,Growth,83,-2.312054003
2004-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistical Area,Growth,62,-1.352669728
2004-2014,45780,Toledo; OH Metropolitan Statistical Area,Growth,96,-4.222792492
2004-2014,46060,Tucson; AZ Metropolitan Statistical Area,Growth,60,-1.22991925
2004-2014,46140,Tulsa; OK Metropolitan Statistical Area,Growth,23,1.831913075
2004-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,Growth,33,0.473751498
2004-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan Statistical Area,Growth,75,-1.946461812
