year,CBSA,CBSA_name,indicator,value
2000,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",0
2001,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.60090063
2002,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.97160017
2003,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.88509996
2004,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.69460313
2005,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.65454792
2006,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",113.61403717
2007,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",119.31411248
2008,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",122.48244099
2009,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",119.69347076
2010,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",118.27293174
2011,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",119.71166821
2012,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",124.06739458
2013,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",126.56210323
2014,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",132.92790047
2000,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",0
2001,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.059938291
2002,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.77309664
2003,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.76361051
2004,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.90686867
2005,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",106.98683384
2006,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.70614659
2007,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.4708513
2008,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.48789422
2009,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.2805417
2010,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.26647795
2011,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.43604837
2012,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.82939505
2013,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.49968121
2014,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.61874173
2000,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",0
2001,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.20251522
2002,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.45096742
2003,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.05562569
2004,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.82081635
2005,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.15541435
2006,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.33657316
2007,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.09307572
2008,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.20867186
2009,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",101.94741132
2010,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.44549033
2011,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",98.936443763
2012,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.150709196
2013,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",98.156235787
