Year,CBSA,CBSA Name,Race,Indicator,Value,SE
2000,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.085519612,0
2006,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.072082758,0.043589082
2007,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.00050205,0.034900662
2008,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.086608231,0.046714652
2009,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.037831306,0.038570601
2010,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.056772888,0.032896515
2011,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.002922952,0.041953869
2012,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.070876062,0.043197751
2013,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.039303184,0.039025873
2014,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Absolute Difference",0.025805354,0.032597668
2000,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",6591.228516,0
2006,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",1871.701172,3952.198486
2007,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",10282.26953,3660.26001
2008,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",3997.410156,4907.407715
2009,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",4361.929688,4461.750977
2010,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",5623.753906,2990.163086
2011,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",5013.447266,5365.228516
2012,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",10386.12891,2976.998535
2013,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",4087.628906,3069.333252
2014,10180,"Abilene, TX",Whites and People of Color,"Median Income, Absolute Difference",7058.974609,3612.529785
2000,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Absolute Difference",0.033912063,0
2006,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Absolute Difference",0.011557758,0.028602703
2007,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Absolute Difference",0.059608132,0.044622701
2008,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Absolute Difference",0.075086176,0.047407202
2009,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Absolute Difference",0.020524532,0.035533175
2010,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Absolute Difference",0.074057281,0.051313888
