year,CBSA,CBSA_name,indicator,value,rank
2004-2014,10180,Abilene; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2343041954,
2004-2014,10420,Akron; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0256062056,88
2004-2014,10500,Albany; GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.045023594,
2004-2014,10540,Albany; OR Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0700121544,
2004-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0945105278,55
2004-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0489592105,75
2004-2014,10780,Alexandria; LA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1207947366,
2004-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1183784051,43
2004-2014,11020,Altoona; PA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0404738874,
2004-2014,11100,Amarillo; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2248219962,
2004-2014,11180,Ames; IA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2051331002,
2004-2014,11260,Anchorage; AK Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2403126283,
2004-2014,11460,Ann Arbor; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.035406664,
2004-2014,11500,Anniston-Oxford-Jacksonville; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.095662975,
2004-2014,11540,Appleton; WI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.058694077,
2004-2014,11700,Asheville; NC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1024565575,
2004-2014,12020,Athens-Clarke County; GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1166502289,
2004-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1219867117,41
2004-2014,12100,Atlantic City-Hammonton; NJ Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.121893614,
2004-2014,12220,Auburn-Opelika; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1838444467,
2004-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0660600264,70
2004-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.445467384,2
2004-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3711635951,6
2004-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1356956155,39
2004-2014,12620,Bangor; ME Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0202636843,
2004-2014,12700,Barnstable Town; MA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0236590084,
2004-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3455253642,7
2004-2014,12980,Battle Creek; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.017429152,
2004-2014,13020,Bay City; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.055791871,
2004-2014,13140,Beaumont-Port Arthur; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2291338549,
2004-2014,13220,Beckley; WV Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1257568394,
2004-2014,13380,Bellingham; WA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2445387653,
2004-2014,13460,Bend-Redmond; OR Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2289858173,
2004-2014,13740,Billings; MT Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.278647031,
2004-2014,13780,Binghamton; NY Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.036298662,
2004-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0456404347,79
2004-2014,13900,Bismarck; ND Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.5753001743,
2004-2014,13980,Blacksburg-Christiansburg-Radford; VA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0619934158,
2004-2014,14010,Bloomington; IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1305867586,
2004-2014,14020,Bloomington; IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0843244321,
2004-2014,14100,Bloomsburg-Berwick; PA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3406502885,
2004-2014,14260,Boise City; ID Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1640094451,25
2004-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1688230815,24
2004-2014,14500,Boulder; CO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1551450486,
2004-2014,14540,Bowling Green; KY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1693427914,
2004-2014,14740,Bremerton-Silverdale; WA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.059601299,
2004-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0458860059,78
2004-2014,15180,Brownsville-Harlingen; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2227844235,
2004-2014,15260,Brunswick; GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.021845225,
2004-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0415500702,82
2004-2014,15500,Burlington; NC Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.028519068,
2004-2014,15540,Burlington-South Burlington; VT Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1288493725,
2004-2014,15680,California-Lexington Park; MD Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.291007113,
2004-2014,15940,Canton-Massillon; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0134410159,
2004-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1005500189,52
2004-2014,16020,Cape Girardeau; MO-IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0732169124,
2004-2014,16060,Carbondale-Marion; IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1499768191,
2004-2014,16180,Carson City; NV Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.101005852,
2004-2014,16220,Casper; WY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.4968804536,
2004-2014,16300,Cedar Rapids; IA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1834089703,
2004-2014,16540,Chambersburg-Waynesboro; PA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1648123729,
2004-2014,16580,Champaign-Urbana; IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0996663999,
2004-2014,16620,Charleston; WV Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0211606685,
2004-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2904105455,14
2004-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2325552524,20
2004-2014,16820,Charlottesville; VA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1935760337,
2004-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0735408218,66
2004-2014,16940,Cheyenne; WY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2750751975,
2004-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0686927512,69
2004-2014,17020,Chico; CA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1046780982,
2004-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0650217402,71
2004-2014,17300,Clarksville; TN-KY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2578303155,
2004-2014,17420,Cleveland; TN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0677352915,
2004-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.000060199,95
2004-2014,17660,Coeur d'Alene; ID Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1620835461,
2004-2014,17780,College Station-Bryan; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.38415617,
2004-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1531537221,31
2004-2014,17860,Columbia; MO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2478978304,
2004-2014,17900,Columbia; SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1236552236,40
2004-2014,17980,Columbus; GA-AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1753430918,
2004-2014,18020,Columbus; IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2674984564,
2004-2014,18140,Columbus; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1528829615,32
2004-2014,18580,Corpus Christi; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3120097452,
2004-2014,18700,Corvallis; OR Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0222607035,
2004-2014,18880,Crestview-Fort Walton Beach-Destin; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1356234542,
2004-2014,19060,Cumberland; MD-WV Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0797320533,
2004-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2784795742,15
2004-2014,19140,Dalton; GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.121423958,
2004-2014,19180,Danville; IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.05315056,
2004-2014,19300,Daphne-Fairhope-Foley; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2700925538,
2004-2014,19340,Davenport-Moline-Rock Island; IA-IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0893369754,
2004-2014,19380,Dayton; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.077769336,98
2004-2014,19460,Decatur; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0031194483,
2004-2014,19500,Decatur; IL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0481645544,
2004-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0335067397,86
2004-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2436535506,18
2004-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2118395223,22
2004-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.097422395,99
2004-2014,20020,Dothan; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.020023899,
2004-2014,20100,Dover; DE Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1002221914,
2004-2014,20220,Dubuque; IA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2085460164,
2004-2014,20260,Duluth; MN-WI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0813868618,
2004-2014,20500,Durham-Chapel Hill; NC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.198403532,
2004-2014,20700,East Stroudsburg; PA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0008059655,
2004-2014,20740,Eau Claire; WI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1681649436,
2004-2014,20940,El Centro; CA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2223266117,
2004-2014,21060,Elizabethtown-Fort Knox; KY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1923705449,
2004-2014,21140,Elkhart-Goshen; IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.015985662,
2004-2014,21300,Elmira; NY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1163321707,
2004-2014,21340,El Paso; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2998608063,13
2004-2014,21500,Erie; PA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0382910578,
2004-2014,21660,Eugene; OR Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0464614204,
2004-2014,21780,Evansville; IN-KY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.005932676,
2004-2014,21820,Fairbanks; AK Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1736489048,
2004-2014,22020,Fargo; ND-MN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.4543096796,
2004-2014,22140,Farmington; NM Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2390140311,
2004-2014,22180,Fayetteville; NC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1887286015,
2004-2014,22220,Fayetteville-Springdale-Rogers; AR-MO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3536069241,
2004-2014,22380,Flagstaff; AZ Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.21385297,
2004-2014,22420,Flint; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.217825456,
2004-2014,22500,Florence; SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0239457952,
