year,CBSA,CBSA_name,rank,score
2004-2014,10420,Akron; OH Metropolitan Statistical Area,88,-2.537715576
2004-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,53,-0.838391062
2004-2014,10740,Albuquerque; NM Metropolitan Statistical Area,76,-1.951881153
2004-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,43,-0.172871917
2004-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,38,0.224916216
2004-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,71,-1.71982948
2004-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,1,9.4949807871
2004-2014,12540,Bakersfield; CA Metropolitan Statistical Area,8,4.6862954245
2004-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,37,0.2298155629
2004-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,16,3.3305932626
2004-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,78,-2.104365394
2004-2014,14260,Boise City; ID Metropolitan Statistical Area,20,2.286974528
2004-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,27,0.8238087593
2004-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,87,-2.531959502
2004-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,67,-1.591830477
2004-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,41,-0.118802803
2004-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,15,3.3748205019
2004-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,18,2.6680480766
2004-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,81,-2.251991201
2004-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,70,-1.713215323
2004-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,66,-1.564630577
2004-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,94,-3.186227237
2004-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,42,-0.135802594
2004-2014,17900,Columbia; SC Metropolitan Statistical Area,40,-0.096312479
2004-2014,18140,Columbus; OH Metropolitan Statistical Area,32,0.5180487127
2004-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,9,4.5931460759
2004-2014,19380,Dayton; OH Metropolitan Statistical Area,98,-4.878077464
2004-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,93,-2.923232472
2004-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,19,2.6438984525
2004-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,21,2.0924075294
2004-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,99,-5.012746233
2004-2014,21340,El Paso; TX Metropolitan Statistical Area,13,3.4482301176
2004-2014,23420,Fresno; CA Metropolitan Statistical Area,55,-0.906042948
2004-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,68,-1.601694448
2004-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,92,-2.791795803
2004-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,34,0.4289620056
2004-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,72,-1.743891124
2004-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,57,-1.073187386
2004-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,2,7.9028681703
2004-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,48,-0.383404929
2004-2014,27140,Jackson; MS Metropolitan Statistical Area,61,-1.34241957
2004-2014,27260,Jacksonville; FL Metropolitan Statistical Area,52,-0.813765405
2004-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,46,-0.359193727
2004-2014,28940,Knoxville; TN Metropolitan Statistical Area,51,-0.630015289
