Year,CBSA,CBSA Name,Composite,Rank,Score
2000-2014,10420,"Akron, OH",Inclusion,90,-2.445293427
2000-2014,10580,"Albany-Schenectady-Troy, NY",Inclusion,39,0.259873092
2000-2014,10740,"Albuquerque, NM",Inclusion,44,0.111837745
2000-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Inclusion,60,-0.820677876
2000-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Inclusion,99,-3.618186474
2000-2014,12260,"Augusta-Richmond County, GA-SC",Inclusion,94,-2.906248093
2000-2014,12420,"Austin-Round Rock, TX",Inclusion,25,1.39098382
2000-2014,12540,"Bakersfield, CA",Inclusion,18,1.949599624
2000-2014,12580,"Baltimore-Columbia-Towson, MD",Inclusion,29,1.057925701
2000-2014,12940,"Baton Rouge, LA",Inclusion,3,5.127046585
2000-2014,13820,"Birmingham-Hoover, AL",Inclusion,49,-0.293466032
2000-2014,14260,"Boise City, ID",Inclusion,85,-2.083150148
2000-2014,14460,"Boston-Cambridge-Newton, MA-NH",Inclusion,40,0.256127477
2000-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Inclusion,68,-1.072660089
2000-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Inclusion,19,1.925241232
2000-2014,15980,"Cape Coral-Fort Myers, FL",Inclusion,84,-1.998449326
2000-2014,16700,"Charleston-North Charleston, SC",Inclusion,8,2.765910864
2000-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Inclusion,95,-2.912048101
2000-2014,16860,"Chattanooga, TN-GA",Inclusion,97,-3.042014599
2000-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Inclusion,43,0.116117001
2000-2014,17140,"Cincinnati, OH-KY-IN",Inclusion,48,-0.142227009
2000-2014,17460,"Cleveland-Elyria, OH",Inclusion,69,-1.174689293
2000-2014,17820,"Colorado Springs, CO",Inclusion,88,-2.311148405
2000-2014,17900,"Columbia, SC",Inclusion,92,-2.771696329
2000-2014,18140,"Columbus, OH",Inclusion,52,-0.457690775
2000-2014,19100,"Dallas-Fort Worth-Arlington, TX",Inclusion,51,-0.443725944
2000-2014,19380,"Dayton, OH",Inclusion,81,-1.830111265
2000-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Inclusion,76,-1.477627277
2000-2014,19740,"Denver-Aurora-Lakewood, CO",Inclusion,34,0.593429685
