Year,CBSA,CBSA Name,Composite,Rank,Score
2000-2014,10420,"Akron, OH",Race,99,-6.03708601
2000-2014,10580,"Albany-Schenectady-Troy, NY",Race,53,0.145673394
2000-2014,10740,"Albuquerque, NM",Race,14,2.209244013
2000-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Race,82,-1.980340004
2000-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Race,28,1.332239628
2000-2014,12260,"Augusta-Richmond County, GA-SC",Race,87,-2.509495974
2000-2014,12420,"Austin-Round Rock, TX",Race,64,-0.385312438
2000-2014,12540,"Bakersfield, CA",Race,10,2.6717031
2000-2014,12580,"Baltimore-Columbia-Towson, MD",Race,90,-3.234532356
2000-2014,12940,"Baton Rouge, LA",Race,40,0.654309571
2000-2014,13820,"Birmingham-Hoover, AL",Race,36,0.869182706
2000-2014,14260,"Boise City, ID",Race,7,3.056981087
2000-2014,14460,"Boston-Cambridge-Newton, MA-NH",Race,67,-0.49160096
2000-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Race,25,1.530509472
2000-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Race,72,-0.834637642
2000-2014,15980,"Cape Coral-Fort Myers, FL",Race,3,4.959665775
2000-2014,16700,"Charleston-North Charleston, SC",Race,85,-2.022415876
2000-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Race,56,-0.036522239
2000-2014,16860,"Chattanooga, TN-GA",Race,58,-0.063353062
2000-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Race,46,0.329402506
2000-2014,17140,"Cincinnati, OH-KY-IN",Race,91,-3.30966711
2000-2014,17460,"Cleveland-Elyria, OH",Race,95,-4.250388622
2000-2014,17820,"Colorado Springs, CO",Race,74,-1.303700686
2000-2014,17900,"Columbia, SC",Race,23,1.710707903
2000-2014,18140,"Columbus, OH",Race,97,-4.36725378
2000-2014,19100,"Dallas-Fort Worth-Arlington, TX",Race,42,0.485447824
2000-2014,19380,"Dayton, OH",Race,89,-2.72860527
2000-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Race,54,0.081216276
2000-2014,19740,"Denver-Aurora-Lakewood, CO",Race,45,0.37065345
2000-2014,19780,"Des Moines-West Des Moines, IA",Race,92,-3.419254065
2000-2014,19820,"Detroit-Warren-Dearborn, MI",Race,78,-1.461659789
2000-2014,21340,"El Paso, TX",Race,9,2.754859209
2000-2014,23420,"Fresno, CA",Race,30,1.315021157
2000-2014,24340,"Grand Rapids-Wyoming, MI",Race,96,-4.290107727
2000-2014,24660,"Greensboro-High Point, NC",Race,62,-0.205942005
2000-2014,24860,"Greenville-Anderson-Mauldin, SC",Race,38,0.694029272
2000-2014,25420,"Harrisburg-Carlisle, PA",Race,84,-2.021624804
2000-2014,25540,"Hartford-West Hartford-East Hartford, CT",Race,49,0.270068288
2000-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Race,22,1.74148345
2000-2014,26900,"Indianapolis-Carmel-Anderson, IN",Race,33,1.02156806
2000-2014,27140,"Jackson, MS",Race,15,2.207281828
2000-2014,27260,"Jacksonville, FL",Race,65,-0.390449166
2000-2014,28140,"Kansas City, MO-KS",Race,41,0.623950005
2000-2014,28940,"Knoxville, TN",Race,93,-4.075044632
2000-2014,29460,"Lakeland-Winter Haven, FL",Race,79,-1.519450426
2000-2014,29820,"Las Vegas-Henderson-Paradise, NV",Race,6,3.379425287
2000-2014,30780,"Little Rock-North Little Rock-Conway, AR",Race,35,0.873825192
2000-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Race,12,2.4915452
2000-2014,31140,"Louisville/Jefferson County, KY-IN",Race,17,2.006736279
2000-2014,31540,"Madison, WI",Race,68,-0.531971693
2000-2014,32580,"McAllen-Edinburg-Mission, TX",Race,1,5.126244545
2000-2014,32820,"Memphis, TN-MS-AR",Race,43,0.412159592
2000-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Race,11,2.620202065
2000-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Race,66,-0.48881644
