year,CBSA,CBSA_name,indicator,value
2000,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",100
2001,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",101.1954295
2002,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.9850614
2003,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.8753123
2004,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",107.2654342
2005,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.3117445
2006,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",108.5214825
2007,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.3500192
2008,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.6216699
2009,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.9974914
2010,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.7169547
2011,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",114.8391621
2012,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",118.4311926
2013,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",119.0437204
2014,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",122.8915609
2000,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",100
2001,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",100.0425133
2002,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.3630664
2003,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.0035711
2004,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.7662937
2005,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.9589126
2006,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.1948156
2007,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.3515591
2008,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.678228
2009,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.7440306
2010,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.5070492
2011,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.6485878
2012,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",107.6945914
2013,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.9235121
