year,CBSA,CBSA_name,indicator,value,rank
2004-2014,10420,Akron; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0256062056,88
2004-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0945105278,55
2004-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0489592105,75
2004-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1183784051,43
2004-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1219867117,41
2004-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0660600264,70
2004-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.445467384,2
2004-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3711635951,6
2004-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1356956155,39
2004-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3455253642,7
2004-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0456404347,79
2004-2014,14260,Boise City; ID Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1640094451,25
2004-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1688230815,24
2004-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0458860059,78
2004-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0415500702,82
2004-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1005500189,52
2004-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2904105455,14
2004-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2325552524,20
2004-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0735408218,66
2004-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0686927512,69
2004-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0650217402,71
2004-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.000060199,95
2004-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1531537221,31
2004-2014,17900,Columbia; SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1236552236,40
2004-2014,18140,Columbus; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1528829615,32
2004-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2784795742,15
2004-2014,19380,Dayton; OH Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.077769336,98
2004-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0335067397,86
2004-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2436535506,18
2004-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2118395223,22
2004-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,-0.097422395,99
2004-2014,21340,El Paso; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.2998608063,13
2004-2014,23420,Fresno; CA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1206902984,42
2004-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0612792312,72
2004-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0194641065,91
2004-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1490213733,35
2004-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0774664248,64
2004-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0795636297,63
2004-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.520259719,1
2004-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0848634581,60
2004-2014,27140,Jackson; MS Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0954238576,54
2004-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.103859203,49
2004-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1049888409,47
2004-2014,28940,Knoxville; TN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.11564865,44
2004-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.072016662,68
2004-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0596121152,73
2004-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1081962622,45
2004-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0722052789,67
2004-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.0993779095,53
2004-2014,31540,Madison; WI Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.1640003483,26
2004-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Percent Change in Aggregate Wages,0.3752732529,5
