year,CBSA,CBSA_name,indicator,value
2000,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",0
2001,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.059938291
2002,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.77309664
2003,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.76361051
2004,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.90686867
2005,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",106.98683384
2006,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.70614659
2007,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.4708513
2008,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.48789422
2009,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.2805417
2010,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.26647795
2011,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.43604837
2012,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.82939505
2013,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.49968121
2014,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.61874173
2000,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",0
2001,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.37675004
2002,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.26372012
2003,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.7743489
2004,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.68333762
2005,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.10264873
2006,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.31063751
2007,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.79425527
2008,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.79245373
2009,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.90942453
2010,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.98665514
2011,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.85727836
2012,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",110.10583259
