Year,CBSA,CBSA Name,Race,Indicator,Value,SE
2000-2014,10180,"Abilene, TX",White,Percent Change in Median Earnings,0.070965037,0.088476159
2000-2014,10180,"Abilene, TX",Black,Percent Change in Median Earnings,-0.286023259,0.187743992
2000-2014,10180,"Abilene, TX",Hispanic,Percent Change in Median Earnings,0.110630438,0.153085157
2000-2014,10180,"Abilene, TX",Asian,Percent Change in Median Earnings,0.102464065,0.289341092
2000-2014,10180,"Abilene, TX",Other,Percent Change in Median Earnings,-0.488857597,0.474072218
2000-2014,10180,"Abilene, TX",Total,Percent Change in Median Earnings,0.058365468,0.063190445
2009-2014,10180,"Abilene, TX",White,Percent Change in Median Earnings,-0.001268862,0.125015274
2009-2014,10180,"Abilene, TX",Black,Percent Change in Median Earnings,-0.465020031,0.347280264
2009-2014,10180,"Abilene, TX",Hispanic,Percent Change in Median Earnings,-0.075248897,0.218132436
2009-2014,10180,"Abilene, TX",Asian,Percent Change in Median Earnings,0.616697609,0.720907331
2009-2014,10180,"Abilene, TX",Other,Percent Change in Median Earnings,-0.517521143,0.543320298
2009-2014,10180,"Abilene, TX",Total,Percent Change in Median Earnings,-0.071379699,0.095961556
2013-2014,10180,"Abilene, TX",White,Percent Change in Median Earnings,0.065751046,0.114693888
2013-2014,10180,"Abilene, TX",Black,Percent Change in Median Earnings,-0.372032195,0.193725601
2013-2014,10180,"Abilene, TX",Hispanic,Percent Change in Median Earnings,-0.013193483,0.236288801
2013-2014,10180,"Abilene, TX",Asian,Percent Change in Median Earnings,0.121371068,0.463462353
2013-2014,10180,"Abilene, TX",Other,Percent Change in Median Earnings,-0.526332855,0.565318227
2013-2014,10180,"Abilene, TX",Total,Percent Change in Median Earnings,-0.013193468,0.091915242
2000-2014,10180,"Abilene, TX",White,Percent Change in Relative Income Poverty Rate,-0.117734388,0.081147917
2000-2014,10180,"Abilene, TX",Black,Percent Change in Relative Income Poverty Rate,0.271202177,0.530726254
2000-2014,10180,"Abilene, TX",Hispanic,Percent Change in Relative Income Poverty Rate,-0.100904942,0.122482285
2000-2014,10180,"Abilene, TX",Asian,Percent Change in Relative Income Poverty Rate,-0.786370039,0.259430438
2000-2014,10180,"Abilene, TX",Other,Percent Change in Relative Income Poverty Rate,0.838891029,0.378789395
2000-2014,10180,"Abilene, TX",Total,Percent Change in Relative Income Poverty Rate,-0.062556371,0.071474008
2009-2014,10180,"Abilene, TX",White,Percent Change in Relative Income Poverty Rate,-0.198198348,0.097921893
2009-2014,10180,"Abilene, TX",Black,Percent Change in Relative Income Poverty Rate,0.13433516,0.540843427
2009-2014,10180,"Abilene, TX",Hispanic,Percent Change in Relative Income Poverty Rate,-0.053589445,0.253976494
2009-2014,10180,"Abilene, TX",Asian,Percent Change in Relative Income Poverty Rate,-0.842528105,0.222752824
2009-2014,10180,"Abilene, TX",Other,Percent Change in Relative Income Poverty Rate,0.385309577,0.608995914
2009-2014,10180,"Abilene, TX",Total,Percent Change in Relative Income Poverty Rate,-0.139041379,0.082858391
2013-2014,10180,"Abilene, TX",White,Percent Change in Relative Income Poverty Rate,-0.136898428,0.111517787
2013-2014,10180,"Abilene, TX",Black,Percent Change in Relative Income Poverty Rate,0.643649459,0.823874891
2013-2014,10180,"Abilene, TX",Hispanic,Percent Change in Relative Income Poverty Rate,-0.173870727,0.179122403
2013-2014,10180,"Abilene, TX",Asian,Percent Change in Relative Income Poverty Rate,-0.786304355,0.405556768
2013-2014,10180,"Abilene, TX",Other,Percent Change in Relative Income Poverty Rate,2.041284561,2.483807564
2013-2014,10180,"Abilene, TX",Total,Percent Change in Relative Income Poverty Rate,-0.081704237,0.125970006
2000-2014,10180,"Abilene, TX",White,Percent Change in Employment-to-Population Ratio,-0.006768832,0.029558495
2000-2014,10180,"Abilene, TX",Black,Percent Change in Employment-to-Population Ratio,0.343791038,0.05321477
2000-2014,10180,"Abilene, TX",Hispanic,Percent Change in Employment-to-Population Ratio,0.126210123,0.054163497
2000-2014,10180,"Abilene, TX",Asian,Percent Change in Employment-to-Population Ratio,0.237669334,0.237734839
2000-2014,10180,"Abilene, TX",Other,Percent Change in Employment-to-Population Ratio,-0.089531608,0.198658481
2000-2014,10180,"Abilene, TX",Total,Percent Change in Employment-to-Population Ratio,0.037041374,0.025736576
2009-2014,10180,"Abilene, TX",White,Percent Change in Employment-to-Population Ratio,-0.042822879,0.036906313
2009-2014,10180,"Abilene, TX",Black,Percent Change in Employment-to-Population Ratio,0.26320684,0.153609917
2009-2014,10180,"Abilene, TX",Hispanic,Percent Change in Employment-to-Population Ratio,0.026232621,0.076558553
2009-2014,10180,"Abilene, TX",Asian,Percent Change in Employment-to-Population Ratio,0.20455642,0.334530592
2009-2014,10180,"Abilene, TX",Other,Percent Change in Employment-to-Population Ratio,-0.334807307,0.151762113
2009-2014,10180,"Abilene, TX",Total,Percent Change in Employment-to-Population Ratio,-0.015381536,0.034988303
2013-2014,10180,"Abilene, TX",White,Percent Change in Employment-to-Population Ratio,0.040535238,0.049735166
2013-2014,10180,"Abilene, TX",Black,Percent Change in Employment-to-Population Ratio,0.033618685,0.089707822
2013-2014,10180,"Abilene, TX",Hispanic,Percent Change in Employment-to-Population Ratio,0.017440932,0.08000353
2013-2014,10180,"Abilene, TX",Asian,Percent Change in Employment-to-Population Ratio,0.024376597,0.244789839
2013-2014,10180,"Abilene, TX",Other,Percent Change in Employment-to-Population Ratio,0.014879921,0.353048623
2013-2014,10180,"Abilene, TX",Total,Percent Change in Employment-to-Population Ratio,0.033851117,0.042715009
2000-2014,10420,"Akron, OH",White,Percent Change in Median Earnings,-0.100389354,0.024190448
2000-2014,10420,"Akron, OH",Black,Percent Change in Median Earnings,-0.289781034,0.115690261
2000-2014,10420,"Akron, OH",Hispanic,Percent Change in Median Earnings,-0.100389339,0.185267463
2000-2014,10420,"Akron, OH",Asian,Percent Change in Median Earnings,-0.437743306,0.109092571
2000-2014,10420,"Akron, OH",Other,Percent Change in Median Earnings,-0.526520729,0.08407107
2000-2014,10420,"Akron, OH",Total,Percent Change in Median Earnings,-0.100389339,0.030069945
2009-2014,10420,"Akron, OH",White,Percent Change in Median Earnings,-0.043360937,0.040942132
2009-2014,10420,"Akron, OH",Black,Percent Change in Median Earnings,-0.273121417,0.137960151
2009-2014,10420,"Akron, OH",Hispanic,Percent Change in Median Earnings,0.849502087,0.730918765
2009-2014,10420,"Akron, OH",Asian,Percent Change in Median Earnings,-0.352674246,0.133712634
2009-2014,10420,"Akron, OH",Other,Percent Change in Median Earnings,-0.260199189,0.36964044
2009-2014,10420,"Akron, OH",Total,Percent Change in Median Earnings,-0.041984491,0.037369646
2013-2014,10420,"Akron, OH",White,Percent Change in Median Earnings,-0.045025941,0.039806727
2013-2014,10420,"Akron, OH",Black,Percent Change in Median Earnings,-0.192612812,0.154558778
2013-2014,10420,"Akron, OH",Hispanic,Percent Change in Median Earnings,0.184167787,0.262364119
2013-2014,10420,"Akron, OH",Asian,Percent Change in Median Earnings,-0.424362868,0.228175506
2013-2014,10420,"Akron, OH",Other,Percent Change in Median Earnings,0.184167787,0.379098117
2013-2014,10420,"Akron, OH",Total,Percent Change in Median Earnings,-0.052665755,0.038257267
2000-2014,10420,"Akron, OH",White,Percent Change in Relative Income Poverty Rate,0.05275074,0.043089423
2000-2014,10420,"Akron, OH",Black,Percent Change in Relative Income Poverty Rate,0.232058957,0.123801924
2000-2014,10420,"Akron, OH",Hispanic,Percent Change in Relative Income Poverty Rate,-0.166948229,0.218239576
2000-2014,10420,"Akron, OH",Asian,Percent Change in Relative Income Poverty Rate,0.20339641,0.258756697
2000-2014,10420,"Akron, OH",Other,Percent Change in Relative Income Poverty Rate,0.677914083,0.229450718
2000-2014,10420,"Akron, OH",Total,Percent Change in Relative Income Poverty Rate,0.095740601,0.041957602
2009-2014,10420,"Akron, OH",White,Percent Change in Relative Income Poverty Rate,0.005302578,0.052323174
2009-2014,10420,"Akron, OH",Black,Percent Change in Relative Income Poverty Rate,0.338585734,0.19574368
2009-2014,10420,"Akron, OH",Hispanic,Percent Change in Relative Income Poverty Rate,-0.473438412,0.153614894
2009-2014,10420,"Akron, OH",Asian,Percent Change in Relative Income Poverty Rate,0.193063721,0.487156034
2009-2014,10420,"Akron, OH",Other,Percent Change in Relative Income Poverty Rate,0.227036059,0.287838131
2009-2014,10420,"Akron, OH",Total,Percent Change in Relative Income Poverty Rate,0.050086007,0.048966177
2013-2014,10420,"Akron, OH",White,Percent Change in Relative Income Poverty Rate,0.036048748,0.050982557
2013-2014,10420,"Akron, OH",Black,Percent Change in Relative Income Poverty Rate,0.055960298,0.151012182
2013-2014,10420,"Akron, OH",Hispanic,Percent Change in Relative Income Poverty Rate,-0.091743708,0.330634475
2013-2014,10420,"Akron, OH",Asian,Percent Change in Relative Income Poverty Rate,0.466736674,0.505502522
2013-2014,10420,"Akron, OH",Other,Percent Change in Relative Income Poverty Rate,0.008791037,0.174001291
2013-2014,10420,"Akron, OH",Total,Percent Change in Relative Income Poverty Rate,0.041793644,0.049775492
2000-2014,10420,"Akron, OH",White,Percent Change in Employment-to-Population Ratio,-0.035028268,0.011025004
2000-2014,10420,"Akron, OH",Black,Percent Change in Employment-to-Population Ratio,-0.115126289,0.051299989
2000-2014,10420,"Akron, OH",Hispanic,Percent Change in Employment-to-Population Ratio,0.212233245,0.080619596
2000-2014,10420,"Akron, OH",Asian,Percent Change in Employment-to-Population Ratio,-0.175406307,0.093147919
2000-2014,10420,"Akron, OH",Other,Percent Change in Employment-to-Population Ratio,0.129004762,0.140830591
2000-2014,10420,"Akron, OH",Total,Percent Change in Employment-to-Population Ratio,-0.048646197,0.010868949
2009-2014,10420,"Akron, OH",White,Percent Change in Employment-to-Population Ratio,0.034557078,0.017420014
2009-2014,10420,"Akron, OH",Black,Percent Change in Employment-to-Population Ratio,-0.080916062,0.073542751
2009-2014,10420,"Akron, OH",Hispanic,Percent Change in Employment-to-Population Ratio,0.449253649,0.253038168
2009-2014,10420,"Akron, OH",Asian,Percent Change in Employment-to-Population Ratio,-0.296680093,0.101879232
2009-2014,10420,"Akron, OH",Other,Percent Change in Employment-to-Population Ratio,0.346950144,0.320585966
2009-2014,10420,"Akron, OH",Total,Percent Change in Employment-to-Population Ratio,0.018709274,0.016669335
2013-2014,10420,"Akron, OH",White,Percent Change in Employment-to-Population Ratio,0.029606758,0.016809942
2013-2014,10420,"Akron, OH",Black,Percent Change in Employment-to-Population Ratio,-0.103492737,0.066436686
2013-2014,10420,"Akron, OH",Hispanic,Percent Change in Employment-to-Population Ratio,0.010186533,0.10778594
2013-2014,10420,"Akron, OH",Asian,Percent Change in Employment-to-Population Ratio,-0.136958688,0.116604879
2013-2014,10420,"Akron, OH",Other,Percent Change in Employment-to-Population Ratio,-0.009867284,0.156023279
2013-2014,10420,"Akron, OH",Total,Percent Change in Employment-to-Population Ratio,0.010013067,0.015186518
2000-2014,10500,"Albany, GA",White,Percent Change in Median Earnings,0.110096499,0.070162617
2000-2014,10500,"Albany, GA",Black,Percent Change in Median Earnings,-0.001994381,0.088803023
2000-2014,10500,"Albany, GA",Hispanic,Percent Change in Median Earnings,-0.077899009,0.683681965
2000-2014,10500,"Albany, GA",Asian,Percent Change in Median Earnings,1.061607838,0.830851674
2000-2014,10500,"Albany, GA",Other,Percent Change in Median Earnings,-0.0473736,0.868774712
2000-2014,10500,"Albany, GA",Total,Percent Change in Median Earnings,-0.031519644,0.06817992
2009-2014,10500,"Albany, GA",White,Percent Change in Median Earnings,0.227686822,0.132766545
