Year,CBSA,CBSA Name,Race,Indicator,Value,SE
2000,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.053619634,0
2006,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.273507059,0.074861631
2007,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.112663925,0.08711125
2008,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.078261614,0.065142632
2009,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.131047174,0.039751347
2010,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.162035033,0.054939024
2011,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.097524956,0.058867525
2012,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.09282241,0.050566945
2013,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.100470565,0.05379181
2014,10180,"Abilene, TX",All races,"Employment Ratio, Mean Absolute Difference",0.106024981,0.060462445
2000,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",3685.70752,0
2006,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",15207.57031,1910.286743
2007,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",10510.76367,2858.369385
2008,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",10526.5127,4252.833008
2009,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",5583.270508,3059.401855
2010,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",5623.754883,3670.766846
2011,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",7658.837402,3692.155518
2012,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",11217.01953,4110.919434
2013,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",2656.959473,2620.820557
2014,10180,"Abilene, TX",All races,"Median Income, Mean Absolute Difference",8269.084961,2802.243896
2000,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.018237937,0
2006,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.344904333,0.066042803
2007,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.241359279,0.071923025
2008,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.056468509,0.099666171
2009,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.050711762,0.071358532
2010,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.104168974,0.112545736
2011,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.197246507,0.100086607
2012,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.239492804,0.066458181
2013,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.074795365,0.063188009
2014,10180,"Abilene, TX",All races,"Relative Income Poverty, Mean Absolute Difference",0.201595664,0.050923351
2000,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.070813477,0
2006,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.124705121,0.040470958
2007,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.080696285,0.027603615
2008,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.106473602,0.041151602
2009,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.137947351,0.050700206
2010,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.067190483,0.03033286
2011,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.129628271,0.031268038
2012,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.103518739,0.031196872
2013,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.077704683,0.033818934
2014,10420,"Akron, OH",All races,"Employment Ratio, Mean Absolute Difference",0.131854787,0.025757179
2000,10420,"Akron, OH",All races,"Median Income, Mean Absolute Difference",6456.713379,0
2006,10420,"Akron, OH",All races,"Median Income, Mean Absolute Difference",7486.803711,3303.79248
2007,10420,"Akron, OH",All races,"Median Income, Mean Absolute Difference",7723.125977,1894.650635
2008,10420,"Akron, OH",All races,"Median Income, Mean Absolute Difference",9105.209961,1754.246826
2009,10420,"Akron, OH",All races,"Median Income, Mean Absolute Difference",10904.82617,2049.134033
2010,10420,"Akron, OH",All races,"Median Income, Mean Absolute Difference",5623.754395,2607.347168
