year,CBSA,CBSA_name,indicator,value
2000,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",0
2001,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",101.19542953
2002,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.98506135
2003,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.87531231
2004,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",107.26543419
2005,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.31174454
2006,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",108.52148249
2007,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.35001923
2008,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.62166993
2009,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.99749144
2010,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",113.71695468
2011,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",114.83916212
2012,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",118.43119263
2013,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",119.04372035
2014,10180,Abilene; TX Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",122.89156086
2000,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",0
2001,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",100.0425133
2002,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.36306637
2003,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.0035711
2004,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.76629374
2005,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.95891262
2006,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.19481561
2007,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.35155913
2008,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.67822798
2009,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.7440306
2010,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.5070492
2011,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.64858783
2012,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",107.69459143
2013,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.92351208
2014,10420,Akron; OH Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",108.47147263
2000,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",0
2001,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",102.53222138
2002,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.7584103
2003,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.58524045
2004,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.61193499
2005,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.70019199
2006,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.55379164
2007,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.28050316
2008,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",103.9965373
2009,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.45958424
2010,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",106.52725542
2011,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.19619116
2012,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",105.82581525
2013,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.75358715
2014,10500,Albany; GA Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",104.61308169
2000,10540,Albany; OR Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",0
2001,10540,Albany; OR Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",100.82675062
2002,10540,Albany; OR Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",102.48744689
2003,10540,Albany; OR Metropolitan Statistical Area,"Average Annual Wage, indexed to 2000",102.59220464
