Year,CBSA,CBSA Name,Composite,Rank,Score
2004-2014,10420,Akron; OH Metropolitan Statistical Area,Prosperity,67,-0.976018817
2004-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Prosperity,23,1.871284916
2004-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Prosperity,80,-2.155689081
2004-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical,Prosperity,36,0.279648505
2004-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical,Prosperity,82,-2.329513743
2004-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Ar,Prosperity,85,-2.474041193
2004-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Prosperity,11,3.351981476
2004-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Prosperity,30,0.631746852
2004-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Are,Prosperity,19,2.030242465
2004-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Prosperity,13,2.731937749
2004-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Prosperity,56,-0.33605777
2004-2014,14260,Boise City; ID Metropolitan Statistical Area,Prosperity,71,-1.33875406
2004-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Ar,Prosperity,18,2.201755082
2004-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical A,Prosperity,84,-2.460541279
2004-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statist,Prosperity,24,1.622736972
2004-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Prosperity,100,-6.912255291
2004-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical A,Prosperity,29,0.907654693
2004-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical,Prosperity,50,-0.031927877
2004-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Prosperity,75,-1.963062973
2004-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistica,Prosperity,55,-0.308181266
2004-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Prosperity,47,0.046612408
2004-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Prosperity,44,0.125798927
2004-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Prosperity,64,-0.624155956
2004-2014,17900,Columbia; SC Metropolitan Statistical Area,Prosperity,69,-1.168101112
2004-2014,18140,Columbus; OH Metropolitan Statistical Area,Prosperity,35,0.318125387
2004-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical A,Prosperity,12,3.135044751
2004-2014,19380,Dayton; OH Metropolitan Statistical Area,Prosperity,83,-2.366758406
2004-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statis,Prosperity,95,-3.660342905
2004-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Prosperity,32,0.520110063
2004-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Ar,Prosperity,60,-0.518984267
2004-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Prosperity,88,-2.582888367
2004-2014,21340,El Paso; TX Metropolitan Statistical Area,Prosperity,6,4.173649849
2004-2014,23420,Fresno; CA Metropolitan Statistical Area,Prosperity,70,-1.323890327
2004-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Prosperity,89,-2.685960191
2004-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Prosperity,73,-1.673849198
2004-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical A,Prosperity,48,0.041921859
2004-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Prosperity,62,-0.604737011
2004-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Stat,Prosperity,49,0.01342295
2004-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statisti,Prosperity,4,5.396339397
2004-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical,Prosperity,78,-2.099795299
2004-2014,27140,Jackson; MS Metropolitan Statistical Area,Prosperity,39,0.242010518
2004-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Prosperity,98,-3.922924708
2004-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Prosperity,46,0.054447496
2004-2014,28940,Knoxville; TN Metropolitan Statistical Area,Prosperity,57,-0.368005257
2004-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Prosperity,97,-3.917951719
2004-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical,Prosperity,99,-6.534606278
2004-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Stat,Prosperity,10,3.38546684
2004-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistica,Prosperity,26,1.183592294
2004-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistica,Prosperity,52,-0.134860762
2004-2014,31540,Madison; WI Metropolitan Statistical Area,Prosperity,16,2.361937361
2004-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Prosperity,31,0.596897156
2004-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,Prosperity,77,-2.030355605
2004-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Sta,Prosperity,92,-2.883097419
2004-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical,Prosperity,65,-0.646355387
2004-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Stati,Prosperity,63,-0.61514646
2004-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolita,Prosperity,21,1.955556978
2004-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Prosperity,79,-2.099846483
2004-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Prosperity,22,1.902111906
2004-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statist,Prosperity,17,2.330086058
2004-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical,Prosperity,96,-3.791164007
2004-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Prosperity,58,-0.495521725
2004-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Prosperity,5,4.450912173
2004-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Prosperity,33,0.439648008
2004-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Are,Prosperity,91,-2.767116788
2004-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical,Prosperity,34,0.387742855
2004-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical,Prosperity,90,-2.705187353
2004-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan S,Prosperity,45,0.080013237
2004-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Prosperity,72,-1.376112441
2004-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Prosperity,7,3.508132911
2004-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistic,Prosperity,2,7.801866174
2004-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Prosperity,38,0.254488088
2004-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Prosperity,20,1.992523357
2004-2014,39580,Raleigh; NC Metropolitan Statistical Area,Prosperity,41,0.233416029
2004-2014,40060,Richmond; VA Metropolitan Statistical Area,Prosperity,61,-0.599204912
2004-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statisti,Prosperity,87,-2.529154758
2004-2014,40380,Rochester; NY Metropolitan Statistical Area,Prosperity,81,-2.218911002
2004-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Stati,Prosperity,76,-1.968044799
2004-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,Prosperity,53,-0.215712893
2004-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,Prosperity,14,2.726966942
2004-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Are,Prosperity,15,2.681105011
2004-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,Prosperity,27,1.138089584
2004-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical,Prosperity,8,3.480013311
2004-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistica,Prosperity,1,10.64673361
2004-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statisti,Prosperity,54,-0.30662037
2004-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,Prosperity,3,5.647938964
2004-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,Prosperity,28,1.034741692
2004-2014,44140,Springfield; MA Metropolitan Statistical Area,Prosperity,37,0.263135081
2004-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,Prosperity,93,-3.071759801
2004-2014,45060,Syracuse; NY Metropolitan Statistical Area,Prosperity,42,0.223188958
2004-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistic,Prosperity,68,-1.159826524
2004-2014,45780,Toledo; OH Metropolitan Statistical Area,Prosperity,74,-1.835855647
2004-2014,46060,Tucson; AZ Metropolitan Statistical Area,Prosperity,51,-0.065608429
2004-2014,46140,Tulsa; OK Metropolitan Statistical Area,Prosperity,9,3.455476631
2004-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,Prosperity,25,1.40208818
2004-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan St,Prosperity,40,0.234949528
2004-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan,Prosperity,43,0.164507086
2004-2014,48620,Wichita; KS Metropolitan Statistical Area,Prosperity,59,-0.501351357
2004-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,Prosperity,94,-3.124583563
2004-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,Prosperity,66,-0.677288792
2004-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical,Prosperity,86,-2.502116681
2009-2014,10420,Akron; OH Metropolitan Statistical Area,Prosperity,20,2.162926477
2009-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Prosperity,32,1.190556918
2009-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Prosperity,83,-2.195434586
2009-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical,Prosperity,34,1.115896985
2009-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical,Prosperity,62,-1.019024635
2009-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Ar,Prosperity,89,-2.837688081
2009-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Prosperity,3,4.7674265
2009-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Prosperity,94,-4.17359059
2009-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Are,Prosperity,52,-0.05924733
2009-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Prosperity,41,0.369211983
2009-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Prosperity,36,0.745863804
2009-2014,14260,Boise City; ID Metropolitan Statistical Area,Prosperity,64,-1.276819714
2009-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Ar,Prosperity,16,2.650869496
2009-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical A,Prosperity,74,-1.553025569
2009-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statist,Prosperity,28,1.547703944
2009-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Prosperity,97,-4.427827481
2009-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical A,Prosperity,44,0.186026874
2009-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical,Prosperity,21,2.000664455
2009-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Prosperity,67,-1.328087047
2009-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistica,Prosperity,45,0.144968445
2009-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Prosperity,18,2.221724455
2009-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Prosperity,14,2.776877646
2009-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Prosperity,75,-1.630825527
2009-2014,17900,Columbia; SC Metropolitan Statistical Area,Prosperity,82,-2.194005813
2009-2014,18140,Columbus; OH Metropolitan Statistical Area,Prosperity,19,2.171849919
2009-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical A,Prosperity,5,3.984012646
2009-2014,19380,Dayton; OH Metropolitan Statistical Area,Prosperity,40,0.412502324
2009-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statis,Prosperity,88,-2.653119812
2009-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Prosperity,56,-0.374961239
2009-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Ar,Prosperity,17,2.248273033
2009-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Prosperity,4,4.068574478
2009-2014,21340,El Paso; TX Metropolitan Statistical Area,Prosperity,7,3.758208539
2009-2014,23420,Fresno; CA Metropolitan Statistical Area,Prosperity,93,-3.442771438
2009-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Prosperity,22,1.941809667
2009-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Prosperity,77,-1.801056328
2009-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical A,Prosperity,53,-0.21012687
2009-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Prosperity,39,0.437540953
2009-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Stat,Prosperity,72,-1.493909821
2009-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statisti,Prosperity,2,5.87961037
2009-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical,Prosperity,84,-2.210007154
2009-2014,27140,Jackson; MS Metropolitan Statistical Area,Prosperity,76,-1.661307839
2009-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Prosperity,85,-2.455211197
2009-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Prosperity,46,0.109836721
2009-2014,28940,Knoxville; TN Metropolitan Statistical Area,Prosperity,54,-0.22044283
2009-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Prosperity,95,-4.182375332
2009-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical,Prosperity,100,-6.20931379
