"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"05000","Arkansas state total","5","CA4","10","...","Personal income (thousands of dollars)",5129597,5635770,6273038,7082421,8381299,9361505,10317199,11382348,12660634,14678754,16085794,17360546,19647661,20666289,21979252,24467205,26075227,27390577,28467554,30524089,32748282,34454491,36402860,39713570,41691458,44262434,47045204,49936446,52327705,55571019,57900855,61024355,64205161,65648968,69484022,74000021,77842228,83224052,88847496,93070119,91672159,93561655,100171552,107443010,108603298
"05000","Arkansas state total","5","CA4","11","...","  Nonfarm personal income 1/",4786947,5224074,5869592,6604399,7473089,8534578,9529844,10751006,11945236,13513280,15101731,16999308,18807545,20033224,21570198,23593589,25220028,26594723,27542801,29190894,31523879,33422511,35291658,38300188,40373048,42812997,45580253,48030242,50531861,53989139,56111285,59336476,62211770,64391462,67084315,71245367,75975641,81738776,87007100,90760237,90296800,92356244,98725975,105275198,106027795
"05000","Arkansas state total","5","CA4","12","...","  Farm income 2/",342650,411696,403446,478022,908210,826927,787355,631342,715398,1165474,984063,361238,840116,633065,409054,873616,855199,795854,924753,1333195,1224403,1031980,1111202,1413382,1318410,1449437,1464951,1906204,1795844,1581880,1789570,1687879,1993391,1257506,2399707,2754654,1866587,1485276,1840396,2309882,1375359,1205411,1445577,2167812,2575503
"05000","Arkansas state total","5","CA4","20","...","Population (persons) 3/",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922280,2938506,2949828,2959373
"05000","Arkansas state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2681,2920,3181,3509,4072,4457,4780,5248,5736,6550,7089,7585,8568,9008,9532,10547,11205,11746,12153,13030,13957,14621,15275,16438,16973,17747,18555,19415,20118,21160,21834,22782,23854,24261,25500,26912,27990,29494,31189,32377,31646,32017,34089,36423,36698
"05000","Arkansas state total","5","CA4","35","...","Earnings by place of work",4129773,4451584,4923230,5619258,6700533,7316183,7749180,8647886,9710387,11397926,12335614,12668068,14057960,14295317,15244048,17314789,18309055,19348036,20539551,22277904,23500013,24824989,26390409,29027860,30490195,32578684,34356887,36240029,37949028,40487982,42823434,44958313,46937955,47788921,51054617,54442245,56211033,58992980,61349610,62881205,61024744,62220195,64581945,68091833,69863592
"05000","Arkansas state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",278076,296095,340037,404704,524375,608524,638331,744772,847290,987347,1133719,1219986,1422240,1497994,1638329,1868653,2005443,2140765,2251236,2506564,2674759,2965450,3149236,3409381,3618934,3908221,4109682,4251486,4460136,4733618,4962235,5195938,5349797,5513639,5715497,6000765,6353451,6819232,7099086,7392678,7392728,7612905,7116002,7268738,8281710
"05000","Arkansas state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",138455,147866,168593,197254,253428,293346,309728,348680,394404,456221,525754,574503,674843,719365,776723,866068,964908,1041042,1111291,1253025,1372102,1512563,1617055,1749108,1850395,2006157,2103202,2171829,2290437,2413976,2547165,2661585,2766690,2875451,2970539,3127146,3347006,3625448,3798513,3962095,3959976,4051773,3379126,3437178,4436916
"05000","Arkansas state total","5","CA4","38","...","  Employer contributions for government social insurance",139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2638188,2744958,2873619,3006445,3193784,3300573,3430583,3432752,3561132,3736876,3831560,3844794
"05000","Arkansas state total","5","CA4","42","...","Plus: Adjustment for residence 6/",31637,23108,22000,21612,17865,11193,9069,-1008,-6963,-11499,-13479,-3517,-23085,-20496,-50251,-69352,-75322,-101014,-123586,-157488,-161260,-220071,-247591,-271412,-307700,-334488,-304267,-300644,-305288,-306499,-321852,-359616,-349205,-371785,-373182,-381552,-371253,-363353,-334988,-318682,-272503,-215576,-164722,-212120,-215838
