"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"04000","Arizona state total","6","CA4","10","...","Personal income (thousands of dollars)",6309880,7180112,8206023,9404333,10860099,12242125,13161612,14657478,16475753,19435390,22882984,26355205,30111113,31876676,35022456,39692439,44047498,48287072,52219519,56251007,60461798,63347429,66542734,70956360,76399486,83823467,91210440,98865534,107334952,117882827,125458462,136949927,143499305,148853407,156784751,170838836,189280632,209900700,221175458,224661187,215635941,217855645,229719194,239929270,245070457
"04000","Arizona state total","6","CA4","11","...","  Nonfarm personal income 1/",6110271,7004057,8009635,9203924,10626771,11865832,12950502,14336037,16217729,19126588,22493455,25887569,29706283,31489109,34703677,39176187,43565769,47824882,51596839,55502323,59784038,62719378,65817899,70297542,75625779,83267991,90408372,98149245,106617619,117033481,124641140,136167153,142776823,148115591,156085947,169847067,188315397,209221643,220377155,224054076,215183355,217212335,228608582,239243657,244210362
"04000","Arizona state total","6","CA4","12","...","  Farm income 2/",199609,176055,196388,200409,233328,376293,211110,321441,258024,308802,389529,467636,404830,387567,318779,516252,481729,462190,622680,748684,677760,628051,724835,658818,773707,555476,802068,716289,717333,849346,817322,782774,722482,737816,698804,991769,965235,679057,798303,607111,452586,643310,1110612,685613,860095
"04000","Arizona state total","6","CA4","20","...","Population (persons) 3/",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408790,6468796,6551149,6626624
"04000","Arizona state total","6","CA4","30","...","Per capita personal income (dollars) 4/",3633,4000,4328,4681,5110,5504,5757,6243,6788,7719,8672,9627,10715,11031,11796,12941,13836,14596,15193,15912,16692,17195,17564,18121,18792,19746,20578,21554,22659,24140,24973,26538,27212,27585,28453,30224,32416,34814,35860,35772,33995,33993,35512,36624,36983
"04000","Arizona state total","6","CA4","35","...","Earnings by place of work",4990182,5571941,6355561,7349331,8531224,9479740,9703502,10912032,12405572,14720263,17483444,19617010,21796864,22595522,24708093,28286570,31530854,34664186,37552224,40778969,42261670,44403367,47204398,50737594,54753529,60105583,65434192,71598971,77888983,86829653,93668175,103080322,108006399,111394914,116106947,126180303,138299069,153494901,159928440,159790623,149814205,149982064,156986413,163835157,169520756
"04000","Arizona state total","6","CA4","36","...","Less: Contributions for government social insurance 5/",322189,361663,429885,524531,695027,790974,816242,916127,1061005,1291612,1605806,1821692,2191449,2314955,2580146,3017915,3434650,3804831,4074939,4563387,4873437,5269145,5627105,6016356,6488135,7169201,7483234,8373481,8976283,9784924,10486179,11417314,11946096,12350254,12830700,13897568,15254256,16728805,17696022,17901014,17067145,17263808,16012808,16560117,19335806
"04000","Arizona state total","6","CA4","37","...","  Employee and self-employed contributions for government social insurance",160396,179606,211186,254323,338400,386803,397925,438502,508175,612880,766742,875159,1062507,1131780,1248454,1437611,1682200,1865863,2009321,2263993,2445147,2627103,2814046,3004587,3250387,3608675,3959686,4249807,4590947,5028861,5430306,5905053,6151764,6363146,6642746,7219625,7987320,8785233,9233500,9326152,8998036,9146779,7578709,7811308,10327938
"04000","Arizona state total","6","CA4","38","...","  Employer contributions for government social insurance",161793,182057,218699,270208,356627,404171,418317,477625,552830,678732,839064,946533,1128942,1183175,1331692,1580304,1752450,1938968,2065618,2299394,2428290,2642042,2813059,3011769,3237748,3560526,3523548,4123674,4385336,4756063,5055873,5512261,5794332,5987108,6187954,6677943,7266936,7943572,8462522,8574862,8069109,8117029,8434099,8748809,9007868
"04000","Arizona state total","6","CA4","42","...","Plus: Adjustment for residence 6/",-26103,-29564,-28854,-32032,-30690,-40729,-47002,-47390,-56568,-69852,-71656,-80546,-15653,-8571,2296,5500,18517,38833,65321,107550,165612,226495,222450,249676,266458,277635,295373,325679,361208,409613,470075,529067,581224,562977,591100,650903,676414,690293,732675,749044,678936,684825,714433,771828,780965
