"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"06000","California state total","8","CA4","10","...","Personal income (thousands of dollars)",92173937,99440680,106005497,116355563,127636686,142322040,157355533,174467895,193561591,220507216,250010535,283799138,318785061,340782971,368628471,409946849,443303545,476217672,513581994,557975272,600986019,643662461,664750059,701159877,717991182,740731676,779045712,828470736,881168588,960077145,1026378246,1134033801,1174581326,1193641064,1244534708,1321815484,1395992214,1499308841,1564289335,1596229973,1537094676,1578553439,1685635498,1805193769,1856614186
"06000","California state total","8","CA4","11","...","  Nonfarm personal income 1/",90507792,97771956,104343472,114231729,124768685,138752224,154155021,171083128,190117634,217119891,245545808,278320589,314536297,336281673,364485812,405143989,438461802,470929842,507107393,551177947,594331279,636687016,658708505,694634551,710522377,733457620,772146706,820662988,872795011,952173794,1017816722,1125580787,1166599150,1185128999,1234887067,1310005800,1384229759,1489332395,1551934122,1585608597,1525511256,1566450721,1670131620,1789879773,1839959838
"06000","California state total","8","CA4","12","...","  Farm income 2/",1666145,1668724,1662025,2123834,2868001,3569816,3200512,3384767,3443957,3387325,4464727,5478549,4248764,4501298,4142659,4802860,4841743,5287830,6474601,6797325,6654740,6975445,6041554,6525326,7468805,7274056,6899006,7807748,8373577,7903351,8561524,8453014,7982176,8512065,9647641,11809684,11762455,9976446,12355213,10621376,11583420,12102718,15503878,15313996,16654348
"06000","California state total","8","CA4","20","...","Population (persons) 3/",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37333601,37668681,37999878,38332521
"06000","California state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4676,4966,5210,5653,6116,6722,7306,7954,8660,9655,10751,11924,13126,13730,14536,15862,16766,17571,18489,19603,20569,21484,21816,22637,22957,23527,24578,25874,27125,29104,30639,33366,34066,34229,35303,37156,38964,41623,43152,43608,41587,42282,44749,47505,48434
"06000","California state total","8","CA4","35","...","Earnings by place of work",74596842,78652837,82923696,91785799,101273856,111546517,120788434,135218030,151620482,173858217,198135895,220242675,241216098,255410267,276139806,308687441,335729989,364128449,399651401,437466113,463747587,496059684,512257042,537636254,547328483,563637833,587778009,623807878,669623723,733775358,798624107,892561539,920422283,936025088,972098604,1034658757,1079025721,1137403558,1173528431,1180632471,1125308321,1148398867,1209592581,1287682583,1338611887
"06000","California state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",4827173,5017584,5449349,6333131,7973075,9013253,9599500,10977857,12559939,14805558,17663050,19262450,23092685,24994425,27640681,32061047,35322704,38688097,42355341,47729280,51064568,54273221,56411496,58517025,59531314,61692079,63538516,65645276,69727637,75084912,81356074,90069271,94914950,97817094,102878176,112446011,117533982,120861208,122664387,124913866,120967828,121851969,114457816,119018798,140117426
"06000","California state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",2446044,2541798,2732443,3122697,3914710,4443540,4740718,5268060,5992773,6954800,8366363,9028018,11044947,12090375,13268189,15150668,17068687,19008777,21221505,24108686,25910909,27483761,28893512,29993022,30712701,31993237,33264352,34421894,36254621,39102919,42473103,47153058,49335714,50390872,52003543,56116838,59231723,62097475,64052881,66573942,65498076,66270722,56048431,58074273,76446331
"06000","California state total","8","CA4","38","...","  Employer contributions for government social insurance",2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58611506,58339924,55469752,55581247,58409385,60944525,63671095
"06000","California state total","8","CA4","42","...","Plus: Adjustment for residence 6/",-142108,-108367,-118595,-121283,-104877,-102222,14342,117598,-22089,-22442,624,-72559,292509,301901,306766,250019,199382,160253,82243,42801,23372,-35287,-25284,-32212,35084,48705,37361,27970,-57256,-59488,-68807,-240981,-226412,-184919,-195179,-221937,-177143,-177472,-134868,-71299,-93476,-185811,-250605,-346632,-367278
