"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"08000","Colorado state total","7","CA4","10","...","Personal income (thousands of dollars)",8362617,9447721,10654052,12056548,13774616,15431087,17007525,18707668,20868467,24074736,27637575,31661243,36453307,39978289,42963711,46893797,49555903,51506817,53456515,56556763,61188912,64843598,68683311,74703057,80924154,87187612,94759322,102202376,109974945,122328072,132644126,148098695,155918402,156031593,159330219,166624930,177818529,191699362,202598581,212101724,206437621,210454100,226144657,240349703,247068771
"08000","Colorado state total","7","CA4","11","...","  Nonfarm personal income 1/",8114189,9161616,10355747,11726828,13338618,14900457,16548538,18377609,20609188,23872683,27427040,31377986,36154356,39800743,42610825,46476612,49169321,51117344,52988998,55989590,60580363,64145257,68058491,74039650,80126192,86627056,94239183,101553147,109323516,121539857,131733236,147341622,154870362,155342738,158601291,165704343,176719093,190934083,201616765,211191447,205670219,209517355,224806107,238976889,245673883
"08000","Colorado state total","7","CA4","12","...","  Farm income 2/",248428,286105,298305,329720,435998,530630,458987,330059,259279,202053,210535,283257,298951,177546,352886,417185,386582,389473,467517,567173,608549,698341,624820,663407,797962,560556,520139,649229,651429,788215,910890,757073,1048040,688855,728928,920587,1099436,765279,981816,910277,767402,936745,1338550,1372814,1394888
"08000","Colorado state total","7","CA4","20","...","Population (persons) 3/",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048196,5118400,5189458,5268367
"08000","Colorado state total","7","CA4","30","...","Per capita personal income (dollars) 4/",3861,4248,4625,5014,5519,6072,6576,7107,7741,8702,9700,10885,12241,13058,13711,14793,15444,15910,16395,17337,18679,19604,20278,21369,22394,23411,24763,26072,27369,29716,31387,34227,35230,34748,35182,36421,38390,40611,42174,43377,41518,41689,44183,46315,46897
"08000","Colorado state total","7","CA4","35","...","Earnings by place of work",6724983,7495076,8474660,9702455,11150187,12384129,13407359,14859586,16688001,19387462,22397060,25291786,28774344,31263055,33361250,36517512,38581940,40006327,41440001,44054666,46634670,49768210,53152418,58313435,63401162,67828060,72747004,78681110,85371755,95823477,105835284,118962166,125322139,124991650,126951436,133157836,140922356,149678819,155174048,162423774,156552334,159588297,165944292,175778783,182848341
"08000","Colorado state total","7","CA4","36","...","Less: Contributions for government social insurance 5/",387394,427041,498874,606017,797652,905460,967164,1104660,1260596,1506688,1838849,2106381,2598275,2908114,3129876,3538765,3834565,4020794,4121254,4530295,4887616,5333818,5856413,6358540,6986715,7557400,8074506,8625617,9300157,9709411,10548606,11702964,12313813,12726448,12959630,13830692,14686669,15591455,16421562,17107008,16489399,16704122,15792646,16492843,19199717
"08000","Colorado state total","7","CA4","37","...","  Employee and self-employed contributions for government social insurance",195227,213470,246644,294096,388514,443429,471553,521613,595302,705238,870349,1008675,1256414,1410146,1494050,1659891,1854568,1955555,2012234,2221551,2421020,2630014,2895071,3132118,3422470,3723448,4019368,4309512,4656255,5088644,5540744,6136327,6454529,6443334,6531343,6871451,7280498,7832927,8363997,8746704,8527731,8602385,7087769,7356220,9892329
"08000","Colorado state total","7","CA4","38","...","  Employer contributions for government social insurance",192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284,6283114,6428287,6959241,7406171,7758528,8057565,8360304,7961668,8101737,8704877,9136623,9307388
"08000","Colorado state total","7","CA4","42","...","Plus: Adjustment for residence 6/",2273,1427,2509,3890,2825,3987,8213,8219,10925,19233,19141,27026,2954,8,-2354,6290,15127,20147,31466,46143,62974,85842,96995,112256,124263,142188,163372,181981,205465,231455,261164,288733,337637,346337,358503,379177,393120,415902,449242,459270,433585,447880,493657,517463,509086
"08000","Colorado state total","7","CA4","45","...","Equals: Net earnings by place of residence",6339862,7069462,7978295,9100328,10355360,11482656,12448408,13763145,15438330,17900007,20577352,23212431,26179023,28354949,30229020,32985037,34762502,36005680,37350213,39570514,41810028,44520234,47393000,52067151,56538710,60412848,64835870,70237474,76277063,86345521,95547842,107547935,113345963,112611539,114350309,119706321,126628807,134503266,139201728,145776036,140496520,143332055,150645303,159803403,164157710
"08000","Colorado state total","7","CA4","46","...","Plus: Dividends, interest, and rent 7/",1417468,1647987,1826020,2013538,2311545,2665073,2948764,3186123,3565260,4143946,4778490,5802446,7166229,8100923,8836869,9800287,10492613,10886166,11131576,11755206,13549457,14076821,14355070,14846130,16032647,17916331,20007240,21700384,23274391,25340493,25751974,28556823,29460656,28627280,29482796,30732714,33715477,38451728,43332691,44121811,39960498,38464476,45802107,50107666,51310178
"08000","Colorado state total","7","CA4","47","...","Plus: Personal current transfer receipts",605287,730272,849737,942682,1107711,1283358,1610353,1758400,1864877,2030783,2281733,2646366,3108055,3522417,3897822,4108473,4300788,4614971,4974726,5231043,5829427,6246543,6935241,7789776,8352797,8858433,9916212,10264518,10423491,10642058,11344310,11993937,13111783,14792774,15497114,16185895,17474245,18744368,20064162,22203877,25980603,28657569,29697247,30438634,31600883
"08000","Colorado state total","7","CA4","50","...","Wages and salaries",5140971,5730841,6444366,7340808,8429982,9276232,10050053,11219253,12575772,14636512,17002454,19406993,22305631,24423662,25552000,27848600,29406259,30316014,31234885,32821289,34644459,37121757,39638625,42725158,45976104,49345518,53161778,57442452,62753633,69857397,76636393,86411500,89129887,88089377,89280694,93569091,98787261,105664224,112506406,116681682,112301001,113789997,118559035,125135249,129597201
"08000","Colorado state total","7","CA4","60","...","Supplements to wages and salaries",653734,749296,890595,1066892,1223296,1372808,1579399,1768976,2042881,2371044,2783179,3188544,3734991,4189996,4600157,5074272,5506061,5838665,6017211,6479011,7154466,7809970,8589962,9855077,10714363,11331938,11677167,12266927,13167225,13995218,15209185,17098960,18208143,18555634,19523765,20598323,22049896,22482870,23067806,23828683,24532961,24901504,24948109,26161480,27574267
"08000","Colorado state total","7","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",461567,535725,638365,754971,814158,910777,1083788,1185929,1377587,1569594,1814679,2090838,2393130,2692028,2964331,3195398,3526064,3773426,3908191,4170267,4687870,5106166,5628620,6628655,7150118,7497986,7622029,7950822,8523323,9374451,10201323,11532323,12348859,12272520,13095478,13639082,14643725,14724342,15010241,15468379,16571293,16799767,16243232,17024857,18266879
"08000","Colorado state total","7","CA4","62","...","  Employer contributions for government social insurance",192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284,6283114,6428287,6959241,7406171,7758528,8057565,8360304,7961668,8101737,8704877,9136623,9307388
"08000","Colorado state total","7","CA4","70","...","Proprietors' income 9/",930278,1014939,1139699,1294755,1496909,1735089,1777907,1871357,2069348,2379906,2611427,2696249,2733722,2649397,3209093,3594640,3669620,3851648,4187905,4754366,4835745,4836483,4923831,5733200,6710695,7150604,7908059,8971731,9450897,11970862,13989706,15451706,17984109,18346639,18146977,18990422,20085199,21531725,19599836,21913409,19718372,20896796,22437148,24482054,25676873
"08000","Colorado state total","7","CA4","71","...","  Farm proprietors' income",178291,213953,232214,259614,346095,436282,365447,233873,151348,61821,59523,127592,148981,21617,203785,271397,239259,251909,330233,414207,446498,511863,447346,488653,594008,299856,241978,378439,327282,464886,584021,384629,666812,262114,358819,532260,667764,357916,522335,464584,273671,503854,909166,909562,818072
"08000","Colorado state total","7","CA4","72","...","  Nonfarm proprietors' income",751987,800986,907485,1035141,1150814,1298807,1412460,1637484,1918000,2318085,2551904,2568657,2584741,2627780,3005308,3323243,3430361,3599739,3857672,4340159,4389247,4324620,4476485,5244547,6116687,6850748,7666081,8593292,9123615,11505976,13405685,15067077,17317297,18084525,17788158,18458162,19417435,21173809,19077501,21448825,19444701,20392942,21527982,23572492,24858801
"08000","Colorado state total","7","CA4","7010","...","Total employment",1001380,1031727,1071644,1149119,1243393,1275871,1285326,1339513,1410620,1506123,1592700,1650988,1716627,1759629,1788112,1883141,1915363,1913687,1902784,1968280,2002612,2039626,2086939,2134517,2233513,2345496,2424617,2519426,2629239,2734774,2811556,2924168,2949392,2922561,2914219,2964448,3040896,3112200,3220435,3255872,3171835,3142152,3203526,3265393,3351702
"08000","Colorado state total","7","CA4","7020","...","  Wage and salary employment",835412,860244,893078,957397,1037817,1063172,1066726,1108788,1164343,1250204,1325688,1363980,1414479,1437282,1445608,1517285,1537544,1529930,1529785,1555782,1600792,1640204,1662469,1718743,1794543,1874954,1944157,2010606,2092468,2172785,2247839,2331747,2346994,2305927,2277327,2301880,2351292,2404895,2454794,2482214,2378317,2349153,2387218,2444227,2514654
"08000","Colorado state total","7","CA4","7040","...","  Proprietors employment",165968,171483,178566,191722,205576,212699,218600,230725,246277,255919,267012,287008,302148,322347,342504,365856,377819,383757,372999,412498,401820,399422,424470,415774,438970,470542,480460,508820,536771,561989,563717,592421,602398,616634,636892,662568,689604,707305,765641,773658,793518,792999,816308,821166,837048
"08001","Adams, CO ","7","CA4","10","...","Personal income (thousands of dollars)",644243,704864,798371,903021,1015818,1116779,1224897,1345690,1516182,1789735,2056772,2366547,2662732,2911989,3121888,3388198,3569578,3682495,3751365,3880422,4094950,4317818,4569738,4992838,5416679,5828525,6294824,6735060,7403658,8158120,8975135,10024659,10744837,10755820,10986279,11369411,11877109,12641474,13467767,13839557,14071066,14122431,15060869,16097968,16578475
"08001","Adams, CO ","7","CA4","11","...","  Nonfarm personal income 1/",631839,695977,790780,894781,1008723,1104818,1208349,1339896,1510981,1781445,2052860,2353821,2656552,2911510,3113466,3379070,3552106,3661235,3735115,3861943,4077275,4305595,4558787,4972406,5385741,5815147,6274126,6719351,7382107,8140452,8959617,10012150,10726343,10742961,10976284,11342180,11846436,12613544,13431490,13806899,14036618,14090501,15024081,16058031,16540689
"08001","Adams, CO ","7","CA4","12","...","  Farm income 2/",12404,8887,7591,8240,7095,11961,16548,5794,5201,8290,3912,12726,6180,479,8422,9128,17472,21260,16250,18479,17675,12223,10951,20432,30938,13378,20698,15709,21551,17668,15518,12509,18494,12859,9995,27231,30673,27930,36277,32658,34448,31930,36788,39937,37786
"08001","Adams, CO ","7","CA4","20","...","Population (persons) 3/",182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443492,451709,460057,469193
"08001","Adams, CO ","7","CA4","30","...","Per capita personal income (dollars) 4/",3527,3768,4120,4428,4796,5202,5598,5996,6654,7470,8362,9576,10594,11249,11909,12795,13371,13757,13972,14551,15546,16194,16659,17558,18424,19287,20083,20838,22269,23778,25343,27318,28543,29011,29106,29546,30058,31093,32394,32570,32295,31844,33342,34991,35334
"08001","Adams, CO ","7","CA4","35","...","Earnings by place of work",318529,359890,426747,528955,613579,668328,769809,838974,964424,1153157,1299468,1486833,1645685,1792423,1918886,2098241,2270742,2328207,2391621,2526787,2768546,2977385,3209510,3626799,4007501,4302325,4476251,4679371,5056798,5605341,6259038,6917834,7581438,7680794,7763009,8147098,8586088,9006037,9369262,9600955,9669552,9633150,10798779,11267003,12009490
"08001","Adams, CO ","7","CA4","36","...","Less: Contributions for government social insurance 5/",17278,19932,24598,33064,44474,48756,55456,63235,75184,93249,111529,127761,153245,172125,186683,209177,230105,237334,241860,264855,295776,326174,362906,407578,458220,494553,513440,531657,564736,581302,645196,701899,771016,816191,822412,880767,939238,991618,1034352,1071026,1042611,1043534,1030980,1069706,1267755
"08001","Adams, CO ","7","CA4","37","...","  Employee and self-employed contributions for government social insurance",8687,9863,11921,15755,21352,23662,26684,29384,34750,42594,51534,60041,73086,82745,88430,97690,110977,115503,118097,129743,145978,160185,177443,196673,218479,240236,250524,260164,280075,304281,337563,365472,400128,405708,407973,429876,454023,485119,517774,532919,529645,523759,447503,458886,630368
"08001","Adams, CO ","7","CA4","38","...","  Employer contributions for government social insurance",8591,10069,12677,17309,23122,25094,28772,33851,40434,50655,59995,67720,80159,89380,98253,111487,119128,121831,123763,135112,149798,165989,185463,210905,239741,254317,262916,271493,284661,277021,307633,336427,370888,410483,414439,450891,485215,506499,516578,538107,512966,519775,583477,610820,637387
"08001","Adams, CO ","7","CA4","42","...","Plus: Adjustment for residence 6/",227788,228859,242812,239583,259425,280134,250143,283042,311980,366099,454490,513127,576962,612462,627815,673877,659135,669798,650114,623871,546994,550594,539818,504457,491568,534886,650658,804808,1051085,1190511,1329575,1621598,1589070,1456591,1474883,1605489,1643753,1850833,1959270,1902808,1766263,1609837,881873,1123093,886510
"08001","Adams, CO ","7","CA4","45","...","Equals: Net earnings by place of residence",529039,568817,644961,735474,828530,899706,964496,1058781,1201220,1426007,1642429,1872199,2069402,2232760,2360018,2562941,2699772,2760671,2799875,2885803,3019764,3201805,3386422,3723678,4040849,4342658,4613469,4952522,5543147,6214550,6943417,7837533,8399492,8321194,8415480,8871820,9290603,9865252,10294180,10432737,10393204,10199453,10649672,11320390,11628245
"08001","Adams, CO ","7","CA4","46","...","Plus: Dividends, interest, and rent 7/",77987,89587,98569,105826,115416,128398,142580,155839,175047,207496,235156,284917,341890,386859,434572,478953,504580,524646,518212,530686,576190,587913,609637,630765,692925,766049,861157,929564,991106,1057550,1088539,1193200,1274019,1266151,1330337,1208002,1213304,1309642,1596953,1620433,1571970,1563658,1959101,2290724,2370925
"08001","Adams, CO ","7","CA4","47","...","Plus: Personal current transfer receipts",37217,46460,54841,61721,71872,88675,117821,131070,139915,156232,179187,209431,251440,292370,327298,346304,365226,397178,433278,463933,498996,528100,573679,638395,682905,719818,820198,852974,869405,886020,943179,993926,1071326,1168475,1240462,1289589,1373202,1466580,1576634,1786387,2105892,2359320,2452096,2486854,2579305
"08001","Adams, CO ","7","CA4","50","...","Wages and salaries",243837,280077,330536,410587,480330,516608,592801,650673,752475,897845,1024214,1170918,1307256,1433375,1506578,1630078,1746869,1763240,1797964,1880302,2053267,2209428,2393934,2674932,2939087,3160259,3354778,3531473,3790455,4184231,4697244,5142630,5398926,5437285,5448494,5753914,6094181,6436792,6801214,7142817,7043939,7065792,8026811,8389058,8950160
"08001","Adams, CO ","7","CA4","60","...","Supplements to wages and salaries",34313,40357,51234,63614,73056,82472,98605,108299,126901,151366,172948,198149,225285,250953,276171,302412,331759,347356,358502,387956,450743,493890,551290,658944,725046,762146,772422,802103,847301,888032,967519,1072386,1130294,1165334,1211400,1270661,1374481,1369449,1416196,1469353,1577195,1592902,1758170,1838455,1969087
"08001","Adams, CO ","7","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",25722,30288,38557,46305,49934,57378,69833,74448,86467,100711,112953,130429,145126,161573,177918,190925,212631,225525,234739,252844,300945,327901,365827,448039,485305,507829,509506,530610,562640,611011,659886,735959,759406,754851,796961,819770,889266,862950,899618,931246,1064229,1073127,1174693,1227635,1331700
"08001","Adams, CO ","7","CA4","62","...","  Employer contributions for government social insurance",8591,10069,12677,17309,23122,25094,28772,33851,40434,50655,59995,67720,80159,89380,98253,111487,119128,121831,123763,135112,149798,165989,185463,210905,239741,254317,262916,271493,284661,277021,307633,336427,370888,410483,414439,450891,485215,506499,516578,538107,512966,519775,583477,610820,637387
"08001","Adams, CO ","7","CA4","70","...","Proprietors' income 9/",40379,39456,44977,54754,60193,69248,78403,80002,85048,103946,102306,117766,113144,108095,136137,165751,192114,217611,235155,258529,264536,274067,264286,292923,343368,379920,349051,345795,419042,533078,594275,702818,1052218,1078175,1103115,1122523,1117426,1199796,1151852,988785,1048418,974456,1013798,1039490,1090243
"08001","Adams, CO ","7","CA4","71","...","  Farm proprietors' income",8716,5139,4214,4705,2686,7401,11866,824,-535,685,-4225,4389,-1734,-7750,688,1683,10044,14412,9496,10399,8583,1223,13,9239,18447,-1890,5005,1026,4615,-608,-4111,-11020,-6629,-16415,-16563,-1736,-3010,-5027,-2405,-4576,-6831,-4293,872,1069,-10755
"08001","Adams, CO ","7","CA4","72","...","  Nonfarm proprietors' income",31663,34317,40763,50049,57507,61847,66537,79178,85583,103261,106531,113377,114878,115845,135449,164068,182070,203199,225659,248130,255953,272844,264273,283684,324921,381810,344046,344769,414427,533686,598386,713838,1058847,1094590,1119678,1124259,1120436,1204823,1154257,993361,1055249,978749,1012926,1038421,1100998
