"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",3873745,4290610,4726397,5086509,5470335,5931653,6432805,6876180,7454621,8163649,8997968,10041569,11105322,12091069,13019986,14400600,15416699,16562905,17625644,19108987,21052026,22023820,22774308,24219447,24988419,25903418,26817731,27735975,29226707,30544775,31864889,33997548,35658183,35719705,37421210,39651963,41445582,43733835,45909359,48293676,48791784,50562202,52385803,54703561,55742119
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",3827942,4245939,4682660,5045208,5422211,5888885,6394443,6831242,7421773,8120174,8938689,9982072,11049413,12038149,12977954,14352622,15360417,16498116,17555273,19048223,20976770,21947258,22713589,24146914,24911191,25842742,26760768,27647065,29189913,30463490,31774683,33908089,35549428,35657288,37342708,39553958,41350848,43664437,45826237,48216982,48744134,50491873,52279200,54618775,55634263
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","12","...","  Farm income 2/",45803,44671,43737,41301,48124,42768,38362,44938,32848,43475,59279,59497,55909,52920,42032,47978,56282,64789,70371,60764,75256,76562,60719,72533,77228,60676,56963,88910,36794,81285,90206,89459,108755,62417,78502,98005,94734,69398,83122,76694,47650,70329,106603,84786,107856
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","20","...","Population (persons) 3/",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1168670,1169748,1171393,1173061
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",3865,4233,4579,4852,5212,5665,6127,6554,7076,7724,8524,9567,10574,11495,12318,13590,14501,15503,16437,17659,19318,20025,20551,21711,22296,23043,23847,24721,26153,27375,28544,30375,31755,31634,32872,34613,36015,37794,39557,41483,41820,43265,44784,46700,47519
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","35","...","Earnings by place of work",3224878,3533988,3881859,4168473,4478920,4770669,4970389,5350537,5792027,6431827,7071759,7631996,8243812,8798197,9447132,10549746,11410459,12392850,13361322,14620669,15742599,16626006,17050190,18151381,18802238,19438988,19766564,20356419,21482003,22402174,23772994,25634566,26896332,27381186,28597102,29926550,30786942,32166377,33062253,34493685,35168487,35817780,36670975,37772296,39034524
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",251250,269499,304892,341914,422907,465304,478087,529553,573716,652508,739825,785785,902361,966818,1043217,1185652,1303441,1431360,1523049,1709455,1805770,1830588,1935164,2019689,2099707,2204421,2235603,2249575,2339298,2439911,2536218,2736270,2899850,3007690,3141364,3265724,3381946,3494654,3582522,3771384,3799725,3834717,3544059,3635531,4225857
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","37","...","  Employee and self-employed contributions for government social insurance",115556,124348,139633,153675,189446,209581,216623,232532,250172,281431,322212,351117,408160,442137,472618,524858,595589,659717,704713,793996,852928,857009,921082,949520,986191,1038900,1061613,1056488,1105989,1145092,1207598,1287111,1358213,1413614,1476795,1529526,1594448,1644025,1690983,1786209,1850516,1844700,1499075,1531790,2063424
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","38","...","  Employer contributions for government social insurance",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1541637,1594076,1664569,1736198,1787498,1850629,1891539,1985175,1949209,1990017,2044984,2103741,2162433
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","42","...","Plus: Adjustment for residence 6/",-22128,-13513,-12414,-3481,2829,1676,2249,-14596,-26940,-36951,-43195,-42454,-34778,-33555,-30824,-28448,-20657,-15016,-11536,-4446,3589,13655,3821,-3722,-23585,-42414,-37658,-45846,-55375,-46686,-48214,-70396,-69251,-52943,-52511,-44435,-15295,-6629,19454,-2943,-49798,-1746,5113,21072,-14693
