"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"09000","Connecticut state total","1","CA4","10","...","Personal income (thousands of dollars)",14693141,15678607,16511886,17800682,19365980,21132528,22706406,24496860,26996993,30059857,33790984,38451011,43167308,46611050,49854453,55852197,59947338,64556631,70591445,77848044,84513744,86955823,87583062,94245958,97497237,100048150,105415237,110544115,117901260,126345516,132576015,143970764,149967094,149466188,152484082,163013099,171249032,184711831,196174409,198836094,191522258,197630202,206533081,216308449,218131742
"09000","Connecticut state total","1","CA4","11","...","  Nonfarm personal income 1/",14627581,15608351,16444060,17734140,19287371,21051348,22633636,24417438,26916962,29983303,33715662,38371238,43089086,46505024,49751524,55726023,59823020,64419696,70453251,77696777,84378119,86776366,87424200,94064600,97294531,99870656,105250344,110391710,117751883,126174524,132389825,143753060,149776862,149287896,152304229,162823822,171066998,184548637,195972810,198654405,191362130,197476112,206375467,216146416,217957760
"09000","Connecticut state total","1","CA4","12","...","  Farm income 2/",65560,70256,67826,66542,78609,81180,72770,79422,80031,76554,75322,79773,78222,106026,102929,126174,124318,136935,138194,151267,135625,179457,158862,181358,202706,177494,164893,152405,149377,170992,186190,217704,190232,178292,179853,189277,182034,163194,201599,181689,160128,154090,157614,162033,173982
"09000","Connecticut state total","1","CA4","20","...","Population (persons) 3/",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579210,3588948,3591765,3596080
"09000","Connecticut state total","1","CA4","30","...","Per capita personal income (dollars) 4/",4898,5160,5393,5799,6310,6871,7361,7938,8740,9713,10901,12351,13797,14849,15765,17564,18727,20025,21739,23793,25740,26415,26517,28553,29463,30170,31712,33130,35201,37543,39150,42198,43686,43214,43763,46627,48831,52513,55616,56080,53771,55216,57547,60223,60658
"09000","Connecticut state total","1","CA4","35","...","Earnings by place of work",11238369,11829721,12242562,13316252,14746709,15952002,16602626,18067523,20104348,22636053,25519246,28367317,31071300,33140145,35753114,40247736,43826059,47612607,52909556,58492086,61694602,63555603,64416142,67839832,70540173,72852479,76136184,79631108,86307225,92084843,98155022,106683245,112206534,112769090,115208464,122179602,127027399,133235283,139141987,140273193,136349418,139255954,144234355,148345525,150309808
"09000","Connecticut state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",752832,784499,840730,969494,1235632,1396630,1423639,1578169,1778534,2061209,2420825,2679769,3155253,3430840,3736779,4305825,4742250,5165316,5653387,6356152,6675990,6798005,7010822,7251014,7515451,7872709,8268741,8622140,9145799,9592192,10053325,10679856,11047428,11520436,11764545,12358328,12782299,13236811,13838616,14289490,13927481,14035938,13007085,13359816,15537430
"09000","Connecticut state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",362126,380392,408502,461270,587295,668653,687747,739195,817327,934088,1111333,1260740,1502784,1647400,1773999,1995838,2273303,2494995,2771042,3129011,3342379,3413908,3553564,3664566,3786179,3979182,4208496,4381383,4675829,4919953,5207874,5518504,5741677,5874435,5997082,6308812,6601577,6963407,7296183,7534646,7305130,7362321,6018674,6140915,8196150
"09000","Connecticut state total","1","CA4","38","...","  Employer contributions for government social insurance",390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352,5305751,5646001,5767463,6049516,6180722,6273404,6542433,6754844,6622351,6673617,6988411,7218901,7341280
"09000","Connecticut state total","1","CA4","42","...","Plus: Adjustment for residence 6/",729318,723219,754978,799863,810888,845489,936900,1007264,1113702,1274090,1453512,1704762,1901738,2044758,2182620,2344318,2582886,2678947,2828827,3078196,3094760,2750247,2712724,3945645,3353054,3110531,3837172,4548987,4085745,5496339,5378000,5542940,4788855,4290478,3978858,4407357,4414988,4761240,5035074,4638502,3064019,4236781,3798181,4919895,5627498
"09000","Connecticut state total","1","CA4","45","...","Equals: Net earnings by place of residence",11214855,11768441,12156810,13146621,14321965,15400861,16115887,17496618,19439516,21848934,24551933,27392310,29817785,31754063,34198955,38286229,41666695,45126238,50084996,55214130,58113372,59507845,60118044,64534463,66377776,68090301,71704615,75557955,81247171,87988990,93479697,101546329,105947961,105539132,107422777,114228631,118660088,124759712,130338445,130622205,125485956,129456797,135025451,139905604,140399876
"09000","Connecticut state total","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",2530825,2764049,2931496,3148802,3414419,3813395,4044515,4291509,4725580,5290532,5988387,7321114,9035950,10060537,10474547,12149484,12536108,13354397,14225750,15859297,18810227,18960667,17960875,18529323,19453794,19878936,20788882,21727675,23028960,24559126,24957325,27535716,28210025,26954783,27768868,30444074,33673502,39751944,44415088,44611131,38886051,39768458,42965640,47014405,47996198
"09000","Connecticut state total","1","CA4","47","...","Plus: Personal current transfer receipts",947461,1146117,1423580,1505259,1629596,1918272,2546004,2708733,2831897,2920391,3250664,3737587,4313573,4796450,5180951,5416484,5744535,6075996,6280699,6774617,7590145,8487311,9504143,11182172,11665667,12078913,12921740,13258485,13625129,13797400,14138993,14888719,15809108,16972273,17292437,18340394,18915442,20200175,21420876,23602758,27150251,28404947,28541990,29388440,29735668
"09000","Connecticut state total","1","CA4","50","...","Wages and salaries",9056945,9580507,9836242,10652406,11802804,12819275,13184953,14169047,15580560,17496135,19762686,22147341,24267534,26032828,27949151,31253757,34056346,37073889,41055175,45115703,47170117,48671206,48935033,50576294,51894304,53432964,56049223,59094922,64087294,68510384,72496956,78195987,80744831,79836332,81440706,85981990,89732775,94442932,100659186,101501940,96207584,97848943,101597684,104269776,105366397
"09000","Connecticut state total","1","CA4","60","...","Supplements to wages and salaries",1089437,1166973,1250301,1452341,1647671,1839905,2057781,2263823,2633451,3023138,3503717,3961222,4499574,4954931,5438391,6065439,6668649,7341603,8039591,8820493,9561092,9914437,10240671,10960054,11518304,11675104,12004032,12302192,12917404,13641451,14473825,15621706,16750261,17204224,18422471,20209891,21031495,20980629,22040676,22848820,22504448,23047822,23623637,23598527,23263850
"09000","Connecticut state total","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",698731,762866,818073,944117,999334,1111928,1321889,1424849,1672244,1896017,2194225,2542193,2847105,3171491,3475611,3755452,4199702,4671282,5157246,5593352,6227481,6530340,6783413,7373606,7789032,7781577,7943787,8061435,8447434,8969212,9628374,10460354,11444510,11558223,12655008,14160375,14850773,14707225,15498243,16093976,15882097,16374205,16635226,16379626,15922570
