"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"10000","Delaware state total","2","CA4","10","...","Personal income (thousands of dollars)",2445633,2606227,2852424,3133305,3467373,3755784,4049435,4412122,4748292,5211190,5721362,6427223,7074773,7623902,8162134,8994320,9804756,10429474,11268444,12319420,13715493,14402033,15232618,15921943,16542048,17195737,18211741,19481028,20348037,22083010,23248811,25240496,27041034,28141556,28998703,30880398,32397278,34607719,35698470,36590354,36423315,36860326,38767723,40378899,41487286
"10000","Delaware state total","2","CA4","11","...","  Nonfarm personal income 1/",2390565,2571862,2814805,3084883,3372178,3674270,3958346,4329197,4693446,5151403,5668108,6415444,7033305,7559389,8084538,8899270,9701651,10286732,11155785,12139433,13524801,14262547,15101310,15807163,16435818,17076486,18127035,19362809,20255316,21943622,23110855,25095040,26831768,28056098,28825423,30628376,32107679,34403338,35493474,36443581,36263625,36715279,38590715,40168443,41243003
"10000","Delaware state total","2","CA4","12","...","  Farm income 2/",55068,34365,37619,48422,95195,81514,91089,82925,54846,59787,53254,11779,41468,64513,77596,95050,103105,142742,112659,179987,190692,139486,131308,114780,106230,119251,84706,118219,92721,139388,137956,145456,209266,85458,173280,252022,289599,204381,204996,146773,159690,145047,177008,210456,244283
"10000","Delaware state total","2","CA4","20","...","Population (persons) 3/",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899711,907985,917053,925749
"10000","Delaware state total","2","CA4","30","...","Per capita personal income (dollars) 4/",4529,4736,5047,5460,5988,6441,6878,7443,7983,8712,9554,10804,11871,12725,13481,14707,15858,16619,17691,19023,20836,21509,22300,22912,23418,23965,24957,26291,27077,28930,29999,32097,33984,34908,35451,37169,38333,40276,40950,41398,40846,40969,42696,44031,44815
"10000","Delaware state total","2","CA4","35","...","Earnings by place of work",2055246,2170692,2401836,2669710,3012521,3216862,3414908,3733770,3997170,4437484,4861579,5339864,5762801,6213751,6703700,7379401,8071465,8582517,9388689,10313013,11292713,11911474,12434868,13013240,13376956,14000573,14721072,15693836,16749771,18166887,19708612,21097525,22841886,23664512,24370353,25886023,27252211,28751172,29056288,29418055,28694281,29025997,30315659,31453266,32060322
"10000","Delaware state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",139397,147229,167646,195970,252916,281577,292891,324777,351162,401329,459943,510379,590625,647494,703393,779375,864829,933211,1016326,1149214,1261986,1311929,1377734,1420863,1475749,1571009,1655687,1735064,1842918,1996575,2133745,2236861,2294727,2399037,2500439,2690073,2820396,3001715,3084836,3193319,3123661,3144558,2853855,2963965,3444998
"10000","Delaware state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",67046,71061,80153,91584,118163,132532,137910,149233,161338,181839,210790,236791,277805,306174,329277,357379,405623,443555,487427,557144,619683,645342,680756,698620,727089,778081,827113,870533,920877,1004001,1077693,1130179,1169459,1226918,1282038,1378277,1453696,1551811,1603548,1657891,1626037,1639982,1305507,1349346,1794059
"10000","Delaware state total","2","CA4","38","...","  Employer contributions for government social insurance",72351,76168,87493,104386,134753,149045,154981,175544,189824,219490,249153,273588,312820,341320,374116,421996,459206,489656,528899,592070,642303,666587,696978,722243,748660,792928,828574,864531,922041,992574,1056052,1106682,1125268,1172119,1218401,1311796,1366700,1449904,1481288,1535428,1497624,1504576,1548348,1614619,1650939
"10000","Delaware state total","2","CA4","42","...","Plus: Adjustment for residence 6/",-27714,-30112,-46174,-53528,-75440,-79756,-89889,-98940,-113934,-138159,-155487,-191934,-210987,-243251,-289485,-328064,-369931,-398053,-466606,-525145,-617838,-688299,-681579,-724920,-680733,-722195,-848169,-1049092,-1346149,-1456559,-1696964,-1791006,-1882654,-1874149,-1960470,-2102111,-2291019,-2572564,-2511832,-2571278,-2132246,-2267835,-2803106,-2818218,-2406755
"10000","Delaware state total","2","CA4","45","...","Equals: Net earnings by place of residence",1888135,1993351,2188016,2420212,2684165,2855529,3032128,3310053,3532074,3897996,4246149,4637551,4961189,5323006,5710822,6271962,6836705,7251253,7905757,8638654,9412889,9911246,10375555,10867457,11220474,11707369,12217216,12909680,13560704,14713753,15877903,17069658,18664505,19391326,19909444,21093839,22140796,23176893,23459620,23653458,23438374,23613604,24658698,25671083,26208569
"10000","Delaware state total","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",418817,447966,470293,498024,534885,597086,609288,664270,739704,813829,902723,1096006,1332941,1471582,1567132,1774423,1971448,2100146,2239126,2443125,2962515,3051161,3188443,3237908,3378942,3424696,3743469,4078421,4267438,4684484,4566865,5109712,5019197,5132891,5203844,5602176,5746188,6546342,6943166,7041815,6350622,6160069,6686218,7029180,7239307
"10000","Delaware state total","2","CA4","47","...","Plus: Personal current transfer receipts",138681,164910,194115,215069,248323,303169,408019,437799,476514,499365,572490,693666,780643,829314,884180,947935,996603,1078075,1123561,1237641,1340089,1439626,1668620,1816578,1942632,2063672,2251056,2492927,2519895,2684773,2804043,3061126,3357332,3617339,3885415,4184383,4510294,4884484,5295684,5895081,6634319,7086653,7422807,7678636,8039410
"10000","Delaware state total","2","CA4","50","...","Wages and salaries",1626974,1750835,1911246,2102230,2346413,2523755,2627756,2856618,3078991,3423178,3760229,4171765,4491713,4835452,5165344,5632472,6124157,6472639,7162142,7847776,8555778,9023751,9296435,9571809,9882167,10354187,11065117,11879058,12751712,13830613,14764643,15656198,16379849,16737787,17344952,18392822,19543726,20477338,20981908,21102422,20190545,20444793,21354605,22050348,22620408
"10000","Delaware state total","2","CA4","60","...","Supplements to wages and salaries",194459,208817,256667,295768,337179,367617,435328,486292,550384,618204,698720,799589,872346,971948,1089663,1192949,1333270,1466972,1564213,1716149,1917534,2023736,2137508,2327784,2432316,2531127,2605505,2733971,2881902,3069442,3232627,3492665,3649595,3841365,4074537,4373105,4670745,5104187,5187829,5233382,5112955,5174392,5503936,5649088,5411326
"10000","Delaware state total","2","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",122108,132649,169174,191382,202426,218572,280347,310748,360560,398714,449567,526001,559526,630628,715547,770953,874064,977316,1035314,1124079,1275231,1357149,1440530,1605541,1683656,1738199,1776931,1869440,1959861,2076868,2176575,2385983,2524327,2669246,2856136,3061309,3304045,3654283,3706541,3697954,3615331,3669816,3955588,4034469,3760387
"10000","Delaware state total","2","CA4","62","...","  Employer contributions for government social insurance",72351,76168,87493,104386,134753,149045,154981,175544,189824,219490,249153,273588,312820,341320,374116,421996,459206,489656,528899,592070,642303,666587,696978,722243,748660,792928,828574,864531,922041,992574,1056052,1106682,1125268,1172119,1218401,1311796,1366700,1449904,1481288,1535428,1497624,1504576,1548348,1614619,1650939
"10000","Delaware state total","2","CA4","70","...","Proprietors' income 9/",233813,211040,233923,271712,328929,325490,351824,390860,367795,396102,402630,368510,398742,406351,448693,553980,614038,642906,662334,749088,819401,863987,1000925,1113647,1062473,1115259,1050450,1080807,1116157,1266832,1711342,1948662,2812442,3085360,2950864,3120096,3037740,3169647,2886551,3082251,3390781,3406812,3457118,3753830,4028588
"10000","Delaware state total","2","CA4","71","...","  Farm proprietors' income",46224,24637,28316,38950,86084,71488,81139,72622,44099,42073,34022,-8084,22058,43626,57701,75393,83220,124147,93989,159348,169016,114678,107668,92295,81399,94409,56342,88082,59975,107396,109317,112874,176327,45482,137406,216999,261296,172822,169310,112022,126358,113041,149258,168863,199676
"10000","Delaware state total","2","CA4","72","...","  Nonfarm proprietors' income",187589,186403,205607,232762,242845,254002,270685,318238,323696,354029,368608,376594,376684,362725,390992,478587,530818,518759,568345,589740,650385,749309,893257,1021352,981074,1020850,994108,992725,1056182,1159436,1602025,1835788,2636115,3039878,2813458,2903097,2776444,2996825,2717241,2970229,3264423,3293771,3307860,3584967,3828912
"10000","Delaware state total","2","CA4","7010","...","Total employment",270578,274587,280122,292813,304918,301531,292148,295771,296352,304289,311835,311674,313583,316547,325291,339928,356873,370177,386540,402702,414670,420105,414316,413155,420651,424325,442453,452685,464460,477261,489632,500675,501186,499288,502950,516324,526825,535976,544400,544529,525847,520953,529172,533347,543626
"10000","Delaware state total","2","CA4","7020","...","  Wage and salary employment",243740,246895,252535,263282,275413,272254,262267,266472,266852,273526,280537,280480,281055,281896,289250,302742,316232,326639,343962,356311,367268,370346,363825,363117,369912,376628,387425,395285,406061,417879,429712,437114,435784,431581,431694,441003,446581,451218,452462,452314,430765,426675,430161,434411,442726
"10000","Delaware state total","2","CA4","7040","...","  Proprietors employment",26838,27692,27587,29531,29505,29277,29881,29299,29500,30763,31298,31194,32528,34651,36041,37186,40641,43538,42578,46391,47402,49759,50491,50038,50739,47697,55028,57400,58399,59382,59920,63561,65402,67707,71256,75321,80244,84758,91938,92215,95082,94278,99011,98936,100900
"10001","Kent, DE ","2","CA4","10","...","Personal income (thousands of dollars)",299107,329033,367127,408628,455873,509349,563053,605924,646847,713746,767923,837671,941726,1018298,1086734,1187781,1285706,1386788,1492485,1633017,1796237,1903448,2022632,2139725,2203851,2305570,2459809,2640582,2699501,2879774,3033059,3255358,3405731,3608055,3829880,4122604,4400937,4689422,4983349,5279602,5496591,5595315,5884380,6102946,6252316
"10001","Kent, DE ","2","CA4","11","...","  Nonfarm personal income 1/",287385,319715,357887,397675,431943,480377,541774,585206,636094,695531,753282,838054,931775,1009093,1076776,1172250,1273551,1374527,1483096,1606438,1771007,1882271,1998277,2111343,2184167,2281679,2447381,2616017,2684275,2854819,3008098,3225221,3372835,3596147,3806256,4077589,4348477,4644247,4932468,5228408,5442264,5548967,5815846,6031150,6176371
"10001","Kent, DE ","2","CA4","12","...","  Farm income 2/",11722,9318,9240,10953,23930,28972,21279,20718,10753,18215,14641,-383,9951,9205,9958,15531,12155,12261,9389,26579,25230,21177,24355,28382,19684,23891,12428,24565,15226,24955,24961,30137,32896,11908,23624,45015,52460,45175,50881,51194,54327,46348,68534,71796,75945
"10001","Kent, DE ","2","CA4","20","...","Population (persons) 3/",80668,82633,86628,89512,90286,91026,92521,94465,96264,98251,99166,98280,98317,99225,100953,101261,102818,104713,106263,106965,109052,111638,114288,115682,117987,119039,120715,121447,122419,124056,125611,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162922,165189,167540,169416
"10001","Kent, DE ","2","CA4","30","...","Per capita personal income (dollars) 4/",3708,3982,4238,4565,5049,5596,6086,6414,6720,7265,7744,8523,9578,10263,10765,11730,12505,13244,14045,15267,16471,17050,17698,18497,18679,19368,20377,21743,22051,23214,24146,25587,26354,27370,28453,29586,30438,31325,32366,33431,34336,34344,35622,36427,36905
"10001","Kent, DE ","2","CA4","35","...","Earnings by place of work",270513,288330,320140,355553,395859,436868,465601,499809,528766,574540,604860,633729,708008,758278,796178,876165,944431,1024192,1104326,1213700,1319204,1427361,1494415,1591010,1648244,1737144,1838349,1943658,1962610,2104924,2266064,2428342,2549378,2757119,2917252,3166928,3392384,3555515,3685621,3814598,3954404,3932865,4053990,4217649,4332882
"10001","Kent, DE ","2","CA4","36","...","Less: Contributions for government social insurance 5/",17086,18575,21322,24323,29554,33776,37052,41024,43991,48484,53413,58556,69248,74883,79384,87901,95516,105128,112217,128407,140249,150355,159056,168611,177808,188586,202186,209958,211276,224727,236571,245839,249675,286556,302186,329963,352058,371206,391951,406046,408187,409013,373816,390297,452968
"10001","Kent, DE ","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",7861,8403,9434,10692,13467,15480,16664,17985,19736,21920,24395,26557,31897,34996,36946,40155,45220,50402,54257,62667,69736,74716,78526,82150,86741,93210,99916,103963,104498,112099,118814,124132,123656,141297,149160,163054,174888,187018,198119,206424,210112,209062,167605,173588,230383
"10001","Kent, DE ","2","CA4","38","...","  Employer contributions for government social insurance",9225,10172,11888,13631,16087,18296,20388,23039,24255,26564,29018,31999,37351,39887,42438,47746,50296,54726,57960,65740,70513,75639,80530,86461,91067,95376,102270,105995,106778,112628,117757,121707,126019,145259,153026,166909,177170,184188,193832,199622,198075,199951,206211,216709,222585
"10001","Kent, DE ","2","CA4","42","...","Plus: Adjustment for residence 6/",-14380,-15599,-15983,-15651,-14169,-14664,-14372,-13111,-13230,-7297,-2376,3916,7492,11769,20588,24651,31107,32097,38665,45180,48678,50428,42520,32970,22257,14302,-50,-5518,5962,3200,-2229,-4044,-25964,-49792,-56878,-68279,-72781,-70082,-85582,-86867,-100708,-93641,-102923,-122128,-126756
"10001","Kent, DE ","2","CA4","45","...","Equals: Net earnings by place of residence",239047,254156,282835,315579,352136,388428,414177,445674,471545,518759,549071,579089,646252,695164,737382,812915,880022,951161,1030774,1130473,1227633,1327434,1377879,1455369,1492693,1562860,1636113,1728182,1757296,1883397,2027264,2178459,2273739,2420771,2558188,2768686,2967545,3114227,3208088,3321685,3445509,3430211,3577251,3705224,3753158
"10001","Kent, DE ","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",42486,53435,58681,64603,70684,80771,91286,97753,107638,121843,134800,158850,182453,201623,218451,239352,261982,281424,300282,323588,373944,363396,397472,409631,412726,443330,484632,525803,547218,565991,567693,601476,614042,623339,654480,679165,688032,758378,874728,937734,880839,887246,957357,990129,1026892
"10001","Kent, DE ","2","CA4","47","...","Plus: Personal current transfer receipts",17574,21442,25611,28446,33053,40150,57590,62497,67664,73144,84052,99732,113021,121511,130901,135514,143702,154203,161429,178956,194660,212618,247281,274725,298432,299380,339064,386597,394987,430386,438102,475423,517950,563945,617212,674753,745360,816817,900533,1020183,1170243,1277858,1349772,1407593,1472266
"10001","Kent, DE ","2","CA4","50","...","Wages and salaries",207886,225412,246333,271399,292767,320395,343298,369300,401039,431616,456343,489621,539991,580246,601162,650724,696477,749760,811366,882559,952455,1020846,1070137,1124972,1183833,1237237,1347306,1427019,1429486,1521622,1603830,1678054,1802586,1965841,2044793,2195781,2330471,2433992,2564860,2592923,2532427,2533317,2611182,2727690,2825179
"10001","Kent, DE ","2","CA4","60","...","Supplements to wages and salaries",34099,37589,46424,52081,55989,62500,73324,79063,87875,94608,102899,114547,128625,142474,152980,165457,180439,197420,207863,226995,250172,269030,285157,314699,330748,345801,366331,379859,385144,409971,436759,464372,508625,561853,614237,668524,727540,756758,793198,805001,827953,851470,894878,940695,927404
"10001","Kent, DE ","2","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",24874,27417,34536,38450,39902,44204,52936,56024,63620,68044,73881,82548,91274,102587,110542,117711,130143,142694,149903,161255,179659,193391,204627,228238,239681,250425,264061,273864,278366,297343,319002,342665,382606,416594,461211,501615,550370,572570,599366,605379,629878,651519,688667,723986,704819
"10001","Kent, DE ","2","CA4","62","...","  Employer contributions for government social insurance",9225,10172,11888,13631,16087,18296,20388,23039,24255,26564,29018,31999,37351,39887,42438,47746,50296,54726,57960,65740,70513,75639,80530,86461,91067,95376,102270,105995,106778,112628,117757,121707,126019,145259,153026,166909,177170,184188,193832,199622,198075,199951,206211,216709,222585
"10001","Kent, DE ","2","CA4","70","...","Proprietors' income 9/",28528,25329,27383,32073,47103,53973,48979,51446,39852,48316,45618,29561,39392,35558,42036,59984,67515,77012,85097,104146,116577,137485,139121,151339,133663,154106,124712,136780,147980,173331,225475,285916,238167,229425,258222,302623,334373,364765,327563,416674,594024,548078,547930,549264,580299
"10001","Kent, DE ","2","CA4","71","...","  Farm proprietors' income",9264,6689,6786,8505,21608,26453,18538,17710,7484,12560,8586,-6555,4022,2873,4478,10625,7702,8566,6145,22432,20414,15751,17926,21624,12531,16859,4355,15440,4792,15403,16532,20147,22940,-811,13551,36367,45191,36224,40967,41116,44586,36327,59641,57667,61517
"10001","Kent, DE ","2","CA4","72","...","  Nonfarm proprietors' income",19264,18640,20597,23568,25495,27520,30441,33736,32368,35756,37032,36116,35370,32685,37558,49359,59813,68446,78952,81714,96163,121734,121195,129715,121132,137247,120357,121340,143188,157928,208943,265769,215227,230236,244671,266256,289182,328541,286596,375558,549438,511751,488289,491597,518782
"10001","Kent, DE ","2","CA4","7010","...","Total employment",42500,42223,43110,45268,46076,45692,44751,44883,45851,45902,46424,46321,46451,47096,47036,48525,51069,52893,54198,55677,57099,58224,59918,61604,62713,63944,65999,67066,66499,67720,69932,71384,73820,75439,77003,79893,83267,84479,86461,86540,83611,84292,86581,87564,89893
"10001","Kent, DE ","2","CA4","7020","...","  Wage and salary employment",38284,38006,38841,40627,41505,41166,40162,40239,41026,40744,41281,41315,41396,41806,41610,42717,44574,45816,46994,48121,49335,50200,51638,53310,54394,55928,57185,57999,57318,58329,59847,60789,62169,63466,64325,66712,69215,69751,70680,70588,67426,67633,68993,69997,71973
"10001","Kent, DE ","2","CA4","7040","...","  Proprietors employment",4216,4217,4269,4641,4571,4526,4589,4644,4825,5158,5143,5006,5055,5290,5426,5808,6495,7077,7204,7556,7764,8024,8280,8294,8319,8016,8814,9067,9181,9391,10085,10595,11651,11973,12678,13181,14052,14728,15781,15952,16185,16659,17588,17567,17920
"10003","New Castle, DE ","2","CA4","10","...","Personal income (thousands of dollars)",1856571,1976329,2151689,2341069,2560821,2775759,2946850,3228501,3489036,3819655,4217713,4774310,5223166,5601680,5958057,6564270,7136691,7506049,8140725,8895340,9947460,10506133,11062826,11509604,11998840,12354011,13027060,13823522,14433986,15702347,16464633,17906761,19245598,20018178,20291212,21399060,22221627,23681875,24008940,24386780,24003958,24205112,25513005,26570995,27266490
