"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"13000","Georgia state total","5","CA4","10","...","Personal income (thousands of dollars)",14943824,16272040,17970425,20160391,22772857,24985794,27002936,29983586,33146677,37616122,42104877,46906132,53067988,57476019,63080982,71465624,78371995,85518525,92034657,100313741,108122199,115480870,121039193,131234717,139391348,150218176,162069869,175077195,186443377,204504461,218041177,235896210,247734944,254266681,262808717,276303742,294551609,315031756,332359009,339900478,330460329,333559272,357306323,369149416,378156381
"13000","Georgia state total","5","CA4","11","...","  Nonfarm personal income 1/",14526733,15876774,17516914,19692462,21989096,24318122,26371706,29362634,32790848,37057675,41517331,46875560,52554662,56801362,62612988,70518374,77594260,84700021,91150590,99173221,106777996,114233975,119487890,129606926,137932224,148294492,160323083,173237869,184649239,202721389,216111277,234066763,245538294,252642001,260768866,274153782,292095618,313476091,330536879,337313605,328500157,331824513,355336050,365741641,374533822
"13000","Georgia state total","5","CA4","12","...","  Farm income 2/",417091,395266,453511,467929,783761,667672,631230,620952,355829,558447,587546,30572,513326,674657,467994,947250,777735,818504,884067,1140520,1344203,1246895,1551303,1627791,1459124,1923684,1746786,1839326,1794138,1783072,1929900,1829447,2196650,1624680,2039851,2149960,2455991,1555665,1822130,2586873,1960172,1734759,1970273,3407775,3622559
"13000","Georgia state total","5","CA4","20","...","Population (persons) 3/",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9713248,9810181,9915646,9992167
"13000","Georgia state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3284,3533,3815,4194,4641,5002,5338,5849,6360,7116,7810,8550,9530,10173,11012,12248,13144,14055,14824,15882,16865,17732,18193,19251,19975,20989,22115,23340,24260,26007,27099,28672,29573,29885,30478,31508,33000,34408,35546,35761,34348,34341,36422,37229,37845
"13000","Georgia state total","5","CA4","35","...","Earnings by place of work",12921130,13752289,15081837,17000177,19291594,20732959,21679648,24476629,27333299,31177868,34858201,37836951,42206162,45166894,49595297,56815835,62656458,68872371,74584737,81322176,86049656,91538137,95231119,103849775,110312577,118431847,127320020,137553527,146996220,163073008,176783647,190378061,198998682,202825817,209446047,221128259,233090221,246604748,255903543,258919893,247977052,248457195,258353291,270224962,280424688
"13000","Georgia state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",786208,836767,951796,1128030,1445429,1627734,1679651,1946065,2190434,2552145,2974315,3301653,3919002,4271825,4793019,5611385,6360875,7085215,7617309,8521387,9070310,9696380,10179091,10959588,11712219,12670249,13606615,14539015,15462818,16839394,18150928,19382425,20150584,20550483,21156834,23010020,23996016,25479983,26201238,27305908,26545322,27042099,24862772,25736673,30163342
"13000","Georgia state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",404840,431719,488937,572973,737003,833487,856391,963059,1076514,1248198,1464292,1646161,1975230,2172413,2412848,2777067,3232343,3615049,3903839,4379539,4710090,5019455,5293953,5692562,6119163,6645423,7178758,7651548,8134968,8831067,9548188,10174884,10556128,10818260,11139870,11804821,12437314,13334264,13835677,14429023,14036483,14278309,11585852,11929215,15894810
"13000","Georgia state total","5","CA4","38","...","  Employer contributions for government social insurance",381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541,9594456,9732223,10016964,11205199,11558702,12145719,12365561,12876885,12508839,12763790,13276920,13807458,14268532
"13000","Georgia state total","5","CA4","42","...","Plus: Adjustment for residence 6/",-96402,-85785,-82102,-73692,-71014,-70384,-58171,-88808,-105291,-86578,-97742,-105476,-36222,-76889,-119585,-154681,-168228,-216532,-226212,-228312,-192159,-112889,-131756,-178474,-182084,-237477,-341260,-375716,-449194,-586903,-602115,-734871,-785171,-839710,-855056,-910213,-931008,-967939,-988739,-945925,-1083640,-1075562,-1131986,-1201930,-1358402
