"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"18000","Indiana state total","3","CA4","10","...","Personal income (thousands of dollars)",19196644,19957960,21704434,23747835,27244965,29138385,31453320,34944329,38684710,43173082,47584673,51163222,56116626,58043254,60843539,67562548,71314913,75207916,79845442,85420078,93083059,98244577,101072972,109533617,115520579,122777770,128296155,135564282,142619965,153989340,160469821,171264554,175535050,177968204,182975959,192107485,197603199,209439355,216942867,224630600,217595909,222888326,236976626,249326268,253779172
"18000","Indiana state total","3","CA4","11","...","  Nonfarm personal income 1/",18648701,19579578,21110530,23243777,26020223,28407788,30362305,33875763,37969202,42450954,46922208,50792932,55819269,57744069,61110881,66818339,70642030,74638353,79091827,85145649,92129780,97394368,100843872,108698926,114670066,121963901,127961743,134380674,141471205,153234171,160011429,170405076,174481576,177509221,181726987,190080628,196288031,208318000,215458528,221984100,215595328,220970919,233739908,246441828,249085326
"18000","Indiana state total","3","CA4","12","...","  Farm income 2/",547943,378382,593904,504058,1224742,730597,1091015,1068566,715508,722128,662465,370290,297357,299185,-267342,744209,672883,569563,753615,274429,953279,850209,229100,834691,850513,813869,334412,1183608,1148760,755169,458392,859478,1053474,458983,1248972,2026857,1315168,1121355,1484339,2646500,2000581,1917407,3236718,2884440,4693846
"18000","Indiana state total","3","CA4","20","...","Population (persons) 3/",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6489965,6516336,6537782,6570902
"18000","Indiana state total","3","CA4","30","...","Per capita personal income (dollars) 4/",3733,3835,4134,4484,5112,5447,5878,6505,7157,7927,8691,9318,10239,10615,11163,12378,13063,13789,14589,15554,16852,17677,17996,19303,20129,21192,21925,22954,23949,25670,26546,28114,28646,28910,29528,30821,31472,33073,34006,34963,33687,34344,36367,38136,38622
"18000","Indiana state total","3","CA4","35","...","Earnings by place of work",16574436,16838210,18091561,19910300,22996079,24090895,25149435,28390557,31610987,35493138,38890672,39717985,42537661,42571480,44442253,49988035,52924066,55966638,60465117,65087423,70208161,73916256,76409365,82835344,87523121,93363356,96909730,102076317,107715879,116581606,123182041,130402683,132443362,134738434,139341615,146977329,150756149,157434758,160944633,164133599,153886788,158445838,167337882,175573052,181296867
"18000","Indiana state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",1096673,1114825,1227316,1440491,1863475,2088993,2120039,2437921,2753994,3190079,3630443,3713820,4296362,4390144,4660404,5257594,5686013,6055515,6434344,7215371,7737032,8408008,8884162,9455074,10062353,10900339,11415785,11792090,12409007,13175751,13815048,14396263,14582080,14955286,15468453,16252557,16985936,17860742,18373594,18798554,18032125,18445569,17119445,17828133,20669833
"18000","Indiana state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",563340,574536,631941,726288,932591,1051185,1069871,1198099,1335545,1532798,1764267,1838924,2147659,2205253,2312732,2560195,2851117,3049799,3269462,3680460,4002979,4337011,4609180,4904166,5231674,5675911,5966823,6164203,6493348,6858453,7205553,7500371,7634928,7864575,8080178,8482712,8843808,9391185,9713245,9990775,9627696,9852258,8045433,8336549,10960780
"18000","Indiana state total","3","CA4","38","...","  Employer contributions for government social insurance",533333,540289,595375,714203,930884,1037808,1050168,1239822,1418449,1657281,1866176,1874896,2148703,2184891,2347672,2697399,2834896,3005716,3164882,3534911,3734053,4070997,4274982,4550908,4830679,5224428,5448962,5627887,5915659,6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660349,8807779,8404429,8593311,9074012,9491584,9709053
"18000","Indiana state total","3","CA4","42","...","Plus: Adjustment for residence 6/",45264,78143,139686,178707,220775,281642,329396,387074,445299,499853,577929,690885,748798,810235,838467,983873,1057924,1135475,1185583,1283979,1350197,1492097,1500572,1656679,1876962,2008341,2289081,2427142,2555464,2583911,2836228,3123855,3384392,3304472,3344839,3598433,3842697,4107000,4466429,4541509,4530773,4433431,4698016,4748268,5123538
