"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"25000","Massachusetts state total","1","CA4","10","...","Personal income (thousands of dollars)",24151557,26093306,27884416,30122067,32658962,35287455,37985397,40794313,44410061,49076321,54583479,61440428,68448315,75041114,81567273,92010149,99597886,107401297,116368285,127973209,134943490,138967749,141203772,148501398,154429558,162107126,171479654,182364741,193862659,206153440,219715332,244457594,254432598,254595662,260843387,273747653,285671292,307433248,323051770,333247862,328031189,337924207,358289403,376874198,383152205
"25000","Massachusetts state total","1","CA4","11","...","  Nonfarm personal income 1/",24086518,26025664,27822427,30061013,32590357,35220214,37918417,40720394,44333317,48975617,54495917,61337438,68334972,74911886,81405303,91830279,99440626,107229026,116218592,127804671,134794920,138819848,141036724,148335678,154271320,161963757,171340607,182205220,193701546,206051968,219612137,244332302,254330082,254472668,260719647,273608971,285552616,307312055,322932444,333082726,327912611,337807176,358163201,376740241,383009422
"25000","Massachusetts state total","1","CA4","12","...","  Farm income 2/",65039,67642,61989,61054,68605,67241,66980,73919,76744,100704,87562,102990,113343,129228,161970,179870,157260,172271,149693,168538,148570,147901,167048,165720,158238,143369,139047,159521,161113,101472,103195,125292,102516,122994,123740,138682,118676,121193,119326,165136,118578,117031,126202,133957,142783
"25000","Massachusetts state total","1","CA4","20","...","Population (persons) 3/",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6563263,6606285,6645303,6692824
"25000","Massachusetts state total","1","CA4","30","...","Per capita personal income (dollars) 4/",4275,4575,4859,5228,5647,6108,6592,7096,7731,8546,9499,10693,11865,13003,14065,15753,16936,18195,19606,21400,22433,23074,23462,24632,25481,26596,27922,29510,31137,32870,34780,38430,39770,39674,40614,42691,44613,47961,50229,51515,50330,51487,54235,56713,57248
"25000","Massachusetts state total","1","CA4","35","...","Earnings by place of work",19510216,20819344,22014616,23901540,26116003,27713969,28838468,31383371,34510629,38649963,43273881,47921777,52469691,56344442,62127626,70762323,77617556,84408732,92667241,102086667,106308273,107559195,107525679,114101636,118941997,125181410,131823551,140698988,150352129,160619000,174931687,196093282,202548385,201778527,205005854,217322157,223390153,235354002,246969546,253532855,247814019,257498390,269268390,281202150,289671726
"25000","Massachusetts state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",1262442,1326803,1447544,1651342,2074659,2275270,2295487,2555938,2817424,3248074,3796032,4215003,4981239,5483837,6141234,7225044,8002230,8882894,9650681,10787273,11166070,11186434,11383673,11984709,12586234,13379471,14167745,14934511,15992078,17059665,18308020,20252599,20769058,20727978,20942509,22730342,23793659,24647933,25854592,26700192,26325843,26844370,25018644,25810880,30091009
"25000","Massachusetts state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",590593,624933,680605,755108,947842,1050617,1064606,1149153,1255206,1424101,1684126,1905405,2282033,2533673,2799875,3201589,3687048,4156158,4578232,5160557,5473400,5518383,5682051,5957807,6252641,6663614,7121908,7518292,8087773,8654267,9336163,10310956,10555035,10630982,10773136,11344536,11906933,12467130,13198582,13673318,13443134,13676686,11222920,11584862,15484118
"25000","Massachusetts state total","1","CA4","38","...","  Employer contributions for government social insurance",671849,701870,766939,896234,1126817,1224653,1230881,1406785,1562218,1823973,2111906,2309598,2699206,2950164,3341359,4023455,4315182,4726736,5072449,5626716,5692670,5668051,5701622,6026902,6333593,6715857,7045837,7416219,7904305,8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12656010,13026874,12882709,13167684,13795724,14226018,14606891
"25000","Massachusetts state total","1","CA4","42","...","Plus: Adjustment for residence 6/",-126014,-105292,-105441,-103931,-124488,-141799,-152576,-173044,-219318,-279407,-364443,-482759,-621970,-747355,-918086,-1176169,-1371298,-1495311,-1666121,-1882635,-2033861,-2076012,-2238433,-2347656,-2564002,-2767433,-2829796,-3098055,-3406988,-3607017,-4191426,-5057576,-5089239,-4802207,-4722910,-4929888,-4895780,-5106161,-5558812,-5789984,-5275531,-5713904,-6339267,-6685717,-6706040
