"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"24000","Maryland state total","2","CA4","10","...","Personal income (thousands of dollars)",17270064,19210265,21174070,23219752,25571575,27927911,30272447,32908392,35678105,39663044,43603205,48530193,53943654,58486153,62772351,69604222,75630350,81673420,88101114,96747677,104466067,110694072,114711581,120522363,125422233,131172654,136809565,143162511,151181587,162717194,172821234,187645959,197829097,205974259,215813732,231901363,244909028,260938945,272798295,282983898,282424782,289559920,304808419,315775620,319125495
"24000","Maryland state total","2","CA4","11","...","  Nonfarm personal income 1/",17138736,19089863,21081556,23093235,25364421,27765689,30070445,32736280,35551545,39482099,43446163,48475243,53817442,58345424,62685813,69342366,75356761,81389873,87806055,96387924,104106030,110344353,114409325,120187318,125110500,130873065,136604026,142775951,150910271,162400547,172478131,187237884,197421715,205759638,215509123,231468474,244526442,260639688,272513393,282691795,282079987,289259436,304373513,315224938,318618622
"24000","Maryland state total","2","CA4","12","...","  Farm income 2/",131328,120402,92514,126517,207154,162222,202002,172112,126560,180945,157042,54950,126212,140729,86538,261856,273589,283547,295059,359753,360037,349719,302256,335045,311733,299589,205539,386560,271316,316647,343103,408075,407382,214621,304609,432889,382586,299257,284902,292103,344795,300484,434906,550682,506873
"24000","Maryland state total","2","CA4","20","...","Population (persons) 3/",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5787193,5840241,5884868,5928814
"24000","Maryland state total","2","CA4","30","...","Per capita personal income (dollars) 4/",4465,4878,5264,5690,6223,6757,7282,7888,8506,9417,10324,11479,12657,13656,14553,15945,17138,18202,19297,20771,22098,23062,23566,24480,25226,26114,26984,28005,29314,31265,32890,35331,36808,37860,39265,41807,43793,46370,48254,49778,49285,50035,52191,53659,53826
"24000","Maryland state total","2","CA4","35","...","Earnings by place of work",12289156,13374217,14550332,16012774,17819968,19349941,20522000,22504437,24399684,27207179,29963747,32618598,35859671,37692817,40942758,45672672,50107817,54458974,59587182,65882949,70387846,74578585,76265971,79729101,82945358,86914098,90491635,94429046,100737841,109180092,116889005,126473996,134241361,140929027,148008338,159078259,167746673,177544085,183620915,189356710,189607935,194779968,203215576,209385801,212200874
"24000","Maryland state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",750535,814696,916580,1059767,1354029,1532677,1623792,1807915,1973742,2261688,2611371,2866169,3381335,3616520,4070525,4672487,5284228,5837332,6330824,7214122,7757580,8394635,8670866,9015745,9364300,9915721,10287233,10645148,11306542,11983714,12726043,13595932,14645922,15326367,16030056,17255501,18182996,19378295,20232977,21006865,20983411,21777380,20235591,20787504,23538398
"24000","Maryland state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",365374,395010,441728,502634,646933,733662,775461,841513,913641,1039950,1214707,1349287,1610957,1738617,1940962,2187414,2553038,2836632,3079707,3547383,3862059,4176138,4336656,4490861,4680190,4978261,5207726,5416547,5756170,6121837,6544099,6971334,7518088,7887449,8230557,8717670,9269249,9908183,10439832,10863359,10877710,11069902,8964134,9152574,12115037
"24000","Maryland state total","2","CA4","38","...","  Employer contributions for government social insurance",385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7438918,7799499,8537831,8913747,9470112,9793145,10143506,10105701,10707478,11271457,11634930,11423361
"24000","Maryland state total","2","CA4","42","...","Plus: Adjustment for residence 6/",2320342,2712875,3022962,3279336,3477865,3680326,4056743,4349530,4690920,5092344,5462060,5947670,6284625,6788954,7134018,7802624,8405902,9016283,9641224,10685047,11493665,12094012,12639486,13401101,13623857,14019841,13990826,14364915,14299265,15660342,16738756,18980745,20015930,20804188,21800857,23409701,24495318,24977519,25919231,26302887,26525754,26982044,26772550,26949862,26982957
"24000","Maryland state total","2","CA4","45","...","Equals: Net earnings by place of residence",13858963,15272396,16656714,18232343,19943804,21497590,22954951,25046052,27116862,30037835,32814436,35700099,38762961,40865251,44006251,48802809,53229491,57637925,62897582,69353874,74123931,78277962,80234591,84114457,87204915,91018218,94195228,98148813,103730564,112856720,120901718,131858809,139611369,146406848,153779139,165232459,174058995,183143309,189307169,194652732,195150278,199984632,209752535,215548159,215645433
