"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"23000","Maine state total","1","CA4","10","...","Personal income (thousands of dollars)",3217148,3530087,3790516,4151378,4663075,5177766,5579554,6375293,6929396,7661149,8515457,9580192,10582181,11460243,12291207,13636166,14705766,15967428,17380918,19120608,20808575,21645481,21984109,23009814,23754880,24748554,25855731,27331040,28828680,30774427,32268937,34618284,36348132,37594299,39522843,41664127,42542595,45143495,47126621,48777252,48984861,49395325,51523515,52957962,54358810
"23000","Maine state total","1","CA4","11","...","  Nonfarm personal income 1/",3143813,3453553,3725208,4087514,4516641,4984260,5500586,6215601,6804312,7574965,8444073,9535217,10468580,11358703,12221010,13520788,14605394,15876399,17248520,19006296,20686398,21476570,21861311,22836383,23603452,24605556,25738133,27185217,28729059,30601185,32077993,34414865,36160141,37443435,39364956,41492213,42374655,44980664,46950554,48606774,48843060,49200568,51349804,52772108,54148603
"23000","Maine state total","1","CA4","12","...","  Farm income 2/",73335,76534,65308,63864,146434,193506,78968,159692,125084,86184,71384,44975,113601,101540,70197,115378,100372,91029,132398,114312,122177,168911,122798,173431,151428,142998,117598,145823,99621,173242,190944,203419,187991,150864,157887,171914,167940,162831,176067,170478,141801,194757,173711,185854,210207
"23000","Maine state total","1","CA4","20","...","Population (persons) 3/",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327366,1327844,1328501,1328302
"23000","Maine state total","1","CA4","30","...","Per capita personal income (dollars) 4/",3243,3541,3732,4012,4456,4884,5199,5849,6269,6868,7570,8502,9340,10082,10737,11800,12645,13646,14673,15883,17057,17573,17771,18579,19122,19916,20793,21881,22975,24441,25473,27108,28271,29009,30251,31715,32259,34106,35513,36661,36842,37213,38802,39863,40924
"23000","Maine state total","1","CA4","35","...","Earnings by place of work",2613574,2816280,2975985,3263105,3669333,3999514,4166823,4878206,5283683,5873385,6500249,7134767,7709863,8152786,8814393,9791652,10633540,11575986,12737320,14161941,15271944,15816828,15738791,16443496,16963814,17622989,18073502,18885584,19931208,21361917,22859056,24325976,25564609,26607045,27807697,29396662,29932653,31588160,32384231,33021319,32531082,33009172,33561283,34358446,35344912
"23000","Maine state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543851,2683629,2815354,2949232,2977381,3064000,3222156,3326869,3540050,3696445,3801530,3722973,3816875,3497578,3575559,4146765
"23000","Maine state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278702,1357390,1419981,1518398,1577951,1637037,1738287,1808358,1935866,2030909,2089998,2053327,2076612,1710245,1736111,2255759
"23000","Maine state total","1","CA4","38","...","  Employer contributions for government social insurance",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1399430,1426963,1483869,1518511,1604184,1665536,1711532,1669646,1740263,1787333,1839448,1891006
"23000","Maine state total","1","CA4","42","...","Plus: Adjustment for residence 6/",-24462,-20027,-19222,-22024,-12541,-7736,-21147,-24347,-25956,-24508,-17213,-13590,-48139,-46036,-33051,-26188,-4777,35148,59131,72767,72208,70876,88175,132117,191402,251041,318080,371529,445208,519225,585061,702037,744514,719690,707713,750878,780669,856656,919566,971709,967163,1017882,1100664,1136021,1163078
