"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"27000","Minnesota state total","4","CA4","10","...","Personal income (thousands of dollars)",14345217,15639973,16680898,18131659,21241112,22866034,24735777,26714497,30076921,33744658,37543702,41688633,46194017,49461502,52078024,59077179,62691735,66386943,70819483,74613817,81626963,86858665,89518675,96287636,99182021,106387546,112569821,121418986,128238767,139702289,147083764,159485064,166046330,170046605,177996776,187640732,193242514,204407701,216596736,226009474,217741413,226070882,241798408,254870154,257465551
"27000","Minnesota state total","4","CA4","11","...","  Nonfarm personal income 1/",13627063,14766404,15887434,17175297,19065996,21226718,23478247,25940658,28584797,32129395,36308734,40739182,45163721,48654038,51969452,57644749,61360927,64756965,68693658,73374814,79592575,84923220,88334014,94911083,99021588,105076705,112072937,119527608,127369438,138333321,145854131,158071253,165057031,169064430,176144050,185229664,190271233,201894500,214127519,221684905,214932297,222072260,236696421,247976513,253086110
"27000","Minnesota state total","4","CA4","12","...","  Farm income 2/",718154,873569,793464,956362,2175116,1639316,1257530,773839,1492124,1615263,1234968,949451,1030296,807464,108572,1432430,1330808,1629978,2125825,1239003,2034388,1935445,1184661,1376553,160433,1310841,496884,1891378,869329,1368968,1229633,1413811,989299,982175,1852726,2411068,2971281,2513201,2469217,4324569,2809116,3998622,5101987,6893641,4379441
"27000","Minnesota state total","4","CA4","20","...","Population (persons) 3/",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310337,5347108,5379646,5420380
"27000","Minnesota state total","4","CA4","30","...","Per capita personal income (dollars) 4/",3817,4099,4331,4689,5467,5865,6301,6752,7557,8426,9297,10205,11235,11972,12575,14209,14983,15787,16722,17368,18816,19786,20158,21418,21770,23076,24156,25764,26922,29024,30180,32326,33324,33881,35222,36881,37746,39587,41596,43074,41230,42572,45220,47377,47500
"27000","Minnesota state total","4","CA4","35","...","Earnings by place of work",11915060,12836396,13551241,14789824,17570692,18571942,19614459,21278579,24197805,27484192,30666814,33020537,35704091,36981718,38830174,44911050,47927313,51113448,55478351,58949066,63851728,67815595,70018810,76063255,78243080,84055658,87963010,95353635,100772047,110569957,117771818,127789010,132628635,136105153,142012312,150376561,154895713,160285677,167728949,174518257,164973548,171293773,181299345,190045857,193467351
"27000","Minnesota state total","4","CA4","36","...","Less: Contributions for government social insurance 5/",780755,824946,909712,1035955,1333115,1524691,1613191,1845024,2043116,2408734,2854780,3106791,3604125,3838381,4161127,4796342,5234150,5701287,6106551,6827892,7303127,7829106,8277886,8868523,9312637,9989813,10529842,11136281,11836089,12711756,13569510,14524661,15034335,15408005,16096627,17007574,17748068,18559969,19328661,19931952,19269254,19577577,18358525,19100229,22388112
"27000","Minnesota state total","4","CA4","37","...","  Employee and self-employed contributions for government social insurance",391670,416044,457156,512130,655185,753655,799257,889315,969467,1132160,1348369,1485504,1738540,1863027,1997146,2250475,2536605,2778989,3008453,3392268,3690541,3948293,4191645,4480646,4708282,5069015,5364161,5681617,6049480,6490396,6967065,7433201,7719236,7939265,8204324,8663716,9027867,9507555,9974989,10351473,10037454,10136953,8309909,8592908,11468043
"27000","Minnesota state total","4","CA4","38","...","  Employer contributions for government social insurance",389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099,7468740,7892303,8343858,8720201,9052414,9353672,9580479,9231800,9440624,10048616,10507321,10920069
"27000","Minnesota state total","4","CA4","42","...","Plus: Adjustment for residence 6/",-30866,-26925,-26990,-28920,-34913,-31664,-32986,-40833,-55028,-69194,-87455,-93433,-134386,-156601,-185484,-243060,-290604,-328285,-378208,-454412,-439897,-471593,-475768,-509823,-516011,-562106,-611073,-686186,-768333,-848598,-952762,-1038379,-1131111,-1122074,-1174946,-1234613,-1248937,-1190045,-1284989,-1293306,-1086642,-1117508,-1236123,-1087900,-1050957
