"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"28000","Mississippi state total","5","CA4","10","...","Personal income (thousands of dollars)",5534346,6064385,6718511,7653682,8743228,9609803,10424635,11812951,13145857,14641868,16547974,17983426,20191376,21325997,22324201,24389144,25713693,26664670,28191446,30152109,32652330,34263756,36033621,38868169,41408097,44806636,47305231,50189168,53016637,56230826,58203765,61420821,64990419,66292009,68872558,73006903,77953797,81395260,86389280,90414759,89585196,91577108,95614664,99885857,101441549
"28000","Mississippi state total","5","CA4","11","...","  Nonfarm personal income 1/",5188920,5673637,6286870,7164434,8056964,9101755,10055508,11246824,12546489,14197331,15854704,17808517,19868556,20908675,22228802,23916864,25282782,26467598,27611673,29427033,32092961,33782222,35457414,38209711,40836553,43974161,46638619,49122815,52035893,55273933,57270108,60640305,63419394,65662548,67691522,71214303,76195372,80593599,85267041,89237926,88414575,90441581,94532937,98222094,99139789
"28000","Mississippi state total","5","CA4","12","...","  Farm income 2/",345426,390748,431641,489248,686264,508048,369127,566127,599368,444537,693270,174909,322820,417322,95399,472280,430911,197072,579773,725076,559369,481534,576207,658458,571544,832475,666612,1066353,980744,956893,933657,780516,1571025,629461,1181036,1792600,1758425,801661,1122239,1176833,1170621,1135527,1081727,1663763,2301760
"28000","Mississippi state total","5","CA4","20","...","Population (persons) 3/",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970047,2977886,2986450,2991207
"28000","Mississippi state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2493,2730,2966,3317,3721,4040,4344,4861,5344,5885,6598,7121,7952,8341,8694,9460,9935,10281,10891,11685,12684,13286,13866,14814,15596,16663,17375,18263,19091,20048,20578,21564,22780,23190,24012,25271,26826,28019,29501,30672,30278,30834,32108,33446,33913
"28000","Mississippi state total","5","CA4","35","...","Earnings by place of work",4581440,4892473,5366833,6162803,7065383,7549200,7914563,9131633,10229652,11358597,12790507,13226143,14567942,15044010,15503606,17145740,18032007,18714773,20020496,21538449,22823139,24181258,25342901,27403910,29400117,32112592,33452015,35275702,37190790,39734391,41560798,43217146,45019143,45831565,48095473,51432431,53628570,55752070,57671134,59911466,58234276,59126102,60636966,64240710,65719231
"28000","Mississippi state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",290831,310203,351085,421301,538239,615467,653112,756504,850173,981797,1128894,1210227,1421451,1497310,1593803,1773270,1913772,2032083,2125070,2373612,2541703,2803227,2988565,3192126,3452582,3779262,3946158,4069038,4283603,4578797,4782557,4925724,5012801,5217390,5381229,5702363,5918412,6400993,6668802,6885755,6796465,6897786,6416654,6616215,7523930
"28000","Mississippi state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",146492,157094,176026,208537,265411,304493,323748,364519,404132,462266,535924,585132,693349,741378,781705,855215,953028,1024282,1080501,1217452,1330058,1455746,1560413,1662182,1792909,1969227,2074902,2137189,2253689,2397615,2516136,2590458,2653737,2770409,2864315,3023277,3188579,3494650,3676201,3802565,3756451,3821125,3113812,3185412,4128203
"28000","Mississippi state total","5","CA4","38","...","  Employer contributions for government social insurance",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2446981,2516914,2679086,2729833,2906343,2992601,3083190,3040014,3076661,3302842,3430803,3395727
"28000","Mississippi state total","5","CA4","42","...","Plus: Adjustment for residence 6/",35523,36846,58695,74171,93938,122755,149128,179508,218240,272165,327827,413070,440296,457636,513398,572418,603504,592040,630187,672096,715258,749499,804345,823464,840225,838439,921104,962756,1113441,1189394,1288456,1480091,1643371,1652803,1741644,1867790,2004408,2185431,2361893,2484105,2482527,2559312,2837943,3003289,3087916
