"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"30000","Montana state total","7","CA4","10","...","Personal income (thousands of dollars)",2353692,2608573,2791927,3235011,3747805,4073898,4490489,4813742,5205770,6104995,6558712,7207889,8183537,8625039,9088398,9611573,9759822,10150496,10431506,10707613,11806431,12420347,13247777,14097055,15247837,15661269,16515871,17288218,18022253,19344734,19945424,21322624,22445290,23054026,24495980,26144192,27723597,29976633,32182501,33880402,33142017,34284124,36801909,39357161,39962564
"30000","Montana state total","7","CA4","11","...","  Nonfarm personal income 1/",2113413,2318896,2542965,2835903,3174878,3611155,4093990,4593249,5140136,5807445,6445533,7092763,7961723,8458026,8965949,9572352,9849393,9917301,10119641,10603062,11392880,12031376,12703440,13615326,14482329,15281824,16187347,16987262,17792825,19053962,19568062,21071136,22105987,22865188,24153850,25601472,27142251,29825642,31778233,33371152,32758763,33744601,36072151,38415541,39161565
"30000","Montana state total","7","CA4","12","...","  Farm income 2/",240279,289677,248962,399108,572927,462743,396499,220493,65634,297550,113179,115126,221814,167013,122449,39221,-89571,233195,311865,104551,413551,388971,544337,481729,765508,379445,328524,300956,229428,290772,377362,251488,339303,188838,342130,542720,581346,150991,404268,509250,383254,539523,729758,941620,800999
"30000","Montana state total","7","CA4","20","...","Population (persons) 3/",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990527,997600,1005494,1015165
"30000","Montana state total","7","CA4","30","...","Per capita personal income (dollars) 4/",3391,3742,3927,4498,5152,5526,5994,6346,6749,7787,8311,9138,10290,10728,11165,11709,11869,12474,12957,13381,14765,15521,16362,17071,18050,18183,18842,19507,20253,21676,22223,23593,24748,25288,26637,28112,29490,31465,33360,34699,33682,34612,36890,39142,39366
"30000","Montana state total","7","CA4","35","...","Earnings by place of work",1877706,2049846,2174656,2562953,2985391,3177083,3417253,3651296,3917626,4672856,4934365,5238017,5795775,5889154,6169490,6439838,6445029,6771544,7035017,7264465,7994112,8438168,9188479,9841349,10837264,11042609,11368669,11828799,12227234,13198302,13888030,14654936,15420939,16047192,17012090,18257419,19521636,20667791,21933166,22790243,22097631,22906687,24310278,25811185,26466348
"30000","Montana state total","7","CA4","36","...","Less: Contributions for government social insurance 5/",126533,136515,150913,177363,227000,262363,283427,323987,368803,432677,496461,541596,632485,663807,699580,758281,789568,805275,827330,927041,996734,1118433,1219468,1323612,1461680,1547082,1564191,1562744,1585084,1642600,1692480,1792627,1907727,2021543,2123792,2259185,2457001,2655717,2856615,2925154,2872496,2948454,2797454,2877018,3314792
"30000","Montana state total","7","CA4","37","...","  Employee and self-employed contributions for government social insurance",60064,64901,70197,81686,104734,119022,128123,141128,160200,188078,214960,234513,275458,292708,304230,324053,349920,360710,371684,422512,461534,514672,560310,609218,651656,694473,727131,755496,788650,819146,850469,892478,962603,1006734,1049462,1124995,1224944,1321793,1420994,1466553,1450237,1481161,1239427,1283418,1680526
"30000","Montana state total","7","CA4","38","...","  Employer contributions for government social insurance",66469,71614,80716,95677,122266,143341,155304,182859,208603,244599,281501,307083,357027,371099,395350,434228,439648,444565,455646,504529,535200,603761,659158,714394,810024,852609,837060,807248,796434,823454,842011,900149,945124,1014809,1074330,1134190,1232057,1333924,1435621,1458601,1422259,1467293,1558027,1593600,1634266
"30000","Montana state total","7","CA4","42","...","Plus: Adjustment for residence 6/",-994,-1061,-724,-306,273,938,2362,3252,4132,3158,5915,13055,24846,17316,9243,5863,3205,-1635,-3338,-722,-2851,-4366,-11360,-1898,947,5544,8892,11938,13638,18568,22025,26925,33207,32166,31617,34630,34365,32462,35323,38773,32821,36377,45342,55345,60493
"30000","Montana state total","7","CA4","45","...","Equals: Net earnings by place of residence",1750179,1912270,2023019,2385284,2758664,2915658,3136188,3330561,3552955,4243337,4443819,4709476,5188136,5242663,5479153,5687420,5658666,5964634,6204349,6336702,6994527,7315369,7957651,8515839,9376531,9501071,9813370,10277993,10655788,11574270,12217575,12889234,13546419,14057815,14919915,16032864,17099000,18044536,19111874,19903862,19257956,19994610,21558166,22989512,23212049
"30000","Montana state total","7","CA4","46","...","Plus: Dividends, interest, and rent 7/",393972,455155,488500,539867,629285,735455,840099,914501,1039367,1188004,1355909,1605802,1963151,2227040,2343112,2572775,2672309,2660485,2628837,2685006,2964586,3081325,3158585,3269458,3387571,3582306,3946776,4151110,4448353,4740008,4714778,5060089,5243289,5209503,5623735,5880475,6105442,7031077,7839552,8276878,7439515,7393886,8367708,9216645,9406397
"30000","Montana state total","7","CA4","47","...","Plus: Personal current transfer receipts",209541,241148,280408,309860,359856,422785,514202,568680,613448,673654,758984,892611,1032250,1155336,1266133,1351378,1428847,1525377,1598320,1685905,1847318,2023653,2131541,2311758,2483735,2577892,2755725,2859115,2918112,3030456,3013071,3373301,3655582,3786708,3952330,4230853,4519155,4901020,5231075,5699662,6444546,6895628,6876035,7151004,7344118
"30000","Montana state total","7","CA4","50","...","Wages and salaries",1259884,1360438,1473954,1640804,1838252,2063928,2267604,2520607,2808049,3210793,3583651,3857771,4217962,4337577,4502426,4685203,4737732,4683894,4793999,5074530,5320222,5667646,6035514,6451963,6895828,7287082,7618148,8044238,8439543,8912587,9298852,9890097,10389840,10866692,11397884,12088634,12958920,13980604,15050340,15585473,15271299,15525214,16189870,17086192,17598059
"30000","Montana state total","7","CA4","60","...","Supplements to wages and salaries",168462,189469,220380,256605,294314,341928,390907,440660,504169,576306,649409,708902,794127,844905,921106,987843,1040886,1062240,1108479,1181260,1292805,1413960,1533053,1739459,1902934,2007902,2032782,2022214,2026313,2130676,2219027,2420903,2532093,2759799,2959228,3168565,3419958,3667872,3888998,4021778,3953713,4240523,4544793,4619895,4729276
