"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"38000","North Dakota state total","4","CA4","10","...","Personal income (thousands of dollars)",1994339,2104730,2426531,2889855,4038581,4003286,4200486,4116360,4275591,5370299,5513129,5277957,6912790,7485805,7885941,8491449,8781408,8908968,9159694,8468691,9500748,10284578,10404127,11404890,11556804,12538394,12567744,14058995,13795443,15129325,15259954,16610687,16961960,17312228,18904860,19239469,20421578,21357982,23608374,26906078,26635615,29182107,32783002,39493019,38471723
"38000","North Dakota state total","4","CA4","11","...","  Nonfarm personal income 1/",1610686,1800087,1994227,2223526,2511848,2841907,3258459,3642215,4005841,4509066,5015571,5665585,6545264,7184265,7523824,7884286,8087340,8220360,8376078,8534311,9063882,9517835,9795137,10336633,10939442,11487709,12146673,12758019,13499067,14166070,14577314,15520155,16172087,16719229,17416205,18304949,19241897,20626788,21999273,24128518,24604243,26674243,30609440,35154859,36900576
"38000","North Dakota state total","4","CA4","12","...","  Farm income 2/",383653,304643,432304,666329,1526733,1161379,942027,474145,269750,861233,497558,-387628,367526,301540,362117,607163,694068,688608,783616,-65620,436866,766743,608990,1068257,617362,1050685,421071,1300976,296376,963255,682640,1090532,789873,592999,1488655,934520,1179681,731194,1609101,2777560,2031372,2507864,2173562,4338160,1571147
"38000","North Dakota state total","4","CA4","20","...","Population (persons) 3/",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674344,684867,701345,723393
"38000","North Dakota state total","4","CA4","30","...","Per capita personal income (dollars) 4/",3211,3401,3872,4580,6386,6312,6579,6379,6586,8254,8454,8066,10482,11190,11654,12478,12971,13307,13854,12923,14699,16128,16365,17870,18023,19445,19400,21617,21233,23365,23686,25872,26542,27128,29594,29842,31608,32888,36164,40917,40055,43275,47868,56310,53182
"38000","North Dakota state total","4","CA4","35","...","Earnings by place of work",1637619,1699919,1961783,2376211,3451995,3329852,3387879,3253833,3281154,4288265,4328908,3770633,5012134,5210556,5530520,5974902,6153833,6204655,6526721,5926746,6679988,7368083,7555209,8453552,8508115,9431536,9225891,10600216,10082763,11297244,11469306,12511310,12804792,13169273,14764584,15098364,16062492,16765180,18401335,20836115,20597085,22667739,25275401,31340007,30572323
"38000","North Dakota state total","4","CA4","36","...","Less: Contributions for government social insurance 5/",102137,114696,128946,147359,189342,224187,256032,293514,302537,353571,411981,450289,532573,576432,613251,652117,677884,697767,727000,794183,839677,932765,1002204,1064376,1145865,1220547,1269860,1327100,1374237,1438458,1478326,1549617,1591339,1648574,1737801,1839797,1919226,2011778,2113065,2259730,2420431,2500511,2634201,2875334,3449037
"38000","North Dakota state total","4","CA4","37","...","  Employee and self-employed contributions for government social insurance",55114,60716,66442,73451,97324,115928,131847,145655,141350,164074,191653,210135,248299,268693,280981,297365,322388,336781,352170,386400,415409,458298,491548,515695,545072,580787,594265,619980,650246,675670,704478,732995,782989,804351,849686,902960,953019,1020873,1109806,1200857,1226929,1290570,1159961,1304426,1778677
"38000","North Dakota state total","4","CA4","38","...","  Employer contributions for government social insurance",47023,53980,62504,73908,92018,108259,124185,147859,161187,189497,220328,240154,284274,307739,332270,354752,355496,360986,374830,407783,424268,474467,510656,548681,600793,639760,675595,707120,723991,762788,773848,816622,808350,844223,888115,936837,966207,990905,1003259,1058873,1193502,1209941,1474240,1570908,1670360
"38000","North Dakota state total","4","CA4","42","...","Plus: Adjustment for residence 6/",-55222,-57720,-60522,-63947,-67472,-79082,-83160,-96656,-102522,-112903,-129592,-145048,-166215,-168197,-170865,-170508,-169687,-168062,-168237,-175212,-180123,-184109,-190884,-205838,-225261,-240338,-261651,-293776,-320758,-343740,-370171,-403622,-445150,-462060,-487141,-539657,-589940,-658295,-729194,-788235,-785520,-842058,-922281,-1004463,-1005007
"38000","North Dakota state total","4","CA4","45","...","Equals: Net earnings by place of residence",1480260,1527503,1772315,2164905,3195181,3026583,3048687,2863663,2876095,3821791,3787335,3175296,4313346,4465927,4746404,5152277,5306262,5338826,5631484,4957351,5660188,6251209,6362121,7183338,7136989,7970651,7694380,8979340,8387768,9515046,9620809,10558071,10768303,11058639,12539642,12718910,13553326,14095107,15559076,17788150,17391134,19325170,21718919,27460210,26118279
"38000","North Dakota state total","4","CA4","46","...","Plus: Dividends, interest, and rent 7/",331558,365556,406207,449134,532995,621121,731619,789043,893770,995755,1113121,1379668,1769910,2089655,2104944,2229858,2296069,2284963,2184253,2163248,2372413,2460704,2442517,2456126,2559067,2673292,2874231,2999276,3239026,3417573,3344701,3589157,3640307,3573609,3606752,3603556,3732832,3976998,4506192,5300424,5054607,5432581,6514233,7394734,7589114
"38000","North Dakota state total","4","CA4","47","...","Plus: Personal current transfer receipts",182521,211671,248009,275816,310405,355582,420180,463654,505726,552753,612673,722993,829534,930223,1034593,1109314,1179077,1285179,1343957,1348092,1468147,1572665,1599489,1765426,1860748,1894451,1999133,2080379,2168649,2196706,2294444,2463459,2553350,2679980,2758466,2917003,3135420,3285877,3543106,3817504,4189874,4424356,4549850,4638075,4764330
