"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"31000","Nebraska state total","4","CA4","10","...","Personal income (thousands of dollars)",5392547,5810184,6379847,7064041,8233786,8580634,9809330,10243535,11099257,12841200,13847129,14758002,17124357,18431870,19109809,21221110,22363411,23027282,24070862,25712355,27251906,29196537,30313399,32240015,33295609,35382737,37392951,40722773,41903395,44810542,46905954,49644698,51903663,52979457,56570629,58934774,61116336,63822109,68586773,72814414,71552933,73058889,80522358,85187389,88113758
"31000","Nebraska state total","4","CA4","11","...","  Nonfarm personal income 1/",4790570,5270204,5694525,6258264,7010098,7813973,8706877,9663076,10576084,11765001,13101995,14659998,16299516,17674101,18568702,20071023,20924060,21623843,22447794,23694288,25418194,27010471,28328092,30135210,31564493,33550288,36085640,38142243,40162619,43182698,45350527,48215421,50113624,51934188,53936359,56087664,58260131,62201637,65910606,69227437,68362617,69728723,74095095,79922794,81326128
"31000","Nebraska state total","4","CA4","12","...","  Farm income 2/",601977,539980,685322,805777,1223688,766661,1102453,580459,523173,1076199,745134,98004,824841,757769,541107,1150087,1439351,1403439,1623068,2018067,1833712,2186066,1985307,2104805,1731116,1832449,1307311,2580530,1740776,1627844,1555427,1429277,1790039,1045269,2634270,2847110,2856205,1620472,2676167,3586977,3190316,3330166,6427263,5264595,6787630
"31000","Nebraska state total","4","CA4","20","...","Population (persons) 3/",1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829838,1841749,1855350,1868516
"31000","Nebraska state total","4","CA4","30","...","Per capita personal income (dollars) 4/",3658,3905,4241,4653,5387,5580,6364,6613,7140,8227,8852,9386,10848,11653,12062,13358,14112,14627,15366,16362,17304,18459,18994,20004,20482,21587,22567,24330,24848,26424,27515,28967,30179,30654,32537,33689,34696,36003,38458,40534,39473,39926,43721,45914,47157
"31000","Nebraska state total","4","CA4","35","...","Earnings by place of work",4437208,4696465,5160262,5717465,6702299,6836987,7719175,8062131,8678272,10192194,10926850,11129720,12707950,13110123,13514163,15330101,16349884,16923717,18055531,19566989,20557272,22209887,22990234,24576009,25325873,27088344,28256695,31061846,31830350,33878383,35866862,37719712,39711230,40603146,43771006,46216963,47939616,49200030,52159767,55076071,54492904,55595036,61032998,63555671,66902422
"31000","Nebraska state total","4","CA4","36","...","Less: Contributions for government social insurance 5/",268894,288903,320511,364192,467698,541229,579697,661720,722444,831003,966441,1044440,1200899,1279035,1351035,1519758,1645456,1765833,1866729,2085844,2230599,2466361,2605788,2735261,2879929,3086002,3235447,3414813,3636744,3853126,4058765,4239261,4412232,4575796,4744242,4958975,5222178,5617305,5843132,6029156,6045080,6253140,5739013,5893248,6786954
"31000","Nebraska state total","4","CA4","37","...","  Employee and self-employed contributions for government social insurance",148542,158457,173831,192981,248528,283873,303449,332892,356035,409549,477319,521641,600785,645816,672965,743654,829034,890905,959857,1079236,1168454,1283705,1356776,1424665,1506860,1621971,1691618,1782382,1890524,2003401,2108228,2200302,2283029,2360824,2444688,2566155,2703241,2901760,3059070,3173582,3202254,3248168,2647306,2747825,3624778
"31000","Nebraska state total","4","CA4","38","...","  Employer contributions for government social insurance",120352,130446,146680,171211,219170,257356,276248,328828,366409,421454,489122,522799,600114,633219,678070,776104,816422,874928,906872,1006608,1062145,1182656,1249012,1310596,1373069,1464031,1543829,1632431,1746220,1849725,1950537,2038959,2129203,2214972,2299554,2392820,2518937,2715545,2784062,2855574,2842826,3004972,3091707,3145423,3162176
"31000","Nebraska state total","4","CA4","42","...","Plus: Adjustment for residence 6/",-101630,-109519,-113206,-121461,-124618,-132940,-141910,-148987,-148095,-170539,-198213,-214303,-254359,-262112,-275710,-315815,-341867,-344006,-343414,-379472,-391677,-391016,-426864,-470869,-486455,-501852,-547463,-598931,-676621,-714287,-799588,-867471,-898964,-943372,-997083,-1018360,-1043610,-1009743,-1108188,-1157091,-1117681,-1030396,-1073512,-1105923,-1083742
