"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"33000","New Hampshire state total","1","CA4","10","...","Personal income (thousands of dollars)",2788141,2974271,3228188,3569215,4015901,4422445,4815390,5442054,6153548,7095505,8108577,9271818,10503440,11566299,12712732,14381628,15891004,17587423,19462932,21419960,22923280,23022401,23780781,24939920,25778219,27562984,29283501,31012648,33314421,36146245,38128370,42503727,44115391,44966108,46242448,49312433,51009796,54511073,56943694,58405586,57663794,59199357,62824576,66155442,67513196
"33000","New Hampshire state total","1","CA4","11","...","  Nonfarm personal income 1/",2767376,2957998,3213828,3553441,3995624,4409343,4798691,5423796,6136053,7076960,8087692,9258623,10481260,11548068,12696052,14360752,15867450,17563520,19421137,21375628,22889621,22979488,23737538,24890248,25737779,27525002,29250280,30974142,33278595,36108124,38085384,42461080,44075611,44926084,46195408,49256616,50962141,54472941,56904069,58370416,57642943,59172139,62799872,66134287,67490145
"33000","New Hampshire state total","1","CA4","12","...","  Farm income 2/",20765,16273,14360,15774,20277,13102,16699,18258,17495,18545,20885,13195,22180,18231,16680,20876,23554,23903,41795,44332,33659,42913,43243,49672,40440,37982,33221,38506,35826,38121,42986,42647,39780,40024,47040,55817,47655,38132,39625,35170,20851,27218,24704,21155,23051
"33000","New Hampshire state total","1","CA4","20","...","Population (persons) 3/",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316614,1318075,1321617,1323459
"33000","New Hampshire state total","1","CA4","30","...","Per capita personal income (dollars) 4/",3851,4009,4236,4566,5008,5413,5801,6425,7058,7937,8892,10032,11214,12204,13268,14722,15943,17158,18461,19786,20754,20696,21425,22312,22824,24124,25298,26400,28009,29974,31201,34280,35137,35432,36131,38223,39284,41663,43384,44384,43814,44963,47664,50056,51013
"33000","New Hampshire state total","1","CA4","35","...","Earnings by place of work",2026693,2144600,2301462,2557336,2908477,3133817,3302036,3805125,4320689,5035765,5755302,6371092,7047598,7595508,8517379,9618257,10792113,12127963,13710626,15133313,15764854,15639200,15623098,16746970,17488705,18647680,19776076,21109756,22874253,25175408,26857834,29747297,31016142,31909132,33189444,35386101,36908432,38987334,39796313,40413447,39829955,41034813,42175702,43473521,44796913
"33000","New Hampshire state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",129247,135524,150680,176601,229731,257857,267113,310398,354374,421132,503725,559499,667377,739592,840841,977213,1125603,1275546,1420277,1605740,1677354,1709627,1730459,1838805,1918891,2074471,2223507,2347051,2521463,2734310,2903872,3190015,3323809,3386985,3552509,3811939,3979208,4150365,4322642,4461100,4433958,4559703,4235288,4338533,4973216
"33000","New Hampshire state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",68066,71531,79118,90990,118058,133873,139165,156874,178743,208033,252081,283758,341113,380858,426725,486982,577525,655476,741632,840278,886377,902494,923506,984143,1029233,1113900,1197421,1259629,1348440,1462980,1559780,1708437,1787966,1835607,1923428,2047491,2159243,2269337,2379771,2455965,2411997,2449282,2010770,2052558,2698053
"33000","New Hampshire state total","1","CA4","38","...","  Employer contributions for government social insurance",61181,63993,71562,85611,111673,123984,127948,153524,175631,213099,251644,275741,326264,358734,414116,490231,548078,620070,678645,765462,790977,807133,806953,854662,889658,960571,1026086,1087422,1173023,1271330,1344092,1481578,1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2110421,2224518,2285975,2275163
"33000","New Hampshire state total","1","CA4","42","...","Plus: Adjustment for residence 6/",235468,221416,230757,253991,281936,324673,357649,402354,474935,567144,682666,845365,953349,1038152,1154880,1364386,1498518,1573942,1685850,1825974,1944870,1975350,2121219,2181038,2306698,2403067,2395658,2571205,2808770,2909990,3382530,4028537,4070651,3863282,3818325,3970769,3952881,4087746,4459190,4599043,4124354,4506769,4998564,5285868,5230375
"33000","New Hampshire state total","1","CA4","45","...","Equals: Net earnings by place of residence",2132914,2230492,2381539,2634726,2960682,3200633,3392572,3897081,4441250,5181777,5934243,6656958,7333570,7894068,8831418,10005430,11165028,12426359,13976199,15353547,16032370,15904923,16013858,17089203,17876512,18976276,19948227,21333910,23161560,25351088,27336492,30585819,31762984,32385429,33455260,35544931,36882105,38924715,39932861,40551390,39520351,40981879,42938978,44420856,45054072
"33000","New Hampshire state total","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",451900,502449,554427,612167,675045,766311,836784,920535,1052254,1190236,1346640,1645443,2034114,2426303,2550177,2967834,3251495,3614662,3907262,4352847,4973813,4970014,4892871,4789937,4938036,5220624,5710205,6099187,6433639,6936062,6850281,7672056,7713985,7529887,7606818,8101078,8214555,9270761,10157016,10325434,9592864,9348510,11025161,12566925,12938861
"33000","New Hampshire state total","1","CA4","47","...","Plus: Personal current transfer receipts",203327,241330,292222,322322,380174,455501,586034,624438,660044,723492,827694,969417,1135756,1245928,1331137,1408364,1474481,1546402,1579471,1713566,1917097,2147464,2874052,3060780,2963671,3366084,3625069,3579551,3719222,3859095,3941597,4245852,4638422,5050792,5180370,5666424,5913136,6315597,6853817,7528762,8550579,8868968,8860437,9167661,9520263
"33000","New Hampshire state total","1","CA4","50","...","Wages and salaries",1618555,1719171,1823045,2012664,2288524,2475207,2567886,2918453,3301815,3840805,4380309,4871520,5396736,5864493,6479476,7244315,8115064,9099130,10152041,11198672,11627541,11681999,11539595,12211564,12633017,13469426,14490959,15465188,16828867,18348810,19560012,21673479,22310997,22565486,23377194,24861228,25963958,27444014,28496230,29097567,28036590,28491418,29496040,30502952,31242740
"33000","New Hampshire state total","1","CA4","60","...","Supplements to wages and salaries",176403,195065,219832,258221,300065,334451,387990,456052,540376,645908,753257,853523,977876,1076860,1234929,1388185,1566075,1791928,1994764,2205637,2361750,2407081,2447196,2716851,2895471,3075368,3168359,3246877,3398861,3706649,3922336,4330325,4702113,4929694,5269240,5648745,5985033,6225380,6479209,6736333,7078948,7536380,7548258,7279440,7501874
"33000","New Hampshire state total","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",115222,131072,148270,172610,188392,210467,260042,302528,364745,432809,501613,577782,651612,718126,820813,897954,1017997,1171858,1316119,1440175,1570773,1599948,1640243,1862189,2005813,2114797,2142273,2159455,2225838,2435319,2578244,2848747,3166270,3378316,3640159,3884297,4165068,4344352,4536338,4731198,5056987,5425959,5323740,4993465,5226711
"33000","New Hampshire state total","1","CA4","62","...","  Employer contributions for government social insurance",61181,63993,71562,85611,111673,123984,127948,153524,175631,213099,251644,275741,326264,358734,414116,490231,548078,620070,678645,765462,790977,807133,806953,854662,889658,960571,1026086,1087422,1173023,1271330,1344092,1481578,1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2110421,2224518,2285975,2275163
"33000","New Hampshire state total","1","CA4","70","...","Proprietors' income 9/",231735,230364,258585,286451,319888,324159,346160,430620,478498,549052,621736,646049,672986,654155,802974,985757,1110974,1236905,1563821,1729004,1775563,1550120,1636307,1818555,1960217,2102886,2116758,2397691,2646525,3119949,3375486,3743493,4003032,4413952,4543010,4876128,4959441,5317940,4820874,4579547,4714417,5007015,5131404,5691129,6052299
"33000","New Hampshire state total","1","CA4","71","...","  Farm proprietors' income",13928,9228,8256,10257,13857,6631,9715,10945,8810,4644,6119,-1747,8185,2751,1498,5343,7554,8600,26261,26845,14912,20880,21615,28809,16098,13110,3906,7047,1607,4396,12322,8089,5195,-1648,9619,19618,18589,5949,1904,-857,-13629,-5189,-3295,-20627,-22348
"33000","New Hampshire state total","1","CA4","72","...","  Nonfarm proprietors' income",217807,221136,250329,276194,306031,317528,336445,419675,469688,544408,615617,647796,664801,651404,801476,980414,1103420,1228305,1537560,1702159,1760651,1529240,1614692,1789746,1944119,2089776,2112852,2390644,2644918,3115553,3363164,3735404,3997837,4415600,4533391,4856510,4940852,5311991,4818970,4580404,4728046,5012204,5134699,5711756,6074647
"33000","New Hampshire state total","1","CA4","7010","...","Total employment",334070,333695,336311,349678,374038,380712,370436,393755,418419,445596,467512,481610,491780,498144,517638,553158,585708,617430,634718,659854,659566,642570,616340,628633,641906,665701,679441,695920,716703,742325,759913,782290,787925,788938,798255,813275,827338,836230,848973,846221,823191,814291,819808,825524,835190
"33000","New Hampshire state total","1","CA4","7020","...","  Wage and salary employment",293525,292998,294221,303781,324208,328793,317235,337520,358229,383126,402077,409799,419439,420073,436058,465664,488176,511904,534017,549439,549377,526814,500288,504915,516160,536019,553993,568572,584885,604077,620478,637473,640651,636208,637840,644811,649969,656964,660440,658979,635883,630596,634658,641754,648182
"33000","New Hampshire state total","1","CA4","7040","...","  Proprietors employment",40545,40697,42090,45897,49830,51919,53201,56235,60190,62470,65435,71811,72341,78071,81580,87494,97532,105526,100701,110415,110189,115756,116052,123718,125746,129682,125448,127348,131818,138248,139435,144817,147274,152730,160415,168464,177369,179266,188533,187242,187308,183695,185150,183770,187008
"33001","Belknap, NH ","1","CA4","10","...","Personal income (thousands of dollars)",121944,130708,146375,161947,183250,203152,223127,251670,283613,327419,373396,424222,471468,514085,558923,630569,690230,780345,869132,959782,1019242,972910,985326,1013141,1084338,1148246,1261239,1330763,1435992,1559380,1629900,1763611,1864915,1903089,1943154,2091509,2172834,2310271,2427896,2491836,2485657,2506525,2685064,2836800,2910191
"33001","Belknap, NH ","1","CA4","11","...","  Nonfarm personal income 1/",121268,130194,145939,161480,182680,202899,222775,251376,283464,327423,373470,424358,471226,513829,558854,630150,689769,779585,868856,959376,1018528,972184,984565,1012468,1083894,1147794,1260983,1330430,1435590,1558870,1629089,1762557,1864140,1902250,1941558,2089414,2171011,2308752,2426223,2490484,2484871,2505772,2684451,2836325,2909485
"33001","Belknap, NH ","1","CA4","12","...","  Farm income 2/",676,514,436,467,570,253,352,294,149,-4,-74,-136,242,256,69,419,461,760,276,406,714,726,761,673,444,452,256,333,402,510,811,1054,775,839,1596,2095,1823,1519,1673,1352,786,753,613,475,706
"33001","Belknap, NH ","1","CA4","20","...","Population (persons) 3/",31636,32562,33579,34397,35426,36439,36982,38138,39250,41443,42802,42914,42935,43619,44025,44704,45084,46139,47273,48526,49224,49347,49180,49626,50226,50850,51991,53020,53391,54459,55517,56473,57597,58609,59497,60170,60287,60105,60109,60239,60171,60108,60232,60392,60179
"33001","Belknap, NH ","1","CA4","30","...","Per capita personal income (dollars) 4/",3855,4014,4359,4708,5173,5575,6033,6599,7226,7900,8724,9885,10981,11786,12696,14105,15310,16913,18385,19779,20706,19716,20035,20416,21589,22581,24259,25099,26896,28634,29359,31229,32379,32471,32660,34760,36042,38437,40392,41366,41310,41700,44579,46973,48359
"33001","Belknap, NH ","1","CA4","35","...","Earnings by place of work",93794,98516,108384,118851,134985,145195,151042,171039,192009,222005,250946,274116,290940,307984,344934,397458,438052,505260,588666,656659,673056,617539,597209,613294,644859,701403,750409,794029,872915,967934,1024896,1074348,1143835,1201530,1244203,1336490,1400310,1459346,1478979,1464035,1437903,1441866,1452632,1483860,1535011
"33001","Belknap, NH ","1","CA4","36","...","Less: Contributions for government social insurance 5/",5898,6162,6930,8155,10639,11952,12196,13873,15716,18435,21843,23913,27308,29716,33425,39765,44987,52282,60720,69734,71464,67077,65870,67201,70593,77991,84589,88057,95626,104532,110104,115595,123674,128249,134223,146229,154132,158682,164088,165440,164467,165445,152115,153937,175418
"33001","Belknap, NH ","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",3203,3353,3777,4322,5591,6348,6540,7224,8154,9361,11220,12438,14337,15737,17525,20459,23902,27761,32567,37273,38777,36514,36272,37350,39373,43610,47427,49240,53060,57973,61256,63694,68145,71358,74443,80006,85323,88260,92464,93435,91692,91200,75546,76488,98637
"33001","Belknap, NH ","1","CA4","38","...","  Employer contributions for government social insurance",2695,2809,3153,3833,5048,5604,5656,6649,7562,9074,10623,11475,12971,13979,15900,19306,21085,24521,28153,32461,32687,30563,29598,29851,31220,34381,37162,38817,42566,46559,48848,51901,55529,56891,59780,66223,68809,70422,71624,72005,72775,74245,76569,77449,76781
"33001","Belknap, NH ","1","CA4","42","...","Plus: Adjustment for residence 6/",830,887,2386,4207,5781,8263,10740,14314,18150,22887,28610,35564,38586,38942,41314,43155,48174,52032,54057,52500,53646,62848,65606,76494,83266,88502,93403,101826,108293,116474,130153,155667,160322,163688,166160,164275,167219,180555,193916,204421,201243,220887,235664,245907,246847
"33001","Belknap, NH ","1","CA4","45","...","Equals: Net earnings by place of residence",88726,93241,103840,114903,130127,141506,149586,171480,194443,226457,257713,285767,302218,317210,352823,400848,441239,505010,582003,639425,655238,613310,596945,622587,657532,711914,759223,807798,885582,979876,1044945,1114420,1180483,1236969,1276140,1354536,1413397,1481219,1508807,1503016,1474679,1497308,1536181,1575830,1606440
"33001","Belknap, NH ","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",22385,24637,26934,29659,32400,36695,39906,44611,51915,59380,68248,83480,103052,124003,128108,147648,162295,185861,195721,222847,257513,242723,237757,230501,270215,256029,308321,328360,349160,371851,369319,415041,427804,387998,382638,431967,435130,478771,541288,574709,538619,522936,664775,752683,773285
"33001","Belknap, NH ","1","CA4","47","...","Plus: Personal current transfer receipts",10833,12830,15601,17385,20723,24951,33635,35579,37255,41582,47435,54975,66198,72872,77992,82073,86696,89474,91408,97510,106491,116877,150624,160053,156591,180303,193695,194605,201250,207653,215636,234150,256628,278122,284376,305006,324307,350281,377801,414111,472359,486281,484108,508287,530466
"33001","Belknap, NH ","1","CA4","50","...","Wages and salaries",71694,76145,81159,90952,103804,112071,114353,127909,143607,164745,186034,203502,215226,229698,250804,286170,312437,358584,419094,470291,479258,442615,423146,425166,442428,482942,523414,552387,608521,665912,703744,751998,788252,810767,840827,904723,950472,988240,1017527,1026038,990767,974690,985481,996575,1024498
"33001","Belknap, NH ","1","CA4","60","...","Supplements to wages and salaries",7397,8278,9315,11102,13168,14672,16798,19626,23342,27796,32290,36102,39353,42991,49233,56403,62895,73817,84458,95973,100907,96009,95340,100352,108363,117162,121529,123674,132138,142305,150902,159201,177139,188331,205326,224070,238245,246083,253475,259906,272550,285106,275303,263544,275114
