"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"34000","New Jersey state total","2","CA4","10","...","Personal income (thousands of dollars)",32545792,35351558,38133439,41444820,45038421,48927606,52917200,57351024,62745791,69672031,77334636,86934922,97038582,104825680,113436216,125640359,134879878,144343401,155764130,171076670,183674052,192477565,195941509,210678347,217174501,224901516,239229244,253096819,269675555,286970450,300201448,330112256,341587110,346412924,354224079,371906253,387156824,416264340,439061386,451184309,440110350,448421829,471193336,487127416,492896761
"34000","New Jersey state total","2","CA4","11","...","  Nonfarm personal income 1/",32442755,35253663,38042844,41358786,44915582,48794045,52822986,57253328,62638097,69549416,77212260,86823819,96893538,104663130,113248204,125444674,134657666,144118884,155511260,170829414,183434527,192242477,195722385,210451154,216919817,224630610,238963980,252811180,269440468,286717556,299980024,329801378,341332846,346140829,353930254,371592064,386830348,415902631,438690183,450810854,439761198,448083372,470821101,486695723,492456829
"34000","New Jersey state total","2","CA4","12","...","  Farm income 2/",103037,97895,90595,86034,122839,133561,94214,97696,107694,122615,122376,111103,145044,162550,188012,195685,222212,224517,252870,247256,239525,235088,219124,227193,254684,270906,265264,285639,235087,252894,221424,310878,254264,272095,293825,314189,326476,361709,371203,373455,349152,338457,372235,431693,439932
"34000","New Jersey state total","2","CA4","20","...","Population (persons) 3/",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8802707,8836639,8867749,8899339
"34000","New Jersey state total","2","CA4","30","...","Per capita personal income (dollars) 4/",4587,4917,5237,5649,6140,6670,7208,7809,8546,9471,10489,11786,13100,14107,15190,16718,17828,18937,20306,22182,23773,24794,25074,26734,27321,28063,29596,31056,32812,34627,35911,39156,40221,40504,41182,43072,44748,48058,50595,51794,50266,50941,53323,54932,55386
"34000","New Jersey state total","2","CA4","35","...","Earnings by place of work",24206080,26138479,27944080,30497025,33590063,36066494,37810763,41445656,45614052,51144799,56665895,61987535,67831106,72374297,79014564,88041763,95525420,103365674,113331015,125596149,132390955,138228029,139780185,149557852,155584411,162176911,169973274,178597141,189089010,201819529,212958763,233302319,240356939,247775910,254804298,266757135,277479673,291470125,301121165,307403421,300360330,304345241,311922230,323349896,331394797
"34000","New Jersey state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",1828909,1958328,2170286,2484459,3130999,3460896,3543703,3932759,4315581,4987449,5747596,6317104,7368483,7997290,8983120,10427213,11395386,12408210,13524602,15223856,15871219,16024155,16532974,17490599,18116326,19137986,19893511,20744622,21524218,22686630,23765637,25555863,26592891,27295761,27721331,29096063,30532497,31790200,33658955,34560918,33759964,34271587,31561518,32325475,37405473
"34000","New Jersey state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",837469,905100,1002366,1116312,1395567,1554720,1617516,1734717,1901704,2185664,2538417,2836461,3332829,3650418,4023730,4568085,5185183,5769132,6418699,7294127,7777989,7879921,8245548,8664966,8849684,9356350,9841912,10370285,10716891,11449282,12065862,12939109,13490987,14005453,14367417,15127285,15982023,16883606,17733924,18190517,17776120,17942147,14552182,14777063,19430809
"34000","New Jersey state total","2","CA4","38","...","  Employer contributions for government social insurance",991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904,13290308,13353914,13968778,14550474,14906594,15925031,16370401,15983844,16329440,17009336,17548412,17974664
"34000","New Jersey state total","2","CA4","42","...","Plus: Adjustment for residence 6/",3188601,3145488,3240759,3447154,3542574,3714970,3922205,4094030,4455307,5032181,5768728,6722409,7307990,7776878,8118367,8544341,8970728,9556383,10090383,10507720,10363945,10373158,10323459,12089501,12277737,12264053,13400471,15361831,18129494,19634120,21539707,24593451,26546611,23429802,23212383,25869623,27997774,32282733,37205805,37286502,31581841,34952073,38897044,38531699,38271394
"34000","New Jersey state total","2","CA4","45","...","Equals: Net earnings by place of residence",25565772,27325639,29014553,31459720,34001638,36320568,38189265,41606927,45753778,51189531,56687027,62392840,67770613,72153885,78149811,86158891,93100762,100513847,109896796,120880013,126883681,132577032,133570670,144156754,149745822,155302978,163480234,173214350,185694286,198767019,210732833,232339907,240310659,243909951,250295350,263530695,274944950,291962658,304668015,310129005,298182207,305025727,319257756,329556120,332260718
"34000","New Jersey state total","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",4767523,5336663,5842115,6321863,6905354,7759551,8390358,8901739,9774478,10801919,12105594,14781388,18306436,20655840,22310611,25948156,27593612,28978114,30519995,33858155,39294300,40595418,40181136,40817344,40563674,42361110,46689488,49920391,53261958,56630539,56534956,62610934,62191214,60233018,61176188,65040198,66587032,74744223,82494219,84545589,76930363,74313819,82329606,87815702,90188656
"34000","New Jersey state total","2","CA4","47","...","Plus: Personal current transfer receipts",2212497,2689256,3276771,3663237,4131429,4847487,6337577,6842358,7217535,7680581,8542015,9760694,10961533,12015955,12975794,13533312,14185504,14851440,15347339,16338502,17496071,19305115,22189703,25704249,26865005,27237428,29059522,29962078,30719311,31572892,32933659,35161415,39085237,42269955,42752541,43335360,45624842,49557459,51899152,56509715,64997780,69082283,69605974,69755594,70447387
"34000","New Jersey state total","2","CA4","50","...","Wages and salaries",19375644,21050932,22433439,24349851,26830235,28864426,29806688,32362945,35172692,39180363,43375756,47796820,52255553,55888303,60465783,67086205,72655761,78855625,86623681,95332792,100234771,104947923,105959445,111735692,115796129,120256071,125410133,131446457,139717802,150785679,159052400,174304126,177042075,179841170,184583153,192465013,199878257,210426497,219786983,224110040,214845223,217260632,221687584,228300967,234209096
"34000","New Jersey state total","2","CA4","60","...","Supplements to wages and salaries",2519616,2758810,3063991,3512492,3956032,4333114,4995904,5606334,6359325,7275480,8246011,9296323,10526161,11528975,12934406,14430306,15626477,16986340,18209602,20019463,21475540,22157313,23012732,25439752,26910334,27950621,28127507,28758080,29718840,31499608,32647798,35396077,37086226,39688844,41867445,44713901,47935469,48022270,49658817,50329072,51330504,51556881,52735612,54799389,54747334
"34000","New Jersey state total","2","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",1528176,1705582,1896071,2144345,2220600,2426938,3069717,3408292,3945448,4473695,5036832,5815680,6490507,7182103,7975016,8571178,9416274,10347262,11103699,12089734,13382310,14013079,14725306,16614119,17643692,18168985,18075908,18383743,18911513,20262260,20948023,22779323,23984322,26398536,28513531,30745123,33384995,33115676,33733786,33958671,35346660,35227441,35726276,37250977,36772670
"34000","New Jersey state total","2","CA4","62","...","  Employer contributions for government social insurance",991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904,13290308,13353914,13968778,14550474,14906594,15925031,16370401,15983844,16329440,17009336,17548412,17974664
"34000","New Jersey state total","2","CA4","70","...","Proprietors' income 9/",2310820,2328737,2446650,2634682,2803796,2868954,3008171,3476377,4082035,4688956,5044128,4894392,5049392,4957019,5614375,6525252,7243182,7523709,8497732,10243894,10680644,11122793,10808008,12382408,12877948,13970219,16435634,18392604,19652368,19534242,21258565,23602116,26228638,28245896,28353700,29578221,29665947,33021358,31675365,32964309,34184603,35527728,37499034,40249540,42438367
"34000","New Jersey state total","2","CA4","71","...","  Farm proprietors' income",54393,46614,42734,35915,68144,80282,33824,32032,34988,54889,50667,38736,76937,88658,115361,121708,146036,151694,178446,161733,146133,123622,107725,117096,131494,147844,123298,135626,73320,88170,65867,127646,62303,30067,73065,93926,144772,154367,120646,137311,122719,125078,188889,154094,141609
"34000","New Jersey state total","2","CA4","72","...","  Nonfarm proprietors' income",2256427,2282123,2403916,2598767,2735652,2788672,2974347,3444345,4047047,4634067,4993461,4855656,4972455,4868361,5499014,6403544,7097146,7372015,8319286,10082161,10534511,10999171,10700283,12265312,12746454,13822375,16312336,18256978,19579048,19446072,21192698,23474470,26166335,28215829,28280635,29484295,29521175,32866991,31554719,32826998,34061884,35402650,37310145,40095446,42296758
"34000","New Jersey state total","2","CA4","7010","...","Total employment",3061493,3124572,3119402,3184143,3288124,3300540,3190693,3248286,3325139,3464561,3551507,3600866,3630962,3638914,3739129,3914206,4025613,4121635,4219864,4316583,4351212,4309704,4172215,4170013,4197161,4231628,4296373,4351845,4412438,4496042,4562065,4737168,4757820,4772265,4807481,4888349,4971207,5043704,5119333,5115938,4990970,4944295,5000754,5038905,5103068
"34000","New Jersey state total","2","CA4","7020","...","  Wage and salary employment",2745695,2800562,2791118,2851162,2939972,2951364,2841180,2901486,2968113,3095088,3173395,3207037,3230913,3209832,3288638,3450644,3524102,3598736,3697185,3756735,3793376,3721161,3592692,3558014,3598638,3649057,3688835,3716736,3788305,3876020,3927176,4057425,4059472,4052131,4044351,4073426,4105791,4140848,4152832,4126107,3968683,3911956,3908751,3946196,3989089
"34000","New Jersey state total","2","CA4","7040","...","  Proprietors employment",315798,324010,328284,332981,348152,349176,349513,346800,357026,369473,378112,393829,400049,429082,450491,463562,501511,522899,522679,559848,557836,588543,579523,611999,598523,582571,607538,635109,624133,620022,634889,679743,698348,720134,763130,814923,865416,902856,966501,989831,1022287,1032339,1092003,1092709,1113979
"34001","Atlantic, NJ ","2","CA4","10","...","Personal income (thousands of dollars)",695603,784227,873283,965913,1081184,1173275,1284620,1420101,1573316,1778521,2068377,2382387,2729174,2913272,3175641,3585914,3836203,4102578,4351086,4756914,4958899,5062822,4794305,5396021,5665952,5814038,6297383,6720696,7079302,7382711,7589007,8040987,8299976,8586573,8968356,9414424,9826619,10294196,10594881,10873751,10806141,10943946,11375640,11644545,11703525
"34001","Atlantic, NJ ","2","CA4","11","...","  Nonfarm personal income 1/",689281,778097,867130,960869,1073468,1164715,1276810,1411519,1562148,1767162,2059096,2371029,2718771,2899114,3155475,3571229,3816517,4081471,4333145,4738976,4941321,5046527,4774788,5374447,5640639,5788538,6269816,6690588,7050573,7357067,7567630,8011057,8271906,8551673,8934800,9381284,9782487,10229559,10527121,10809101,10736921,10886877,11305345,11561448,11618682
"34001","Atlantic, NJ ","2","CA4","12","...","  Farm income 2/",6322,6130,6153,5044,7716,8560,7810,8582,11168,11359,9281,11358,10403,14158,20166,14685,19686,21107,17941,17938,17578,16295,19517,21574,25313,25500,27567,30108,28729,25644,21377,29930,28070,34900,33556,33140,44132,64637,67760,64650,69220,57069,70295,83097,84843
"34001","Atlantic, NJ ","2","CA4","20","...","Population (persons) 3/",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274732,274794,275362,275862
"34001","Atlantic, NJ ","2","CA4","30","...","Per capita personal income (dollars) 4/",3984,4458,4856,5222,5776,6204,6777,7489,8311,9306,10712,12245,13925,14822,15945,17686,18618,19593,20468,21876,22379,22458,20958,23298,24184,24574,26326,27754,28922,29785,30304,31698,32455,33119,34063,35165,36350,37880,38908,39829,39431,39835,41397,42288,42425
