"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"32000","Nevada state total","8","CA4","10","...","Personal income (thousands of dollars)",2256915,2534085,2831306,3161804,3582008,3970562,4478263,5093154,5898163,7127285,8269480,9563304,10880137,11639194,12365238,13491854,14707649,15910838,17401864,19785681,22278992,24993631,27475605,30491407,32949979,36504353,40060880,44309130,48476633,52934664,57473376,63000846,66659992,69269337,74908397,83712410,93840260,100506100,106219534,105908477,98902630,99091518,101773652,108049602,109471162
"32000","Nevada state total","8","CA4","11","...","  Nonfarm personal income 1/",2225023,2500320,2796922,3119882,3526958,3936576,4445770,5058234,5871604,7105113,8261377,9507163,10853109,11607482,12341424,13458740,14681302,15885559,17356759,19724438,22203983,24916014,27404923,30423753,32837085,36429181,39998003,44246106,48414151,52849800,57397220,62900433,66545830,69182714,74818779,83589908,93709343,100382601,106131168,105771343,98781695,98965880,101586485,107877828,109258565
"32000","Nevada state total","8","CA4","12","...","  Farm income 2/",31892,33765,34384,41922,55050,33986,32493,34920,26559,22172,8103,56141,27028,31712,23814,33114,26347,25279,45105,61243,75009,77617,70682,67654,112894,75172,62877,63024,62482,84864,76156,100413,114162,86623,89618,122502,130917,123499,88366,137134,120935,125638,187167,171774,212597
"32000","Nevada state total","8","CA4","20","...","Population (persons) 3/",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703230,2717951,2754354,2790136
"32000","Nevada state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4702,5138,5445,5783,6296,6654,7225,7874,8698,9908,10808,11803,12836,13203,13709,14587,15465,16225,17004,18405,19588,20475,21198,22563,23349,24348,25330,26591,27479,28564,29706,31208,31767,31866,33310,35680,38583,39841,40837,39911,36840,36657,37445,39229,39235
"32000","Nevada state total","8","CA4","35","...","Earnings by place of work",1964078,2177769,2411604,2688534,3078071,3349288,3695815,4231546,4956713,6040700,6985305,7961595,8876703,9158350,9693204,10560469,11392490,12323756,13662555,15717710,17511015,19700757,21208064,23390895,25427681,28127081,30802295,34090568,37313501,40618940,44821506,48512126,51492070,53276093,57029351,63478183,70262925,75930420,79772468,78175254,71512860,70934356,71282599,73981152,75969995
"32000","Nevada state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",131902,144281,164929,194103,256489,287761,312805,368109,439187,555265,680755,778011,930813,953021,1048850,1191131,1312734,1452164,1615226,1873091,2118918,2496576,2660377,2889657,3162652,3534085,3879369,4195506,4476746,4784583,5085302,4985974,5291595,5536888,5603854,6126676,6726420,7750392,8172747,7699414,7420278,7312587,6897854,7225655,7978644
"32000","Nevada state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",53485,58084,65980,76699,102292,116145,125456,143540,169981,211044,262061,304041,371268,389152,414992,462603,527947,586562,657449,774847,893047,1061984,1130785,1210091,1328553,1498916,1666817,1833300,1977106,2137226,2341626,2493137,2666427,2791931,2838074,3116052,3423068,3947451,4175413,3964806,3839058,3826918,3139348,3226256,4072958
"32000","Nevada state total","8","CA4","38","...","  Employer contributions for government social insurance",78417,86197,98949,117404,154197,171616,187349,224569,269206,344221,418694,473970,559545,563869,633858,728528,784787,865602,957777,1098244,1225871,1434592,1529592,1679566,1834099,2035169,2212552,2362206,2499640,2647357,2743676,2492837,2625168,2744957,2765780,3010624,3303352,3802941,3997334,3734608,3581220,3485669,3758506,3999399,3905686
"32000","Nevada state total","8","CA4","42","...","Plus: Adjustment for residence 6/",-34075,-38928,-41033,-44133,-53686,-56136,-58037,-67934,-84226,-116603,-131990,-159935,-167066,-168293,-177463,-190060,-200506,-217634,-240035,-281538,-326430,-376971,-345763,-305456,-344232,-354165,-349225,-368567,-328313,-350135,-382377,-338537,-293249,-299475,-350256,-429318,-516679,-516029,-554514,-573123,-431610,-382275,-332102,-262472,-299538
"32000","Nevada state total","8","CA4","45","...","Equals: Net earnings by place of residence",1798101,1994560,2205642,2450298,2767896,3005391,3324973,3795503,4433300,5368832,6172560,7023649,7778824,8037036,8466891,9179278,9879250,10653958,11807294,13563081,15065667,16827210,18201924,20195782,21920797,24238831,26573701,29526495,32508442,35484222,39353827,43187615,45907226,47439730,51075241,56922189,63019826,67663999,71045207,69902717,63660972,63239494,64052643,66493025,67691813
"32000","Nevada state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",333888,391583,441420,493113,560312,649831,715654,808535,930805,1155001,1385201,1676234,2047937,2429273,2615248,2937748,3318336,3573537,3798214,4248039,4932560,5558725,6064580,6662956,7191778,8242762,9133564,10100747,10979371,12136476,12562387,13835501,13988642,14206708,15639855,17941064,21250655,22501100,23875528,23247253,19999514,19411252,21100233,24491744,24712583
"32000","Nevada state total","8","CA4","47","...","Plus: Personal current transfer receipts",124926,147942,184244,218393,253800,315340,437636,489116,534058,603452,711719,863421,1053376,1172885,1283099,1374828,1510063,1683343,1796356,1974561,2280765,2607696,3209101,3632669,3837404,4022760,4353615,4681888,4988820,5313966,5557162,5977730,6764124,7622899,8193301,8849157,9569779,10341001,11298799,12758507,15242144,16440772,16620776,17064833,17066766
"32000","Nevada state total","8","CA4","50","...","Wages and salaries",1577728,1749949,1927334,2121285,2426597,2657278,2907951,3293126,3847948,4694607,5482466,6276247,7068489,7294152,7603583,8197751,8848547,9531642,10539355,11946859,13396919,14964890,15685068,16968944,18351760,20348871,22380181,24888959,27135444,29696889,32496714,35066884,36852313,37967823,40629878,45343131,50048459,54072700,57331704,57407435,51947942,50406397,51572564,53046098,54854230
"32000","Nevada state total","8","CA4","60","...","Supplements to wages and salaries",195605,221242,262563,305398,350220,392460,459102,526930,633619,775911,926102,1068034,1231150,1314033,1472519,1626806,1785052,1995754,2168243,2468618,2882597,3338702,3583010,4107700,4504459,4945336,5249899,5653551,6078561,6852770,7681934,8057732,8312375,8667636,9527710,10511647,11591293,12149910,12835269,12869525,12794803,13265988,12665477,13235522,12929438
"32000","Nevada state total","8","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",117188,135045,163614,187994,196023,220844,271753,302361,364413,431690,507408,594064,671605,750164,838661,898278,1000265,1130152,1210466,1370374,1656726,1904110,2053418,2428134,2670360,2910167,3037347,3291345,3578921,4205413,4938258,5564895,5687207,5922679,6761930,7501023,8287941,8346969,8837935,9134917,9213583,9780319,8906971,9236123,9023752
"32000","Nevada state total","8","CA4","62","...","  Employer contributions for government social insurance",78417,86197,98949,117404,154197,171616,187349,224569,269206,344221,418694,473970,559545,563869,633858,728528,784787,865602,957777,1098244,1225871,1434592,1529592,1679566,1834099,2035169,2212552,2362206,2499640,2647357,2743676,2492837,2625168,2744957,2765780,3010624,3303352,3802941,3997334,3734608,3581220,3485669,3758506,3999399,3905686
"32000","Nevada state total","8","CA4","70","...","Proprietors' income 9/",190745,206578,221707,261851,301254,299550,328762,411490,475146,570182,576737,617314,577064,550165,617102,735912,758891,796360,954957,1302233,1231499,1397165,1939986,2314251,2571462,2832874,3172215,3548058,4099496,4069281,4642858,5387510,6327382,6640634,6871763,7623405,8623173,9707810,9605495,7898294,6770115,7261971,7044558,7699532,8186327
"32000","Nevada state total","8","CA4","71","...","  Farm proprietors' income",20595,20927,20793,28465,39126,15652,12349,12672,1696,-768,-16084,31881,3995,8184,162,8549,311,-155,18562,33068,46609,46693,43029,41732,82229,34913,19247,19567,9546,33594,26925,45344,58846,25173,34825,63400,63543,58284,14304,64296,40233,54140,115878,95116,117197
"32000","Nevada state total","8","CA4","72","...","  Nonfarm proprietors' income",170150,185651,200914,233386,262128,283898,316413,398818,473450,570950,592821,585433,573069,541981,616940,727363,758580,796515,936395,1269165,1184890,1350472,1896957,2272519,2489233,2797961,3152968,3528491,4089950,4035687,4615933,5342166,6268536,6615461,6836938,7560005,8559630,9649526,9591191,7833998,6729882,7207831,6928680,7604416,8069130
"32000","Nevada state total","8","CA4","7010","...","Total employment",243701,256145,267191,280037,304048,317204,326497,348995,383713,432318,467774,488628,500187,493889,498533,523336,545389,570484,615830,661700,709928,755587,768885,776291,818727,898349,952615,1023515,1088804,1130651,1190463,1253202,1285122,1300981,1356312,1446547,1539022,1612948,1653195,1628990,1523712,1483274,1507598,1523730,1559621
"32000","Nevada state total","8","CA4","7020","...","  Wage and salary employment",216871,227122,236209,246867,268101,279065,286882,305866,336324,381583,415350,433255,444132,434165,436340,457024,477092,499836,532538,569126,615035,653952,660752,670333,703433,771185,818161,875240,923274,958129,1012236,1054843,1081449,1085540,1123833,1192015,1261888,1319652,1333933,1306748,1190979,1155166,1162730,1181034,1209426
"32000","Nevada state total","8","CA4","7040","...","  Proprietors employment",26830,29023,30982,33170,35947,38139,39615,43129,47389,50735,52424,55373,56055,59724,62193,66312,68297,70648,83292,92574,94893,101635,108133,105958,115294,127164,134454,148275,165530,172522,178227,198359,203673,215441,232479,254532,277134,293296,319262,322242,332733,328108,344868,342696,350195
"32001","Churchill, NV ","8","CA4","10","...","Personal income (thousands of dollars)",34821,42137,49003,58676,68775,69968,68604,76458,84991,99028,110661,131050,143999,151814,161928,180158,201535,215621,240122,263973,283503,290360,320462,354755,389878,421878,440144,488255,528698,568836,586752,623174,665043,705213,774089,849263,917627,958748,983246,1028233,983821,1027807,1077023,1128966,1142603
"32001","Churchill, NV ","8","CA4","11","...","  Nonfarm personal income 1/",31394,37501,43300,50918,57918,61680,65730,74253,83045,97091,108954,127338,141257,148956,159328,176959,197439,211037,233228,255231,272144,279419,311632,346206,379361,412454,433374,479254,521748,556488,578407,617422,656031,700363,769833,836441,903715,950129,974190,1017153,982040,1012512,1054401,1112876,1122571
"32001","Churchill, NV ","8","CA4","12","...","  Farm income 2/",3427,4636,5703,7758,10857,8288,2874,2205,1946,1937,1707,3712,2742,2858,2600,3199,4096,4584,6894,8742,11359,10941,8830,8549,10517,9424,6770,9001,6950,12348,8345,5752,9012,4850,4256,12822,13912,8619,9056,11080,1781,15295,22622,16090,20032
"32001","Churchill, NV ","8","CA4","20","...","Population (persons) 3/",10498,10635,11157,11625,11850,11924,11987,11960,12131,12771,13571,13917,13896,14178,14319,14397,15029,15717,16425,16990,17555,18039,18637,18963,19723,20519,21197,21960,23179,23503,23859,24024,24342,24155,24026,24226,24593,24842,24961,25049,25067,24796,24594,24341,24063
"32001","Churchill, NV ","8","CA4","30","...","Per capita personal income (dollars) 4/",3317,3962,4392,5047,5804,5868,5723,6393,7006,7754,8154,9417,10363,10708,11309,12514,13410,13719,14619,15537,16149,16096,17195,18708,19768,20560,20764,22234,22809,24203,24592,25940,27321,29195,32219,35056,37313,38594,39391,41049,39248,41451,43792,46381,47484
"32001","Churchill, NV ","8","CA4","35","...","Earnings by place of work",25245,31082,35298,42961,50338,49285,44859,49414,54269,63166,69693,81030,86759,88179,96281,110341,125799,136446,162217,178954,186763,194521,217353,242643,270730,292318,300530,334612,357488,386056,394762,407848,435871,473428,526633,575500,615767,647213,647398,679348,641192,685130,702725,745985,762809
"32001","Churchill, NV ","8","CA4","36","...","Less: Contributions for government social insurance 5/",1069,1341,1556,2020,2468,2614,2741,3152,3510,4143,4963,5697,6677,6778,8348,10284,11890,13500,16583,18730,19570,21128,23755,26233,29516,31935,33723,36817,38604,40821,41427,39083,39564,43120,45885,49058,52279,55918,56823,60405,59775,61085,58148,60718,66996
"32001","Churchill, NV ","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",480,580,646,816,1033,1117,1137,1269,1440,1682,2030,2356,2804,2925,3355,4128,4910,5568,6770,7869,8492,9006,10136,10925,12410,13525,14441,15938,16773,17859,18422,18854,20000,22010,23450,24995,26932,29526,30093,32058,32324,33325,29093,30282,36756
"32001","Churchill, NV ","8","CA4","38","...","  Employer contributions for government social insurance",589,761,910,1204,1435,1497,1604,1883,2070,2461,2933,3341,3873,3853,4993,6156,6980,7932,9813,10861,11078,12122,13619,15308,17106,18410,19282,20879,21831,22962,23005,20229,19564,21110,22435,24063,25347,26392,26730,28347,27451,27760,29055,30436,30240
"32001","Churchill, NV ","8","CA4","42","...","Plus: Adjustment for residence 6/",1626,1421,2078,2295,2706,2704,3049,3976,5154,5073,5408,7118,6399,5621,4460,4364,3311,2926,1385,3964,5791,6060,6764,8346,9324,11714,15468,18871,23511,28913,34993,42434,51154,51493,56094,61929,66623,69993,72292,63791,51823,48198,48764,49166,52690
