"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"39000","Ohio state total","3","CA4","10","...","Personal income (thousands of dollars)",41814714,44121386,46947495,50934483,56459449,61841296,66118848,72467579,80258136,88745282,98026693,107003008,116329141,121659262,128976171,142435327,151309915,158423738,165991725,177986996,191496035,202763283,207108772,220875279,230156611,242833296,254220678,266366914,282135240,298553530,308765225,325227532,334890859,340894304,350423201,363906927,375515677,395209170,409460878,419149399,409592732,417929493,446184647,464780129,474973111
"39000","Ohio state total","3","CA4","11","...","  Nonfarm personal income 1/",41400601,43690103,46536380,50432709,55797977,61049873,65312168,71689567,79593490,88127751,97275794,106438416,116172387,121398189,129060086,141578068,150456908,157755208,165276607,177224193,190349457,201589020,206439268,219727322,229261097,241708724,253369278,265152212,280484972,297314150,307951320,324046845,333789031,340336259,349662799,362538264,374474175,394325455,408397901,417745950,407822045,416246034,443138734,462940649,472472679
"39000","Ohio state total","3","CA4","12","...","  Farm income 2/",414113,431283,411115,501774,661472,791423,806680,778012,664646,617531,750899,564592,156754,261073,-83915,857259,853007,668530,715118,762803,1146578,1174263,669504,1147957,895514,1124572,851400,1214702,1650268,1239380,813905,1180687,1101828,558045,760402,1368663,1041502,883715,1062977,1403449,1770687,1683459,3045913,1839480,2500432
"39000","Ohio state total","3","CA4","20","...","Population (persons) 3/",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11545435,11549772,11553031,11570808
"39000","Ohio state total","3","CA4","30","...","Per capita personal income (dollars) 4/",3959,4136,4373,4739,5244,5744,6139,6739,7451,8221,9078,9907,10783,11310,12012,13265,14095,14764,15427,16482,17683,18663,18921,20026,20733,21774,22693,23692,25018,26394,27239,28620,29409,29882,30645,31776,32758,34422,35604,36399,35527,36199,38631,40230,41049
"39000","Ohio state total","3","CA4","35","...","Earnings by place of work",35921385,37259215,39150727,42662308,47634431,51356993,53145210,58961646,65872101,73301326,80623158,84096494,89461167,90386072,95301614,106756116,113980785,119714258,126713859,137003111,145826684,153432546,156923154,168074501,175522863,186555907,194205283,202704817,214618549,228010651,238837081,250754351,257318991,262057507,270244804,282666699,289639222,302193659,308079511,311782166,298830117,305945279,322715849,336342486,347955973
"39000","Ohio state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558505,26717486,27074853,27709526,27766753,28881259,30574160,31408003,32809150,33614021,34547985,33487016,33745183,31783373,32898430,37553486
"39000","Ohio state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453690,13088684,13554116,13780692,14108131,14379171,14936115,15552914,16355467,16910272,17303339,16622313,16877233,14102198,14659912,19260773
"39000","Ohio state total","3","CA4","38","...","  Employer contributions for government social insurance",1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834,13658622,14502088,15638045,15855089,16453683,16703749,17244646,16864703,16867950,17681175,18238518,18292713
"39000","Ohio state total","3","CA4","42","...","Plus: Adjustment for residence 6/",-195030,-184176,-134979,-134139,-159581,-134708,-94226,-108975,-114901,-137027,-160292,-181925,-486337,-611479,-713604,-844656,-920790,-954073,-996839,-1043823,-1107025,-1094505,-1115585,-1231908,-1329947,-1453436,-1494446,-1550057,-1647827,-1824732,-1794634,-1755418,-1684200,-1673485,-1701277,-1765041,-1840083,-2057530,-2200865,-2147680,-2083600,-2085356,-2227557,-2190487,-2644476
"39000","Ohio state total","3","CA4","45","...","Equals: Net earnings by place of residence",33366641,34667060,36412462,39542913,43611216,46912013,48714725,53911113,60203336,66767797,73141251,76302830,80266669,80874927,84975471,94979163,101190168,105903896,112102616,120810309,128510952,134922603,137499346,147372543,153601298,162930334,169358011,177093061,188181041,200627414,210324961,221924080,227925265,232617269,239662268,250327498,256391136,267326979,272264625,275086501,263259501,270114740,288704919,301253569,307758011
"39000","Ohio state total","3","CA4","46","...","Plus: Dividends, interest, and rent 7/",5547765,6058847,6521441,6953380,7682645,8726521,9471568,10070699,11140242,12393287,13942204,16914105,20741957,23001461,24979456,27828157,29193600,30357430,30856517,33000068,37211377,39164782,38705202,39555176,41249831,43253183,46246007,49265932,52745015,55954580,55073993,57174570,56644738,54583355,54479199,54753741,56852837,62213060,67322871,68215070,60564533,58936402,66100343,72469596,73616204
"39000","Ohio state total","3","CA4","47","...","Plus: Personal current transfer receipts",2900308,3395479,4013592,4438190,5165588,6202762,7932555,8485767,8914558,9584198,10943238,13786073,15320515,17782874,19021244,19628007,20926147,22162412,23032592,24176619,25773706,28675898,30904224,33947560,35305482,36649779,38616660,40007921,41209184,41971536,43366271,46128882,50320856,53693680,56281734,58825688,62271704,65669131,69873382,75847828,85768698,88878351,91379385,91056964,93598896
"39000","Ohio state total","3","CA4","50","...","Wages and salaries",29031267,30172237,31483854,34054922,38069738,41016499,41945865,46483556,51613983,57584415,63396021,66442215,71105900,71669072,74848911,82682374,88178416,92315772,97593779,104787156,109931257,115449741,117745736,124335191,129275541,137508931,144780999,151269842,160527062,170532031,178845011,187374685,190021284,192247457,197097617,205029425,210428781,218062958,224980743,226725044,215457447,218737904,228405475,239281734,244388055
