"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"41000","Oregon state total","8","CA4","10","...","Personal income (thousands of dollars)",7782223,8471104,9309592,10432253,11749236,13322232,14784118,16679513,18662930,21414741,24221007,26818654,28970225,29696170,31515361,34210317,35887128,37850551,39849695,43406648,47801914,51648010,54336794,58134607,62296088,66765638,71865838,77518926,82365461,87469358,91466119,99004242,101728419,103347737,106989171,112841981,117659195,127254206,133331353,138678120,135854810,137747099,145848505,153097493,156605034
"41000","Oregon state total","8","CA4","11","...","  Nonfarm personal income 1/",7559021,8257846,9108242,10176350,11382541,12850379,14397470,16318699,18352588,21107147,23841582,26351143,28574392,29412423,31224195,33819665,35471428,37312478,39348574,42720776,47149357,50964875,53645260,57444032,61486610,66028192,71224657,76725613,81457187,86654944,90705535,98245291,100960521,102573478,105918525,111647502,116467328,125996954,132018273,137444239,134877795,136807777,144560275,151773151,155159708
"41000","Oregon state total","8","CA4","12","...","  Farm income 2/",223202,213258,201350,255903,366695,471853,386648,360814,310342,307594,379425,467511,395833,283747,291166,390652,415700,538073,501121,685872,652557,683135,691534,690575,809478,737446,641181,793313,908274,814414,760584,758951,767898,774259,1070646,1194479,1191867,1257252,1313080,1233881,977015,939322,1288230,1324342,1445326
"41000","Oregon state total","8","CA4","20","...","Population (persons) 3/",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837208,3867937,3899801,3930065
"41000","Oregon state total","8","CA4","30","...","Per capita personal income (dollars) 4/",3774,4033,4330,4752,5248,5841,6360,7031,7651,8533,9394,10154,10858,11143,11879,12829,13428,14105,14754,15834,17130,18056,18554,19432,20356,21391,22568,23873,24927,26091,26950,28867,29334,29415,30160,31613,32564,34666,35818,36797,35671,35898,37707,39258,39848
"41000","Oregon state total","8","CA4","35","...","Earnings by place of work",6476154,6849617,7469466,8460985,9585985,10693749,11496245,13148673,14831702,17168144,19451780,20863961,21628720,21392901,22570105,24735074,26066730,27775456,29683501,32858010,35633488,38952649,41036623,44171426,47309334,50846103,54089561,58809888,63206173,67404494,71247739,77568683,78800521,79768986,82348543,87243466,91128018,97156896,100738585,102147034,97447371,98570701,102718311,108141689,111867047
"41000","Oregon state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",481639,504549,568523,679157,879530,1002415,1056493,1234226,1420375,1692653,1986729,2126674,2368934,2402861,2558039,2890156,3070160,3250533,3437803,3930997,4271754,4791442,5106449,5459133,5830201,6321839,6789293,7451883,7909560,8365828,8725967,9417120,9449281,9611650,9918211,10619346,11212975,12049059,12551704,12704872,12195964,12541921,11584979,12092337,14059503
"41000","Oregon state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",213020,224787,250587,294686,381029,438857,467851,526282,602915,708248,835185,906541,1024672,1054962,1108318,1219213,1351988,1455652,1567906,1821112,2035545,2285773,2461834,2606651,2771280,3016495,3254116,3474714,3718687,3930765,4133019,4403918,4500813,4590444,4704212,5011421,5384879,5879777,6192966,6322858,6068292,6156350,5077464,5232378,6932514
"41000","Oregon state total","8","CA4","38","...","  Employer contributions for government social insurance",268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468,5021206,5213999,5607925,5828096,6169282,6358738,6382014,6127672,6385571,6507515,6859959,7126989
"41000","Oregon state total","8","CA4","42","...","Plus: Adjustment for residence 6/",-91804,-65836,-53185,-45879,-50663,-58756,-31848,-16114,-74940,-128722,-203979,-250978,-269427,-258404,-246960,-286739,-316920,-372837,-436164,-504715,-563071,-613794,-678084,-775898,-871988,-937598,-1115990,-1351393,-1538315,-1660860,-1756436,-1997933,-2088943,-2041595,-2076815,-2164588,-2242451,-2391741,-2504810,-2502151,-2321955,-2235626,-2461872,-2597879,-2779724
"41000","Oregon state total","8","CA4","45","...","Equals: Net earnings by place of residence",5902711,6279232,6847758,7735949,8655792,9632578,10407904,11898333,13336387,15346769,17261072,18486309,18990359,18731636,19765106,21558179,22679650,24152086,25809534,28422298,30798663,33547413,35252090,37936395,40607145,43586666,46184278,50006612,53758298,57377806,60765336,66153630,67262297,68115741,70353517,74459532,77672592,82716096,85682071,86940011,82929452,83793154,88671460,93451473,95027820
"41000","Oregon state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",1217423,1387216,1529690,1673859,1880807,2193820,2475314,2713971,3091342,3626535,4222378,5083279,6219290,6724964,7192562,7944892,8281398,8684733,8848787,9462453,10943244,11510023,11782972,12072323,13008877,14169513,15718259,16913226,17707744,18756059,18344999,19846215,19719540,19502854,20422432,21746458,22279955,25626785,27260697,28984488,25902677,25264161,27969365,30079432,30846577
"41000","Oregon state total","8","CA4","47","...","Plus: Personal current transfer receipts",662089,804656,932144,1022445,1212637,1495834,1900900,2067209,2235201,2441437,2737557,3249066,3760576,4239570,4557693,4707246,4926080,5013732,5191374,5521897,6060007,6590574,7301732,8125889,8680066,9009459,9963301,10599088,10899419,11335493,12355784,13004397,14746582,15729142,16213222,16635991,17706648,18911325,20388585,22753621,27022681,28689784,29207680,29566588,30730637
"41000","Oregon state total","8","CA4","50","...","Wages and salaries",4867891,5171189,5607998,6289418,7092135,7840080,8431015,9596898,10914604,12625323,14329989,15354951,16054435,15971955,16615362,17978070,18854384,19914787,21335539,23435321,25408235,27653906,28980447,30906900,32842772,35408538,38340754,41679478,45225579,47926280,50950564,55205663,55728283,55914034,57325280,60575685,64411219,69043132,72760324,73912530,69878604,70956742,74029942,77332831,80432117
"41000","Oregon state total","8","CA4","60","...","Supplements to wages and salaries",662295,724730,834474,988332,1144526,1298918,1489964,1722999,2043605,2410490,2783319,3020395,3243604,3350720,3638737,4011123,4331011,4689973,4993317,5550599,6219621,6918001,7442677,8381062,8915856,9483183,9879627,10628843,11144733,11838033,12322556,13711930,13899724,14229767,15277201,16368313,16340270,16688719,17402864,17865667,17825371,17765522,18183490,19662047,19812507
"41000","Oregon state total","8","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",393676,444968,516538,603861,646025,735360,901322,1015055,1226145,1426085,1631775,1800262,1899342,2002821,2189016,2340180,2612839,2895092,3123420,3440714,3983412,4412332,4798062,5528580,5856935,6177839,6344450,6651674,6953860,7402970,7729608,8698728,8951256,9208561,10063202,10760388,10512174,10519437,11044126,11483653,11697699,11379951,11675975,12802088,12685518
"41000","Oregon state total","8","CA4","62","...","  Employer contributions for government social insurance",268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468,5021206,5213999,5607925,5828096,6169282,6358738,6382014,6127672,6385571,6507515,6859959,7126989
"41000","Oregon state total","8","CA4","70","...","Proprietors' income 9/",945968,953698,1026994,1183235,1349324,1554751,1575266,1828776,1873493,2132331,2338472,2488615,2330681,2070226,2316006,2745881,2881335,3170696,3354645,3872090,4005632,4380742,4613499,4883464,5550706,5954382,5869180,6501567,6835861,7640181,7974619,8651090,9172514,9625185,9746062,10299468,10376529,11425045,10575397,10368837,9743396,9848437,10504879,11146811,11622423
"41000","Oregon state total","8","CA4","71","...","  Farm proprietors' income",139157,125725,116515,176846,265213,367801,257170,226801,141558,144622,200367,279700,212490,77295,89074,186923,204052,335500,293921,443287,382014,351304,357067,368086,452333,355016,191494,274624,353367,225629,97803,85203,93196,144245,419127,477276,362735,439564,377388,274284,23456,21119,363565,344630,227624
"41000","Oregon state total","8","CA4","72","...","  Nonfarm proprietors' income",806811,827973,910479,1006389,1084111,1186950,1318096,1601975,1731935,1987709,2138105,2208915,2118191,1992931,2226932,2558958,2677283,2835196,3060724,3428803,3623618,4029438,4256432,4515378,5098373,5599366,5677686,6226943,6482494,7414552,7876816,8565887,9079318,9480940,9326935,9822192,10013794,10985481,10198009,10094553,9719940,9827318,10141314,10802181,11394799
"41000","Oregon state total","8","CA4","7010","...","Total employment",920183,925933,950552,1001074,1058290,1089196,1105316,1156014,1222672,1296308,1349641,1349543,1319241,1269532,1295260,1341925,1370436,1405810,1454698,1521518,1574429,1626385,1635517,1653649,1697791,1780620,1845372,1919606,1986426,2021267,2048982,2089945,2077075,2068790,2084757,2138888,2200655,2262100,2310797,2301983,2202030,2172448,2202269,2221495,2265005
"41000","Oregon state total","8","CA4","7020","...","  Wage and salary employment",764276,767695,784315,826981,877162,902238,909769,946131,1005243,1075080,1118428,1101896,1074726,1018865,1026281,1067712,1091537,1119800,1162154,1220357,1273978,1315246,1312846,1329504,1371234,1430687,1486827,1544301,1594068,1624801,1653048,1684455,1672825,1655575,1666866,1704516,1748669,1795841,1820517,1807328,1704944,1678655,1699549,1722347,1756815
"41000","Oregon state total","8","CA4","7040","...","  Proprietors employment",155907,158238,166237,174093,181128,186958,195547,209883,217429,221228,231213,247647,244515,250667,268979,274213,278899,286010,292544,301161,300451,311139,322671,324145,326557,349933,358545,375305,392358,396466,395934,405490,404250,413215,417891,434372,451986,466259,490280,494655,497086,493793,502720,499148,508190
"41001","Baker, OR ","8","CA4","10","...","Personal income (thousands of dollars)",48794,54665,61779,70583,73597,77456,85619,94578,103131,112653,137184,144183,154110,155261,164163,167132,167617,169660,175597,190854,209242,222659,231418,243020,262821,274110,288323,297528,324159,337365,333839,356764,360777,361732,380127,395654,403399,418208,441438,473019,484323,482061,499687,527263,542049
"41001","Baker, OR ","8","CA4","11","...","  Nonfarm personal income 1/",43196,48103,55939,61934,63503,70017,80435,89016,97532,112378,125619,135004,146739,151821,162953,168846,170252,171684,175297,187652,205797,220357,228949,240626,257355,273442,289928,302414,318660,336722,337717,355388,363890,362527,375814,389417,397061,413132,439812,469339,477555,481899,493464,513384,522843
"41001","Baker, OR ","8","CA4","12","...","  Farm income 2/",5598,6562,5840,8649,10094,7439,5184,5562,5599,275,11565,9179,7371,3440,1210,-1714,-2635,-2024,300,3202,3445,2302,2469,2394,5466,668,-1605,-4886,5499,643,-3878,1376,-3113,-795,4313,6237,6338,5076,1626,3680,6768,162,6223,13879,19206
"41001","Baker, OR ","8","CA4","20","...","Population (persons) 3/",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16089,16028,15914,16018
"41001","Baker, OR ","8","CA4","30","...","Per capita personal income (dollars) 4/",3206,3627,3930,4521,4751,5094,5437,6116,6528,7170,8510,8926,9514,9480,10099,10369,10655,10998,11606,12729,14053,14427,14853,15335,16252,16696,17274,17867,19357,20032,19925,21345,21710,22089,23304,24315,25078,25985,27352,29208,29850,29962,31176,33132,33840
"41001","Baker, OR ","8","CA4","35","...","Earnings by place of work",38056,41678,47289,54631,54468,54105,58330,65507,69322,76190,95382,89734,91835,85194,88778,89808,89342,88395,94590,109546,119804,130153,135711,143660,158911,163668,161203,161543,184286,193343,187852,202596,195636,198873,211979,221848,229405,236753,241063,244017,247636,240344,243364,263172,271672
"41001","Baker, OR ","8","CA4","36","...","Less: Contributions for government social insurance 5/",2352,2519,3082,3630,3923,4245,4661,5264,5773,7055,8055,7575,8610,8487,9264,10113,10476,10304,10756,12582,13933,15430,16367,17303,18802,19963,20406,21088,22414,23741,23600,24846,24729,25328,26269,27728,29552,31176,32804,33215,33467,33956,30100,31221,35147
"41001","Baker, OR ","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",1087,1180,1403,1636,1805,1990,2191,2365,2589,3085,3523,3434,3922,3986,4305,4596,4911,4925,5259,6420,7376,7953,8498,8841,9603,10341,10624,10659,11404,12079,11931,12242,12290,12527,13075,13857,15015,16191,17179,17449,17661,17737,14438,14708,18319
"41001","Baker, OR ","8","CA4","38","...","  Employer contributions for government social insurance",1265,1339,1679,1994,2118,2255,2470,2899,3184,3970,4532,4141,4688,4501,4959,5517,5565,5379,5497,6162,6557,7477,7869,8462,9199,9622,9782,10429,11010,11662,11669,12604,12439,12801,13194,13871,14537,14985,15625,15766,15806,16219,15662,16513,16828
"41001","Baker, OR ","8","CA4","42","...","Plus: Adjustment for residence 6/",-619,-634,-802,-983,-804,-757,-949,-947,-704,-1228,-803,-42,-266,108,116,174,133,512,501,481,462,520,658,822,1033,1622,2151,2804,3123,3760,4688,5422,5891,6310,6338,6710,6374,6781,7358,7151,6609,6762,7329,7714,7745
"41001","Baker, OR ","8","CA4","45","...","Equals: Net earnings by place of residence",35085,38525,43405,50018,49741,49103,52720,59296,62845,67907,86524,82117,82959,76815,79630,79869,78999,78603,84335,97445,106333,115243,120002,127179,141142,145327,142948,143259,164995,173362,168940,183172,176798,179855,192048,200830,206227,212358,215617,217953,220778,213150,220593,239665,244270
"41001","Baker, OR ","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",8490,9846,11002,12424,14230,16465,18456,19894,23234,26659,30933,36516,43239,46816,50568,53371,54645,56282,55552,55916,62572,63207,63721,63748,65977,72442,81011,85709,88845,92003,88953,94742,97360,92030,94266,99446,99083,100461,111062,128671,120447,118356,125714,132094,136488
"41001","Baker, OR ","8","CA4","47","...","Plus: Personal current transfer receipts",5219,6294,7372,8141,9626,11888,14443,15388,17052,18087,19727,25550,27912,31630,33965,33892,33973,34775,35710,37493,40337,44209,47695,52093,55702,56341,64364,68560,70319,72000,75946,78850,86619,89847,93813,95378,98089,105389,114759,126395,143098,150555,153380,155504,161291
"41001","Baker, OR ","8","CA4","50","...","Wages and salaries",24186,26117,30720,33499,32103,33171,37599,42112,45659,54359,60358,56805,60276,58280,60815,63323,64144,62550,65168,70399,75908,83984,87553,93464,100553,106524,108499,110876,118425,124234,126992,134068,135633,138321,142593,147042,155462,161240,170348,172428,172104,171017,169763,176454,180140
"41001","Baker, OR ","8","CA4","60","...","Supplements to wages and salaries",3469,3840,4739,5497,5636,6036,7288,8435,9460,11363,12909,12490,13597,13685,14494,15581,16391,16543,17016,18592,21169,24088,25953,29085,31139,32483,32515,33289,34472,36418,37813,40974,41643,42933,45884,48561,47901,47622,49446,51430,52925,52646,52048,56054,55889
"41001","Baker, OR ","8","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",2204,2501,3060,3503,3518,3781,4818,5536,6276,7393,8377,8349,8909,9184,9535,10064,10826,11164,11519,12430,14612,16611,18084,20623,21940,22861,22733,22860,23462,24756,26144,28370,29204,30132,32690,34690,33364,32637,33821,35664,37119,36427,36386,39541,39061
"41001","Baker, OR ","8","CA4","62","...","  Employer contributions for government social insurance",1265,1339,1679,1994,2118,2255,2470,2899,3184,3970,4532,4141,4688,4501,4959,5517,5565,5379,5497,6162,6557,7477,7869,8462,9199,9622,9782,10429,11010,11662,11669,12604,12439,12801,13194,13871,14537,14985,15625,15766,15806,16219,15662,16513,16828
"41001","Baker, OR ","8","CA4","70","...","Proprietors' income 9/",10401,11721,11830,15635,16729,14898,13443,14960,14203,10468,22115,20439,17962,13229,13469,10904,8807,9302,12406,20555,22727,22081,22205,21111,27219,24661,20189,17378,31389,32691,23047,27554,18360,17619,23502,26245,26042,27891,21269,20159,22607,16681,21553,30664,35643
"41001","Baker, OR ","8","CA4","71","...","  Farm proprietors' income",4238,5189,4536,7437,8538,5875,3332,3694,3318,-1878,9241,6774,5025,856,-1150,-3925,-4759,-3897,-1455,1297,1449,-7,258,361,3220,-1742,-4433,-8146,2028,-3157,-8274,-3202,-7803,-5264,-345,1066,395,-802,-5092,-3248,-122,-6466,-458,6826,10459
"41001","Baker, OR ","8","CA4","72","...","  Nonfarm proprietors' income",6163,6532,7294,8198,8191,9023,10111,11266,10885,12346,12874,13665,12937,12373,14619,14829,13566,13199,13861,19258,21278,22088,21947,20750,23999,26403,24622,25524,29361,35848,31321,30756,26163,22883,23847,25179,25647,28693,26361,23407,22729,23147,22011,23838,25184
"41001","Baker, OR ","8","CA4","7010","...","Total employment",6517,6347,6642,6781,6648,6546,6708,6799,7013,7418,7599,7200,7011,6689,6923,7007,6873,6740,6903,7113,7250,7557,7536,7553,7810,8244,8362,8495,8747,8878,8723,8814,8523,8456,8418,8467,8521,8711,8914,8984,8761,8619,8471,8350,8353
"41001","Baker, OR ","8","CA4","7020","...","  Wage and salary employment",4486,4488,4696,4751,4631,4557,4764,4864,5058,5406,5528,5050,4891,4530,4585,4666,4533,4394,4542,4736,4934,5156,5086,5096,5266,5412,5524,5469,5645,5716,5644,5717,5571,5513,5488,5552,5589,5730,5824,5831,5681,5589,5442,5437,5389
"41001","Baker, OR ","8","CA4","7040","...","  Proprietors employment",2031,1859,1946,2030,2017,1989,1944,1935,1955,2012,2071,2150,2120,2159,2338,2341,2340,2346,2361,2377,2316,2401,2450,2457,2544,2832,2838,3026,3102,3162,3079,3097,2952,2943,2930,2915,2932,2981,3090,3153,3080,3030,3029,2913,2964
"41003","Benton, OR ","8","CA4","10","...","Personal income (thousands of dollars)",170440,181521,203036,229694,260067,294981,333076,383124,440124,507888,562950,621640,696973,732238,782674,843179,870883,920886,974366,1046509,1156641,1212892,1265431,1355263,1463180,1582510,1743629,1931263,2078737,2182675,2213616,2329689,2405631,2467667,2625940,2733310,2749308,2882116,3015555,3194129,3162207,3149832,3309917,3463368,3507101
"41003","Benton, OR ","8","CA4","11","...","  Nonfarm personal income 1/",167012,178130,199833,225598,252968,286853,329166,377375,434906,502975,556997,614925,687614,723817,771937,828785,855415,901583,957859,1023361,1138073,1195831,1250772,1343486,1446604,1561437,1726231,1906651,2054466,2159256,2183965,2302532,2368831,2430873,2584194,2689491,2714831,2845870,2985312,3167944,3141666,3136412,3291542,3445044,3486119
"41003","Benton, OR ","8","CA4","12","...","  Farm income 2/",3428,3391,3203,4096,7099,8128,3910,5749,5218,4913,5953,6715,9359,8421,10737,14394,15468,19303,16507,23148,18568,17061,14659,11777,16576,21073,17398,24612,24271,23419,29651,27157,36800,36794,41746,43819,34477,36246,30243,26185,20541,13420,18375,18324,20982
"41003","Benton, OR ","8","CA4","20","...","Population (persons) 3/",51491,53943,54929,60135,59313,61230,61618,62299,65569,66955,68171,68471,69369,69461,68245,67474,67275,66940,67590,67876,69879,71059,71507,72618,73997,75481,76517,77776,78560,78943,78254,78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85517,86012,86436,86591
"41003","Benton, OR ","8","CA4","30","...","Per capita personal income (dollars) 4/",3310,3365,3696,3820,4385,4818,5405,6150,6712,7586,8258,9079,10047,10542,11469,12496,12945,13757,14416,15418,16552,17069,17697,18663,19774,20966,22787,24831,26461,27649,28288,29778,30648,30768,32693,34103,33966,35166,36020,37958,37033,36833,38482,40069,40502
"41003","Benton, OR ","8","CA4","35","...","Earnings by place of work",134380,139388,154805,175328,197755,218678,241097,281145,327809,381124,416513,446367,492863,520336,554633,596394,607588,656820,703048,777771,842255,888234,926778,1003310,1114278,1226229,1321638,1472599,1608031,1678029,1698694,1795635,1843310,1894890,1963696,2033429,2097420,2166296,2220370,2274924,2248844,2203148,2282879,2386141,2415608
"41003","Benton, OR ","8","CA4","36","...","Less: Contributions for government social insurance 5/",8996,9350,10653,12614,16164,18409,20124,23621,28481,34732,39681,43078,51101,55909,60004,65980,66999,72524,76909,89034,96679,104846,110005,118561,131750,146440,159999,180491,194761,201528,199709,212582,209642,214902,222032,230156,242994,255922,265315,271295,267093,269317,245373,254373,289203
