"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"00000","United States","","CA4","10","...","Personal income (thousands of dollars)",791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491143000,1646608000,1851615000,2068559000,2306348000,2583725000,2767024000,2957347000,3268031000,3501453000,3711654000,3940330000,4259752000,4602330000,4888493000,5053490000,5399838000,5637558000,5927748000,6271253000,6656570000,7069464000,7582710000,7983593000,8630550000,8983398000,9146428000,9479763000,10043231000,10605595000,11376405000,11990104000,12429234000,12080223000,12417659000,13189935000,13873161000,14151427000
"00000","United States","","CA4","11","...","  Nonfarm personal income 1/",773875000,837579000,906005000,993776000,1096593000,1212638000,1331211000,1466364000,1622590000,1823718000,2038856000,2286102000,2556752000,2742714000,2940343000,3236391000,3469723000,3678756000,3901310000,4221145000,4556920000,4841793000,5011985000,5350166000,5591062000,5877860000,6232632000,6602359000,7019313000,7534837000,7935306000,8579216000,8929709000,9104532000,9421940000,9968587000,10534986000,11322570000,11925153000,12351195000,12016459000,12346530000,13088371000,13771786000,14034722000
"00000","United States","","CA4","12","...","  Farm income 2/",17275000,17499000,17959000,21750000,34620000,29795000,28787000,24779000,24018000,27897000,29703000,20246000,26973000,24310000,17004000,31640000,31730000,32898000,39020000,38607000,45410000,46700000,41505000,49672000,46496000,49888000,38621000,54211000,50151000,47873000,48287000,51334000,53689000,41896000,57823000,74644000,70609000,53835000,64951000,78039000,63764000,71129000,101564000,101375000,116705000
"00000","United States","","CA4","20","...","Population (persons) 3/",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326295,311582564,313873685,316128839
"00000","United States","","CA4","30","...","Per capita personal income (dollars) 4/",3930,4196,4468,4853,5352,5824,6312,6854,7493,8337,9211,10150,11260,11944,12649,13858,14717,15457,16263,17422,18647,19584,19976,21051,21690,22528,23551,24709,25929,27488,28611,30587,31524,31800,32677,34300,35888,38127,39804,40873,39379,40144,42332,44200,44765
"00000","United States","","CA4","35","...","Earnings by place of work",655222000,695122000,744129000,821953000,921321000,996515000,1062436000,1176158000,1306927000,1479559000,1652190000,1788607000,1963955000,2055057000,2189442000,2433929000,2617433000,2788677000,2997904000,3262349000,3470801000,3683053000,3792707000,4064120000,4243356000,4463755000,4682699000,4964951000,5297835000,5717821000,6109679000,6611246000,6878555000,7008956000,7257073000,7695924000,8061341000,8542791000,8872134000,9103588000,8751829000,8981654000,9400281000,9851691000,10165263000
"00000","United States","","CA4","36","...","Less: Contributions for government social insurance 5/",43791000,46012000,50859000,58897000,75183000,84872000,88974000,100987000,112699000,130827000,152273000,165670000,195066000,208173000,225143000,256550000,280379000,302389000,322006000,360285000,384001000,408676000,428555000,453768000,476331000,507188000,531874000,554150000,586295000,623685000,660310000,704849000,732117000,750341000,777980000,827766000,871944000,921187000,959996000,986781000,962864000,982431000,916209000,949635000,1102734000
"00000","United States","","CA4","37","...","  Employee and self-employed contributions for government social insurance",21204000,22345000,24570000,27892000,35555000,40331000,42417000,46761000,51791000,59514000,69923000,76989000,91774000,98766000,105664000,117980000,133139000,145042000,156297000,176231000,190905000,202921000,214228000,225945000,237197000,253543000,268215000,279807000,297173000,316929000,337457000,360123000,374669000,384873000,396099000,419781000,444590000,474527000,499026000,516191000,505515000,513895000,423234000,436631000,577486000
"00000","United States","","CA4","38","...","  Employer contributions for government social insurance",22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513004000,525248000
"00000","United States","","CA4","42","...","Plus: Adjustment for residence 6/",-107000,-112000,-122000,-145000,-153000,-163000,-199000,-211000,-235000,-257000,-231000,-255000,-208000,-255000,-212000,-254000,-257000,228000,259000,226000,236000,313000,367000,478000,493000,533000,703000,675000,672000,755000,2515000,2587000,2692000,2656000,2678000,2659000,2613000,2617000,2597000,2649000,3019000,3067000,3200000,3461000,3678000
"00000","United States","","CA4","45","...","Equals: Net earnings by place of residence",611324000,648998000,693148000,762911000,845985000,911480000,973263000,1074960000,1193993000,1348475000,1499686000,1622682000,1768681000,1846629000,1964087000,2177125000,2336797000,2486516000,2676157000,2902290000,3087036000,3274690000,3364519000,3610830000,3767518000,3957100000,4151528000,4411476000,4712212000,5094891000,5451884000,5908984000,6149130000,6261271000,6481771000,6870817000,7192010000,7624221000,7914735000,8119456000,7791984000,8002290000,8487272000,8905517000,9066207000
"00000","United States","","CA4","46","...","Plus: Dividends, interest, and rent 7/",117504000,131347000,142568000,154485000,172380000,197314000,216311000,231701000,257864000,292831000,332744000,403449000,495897000,564887000,609143000,690178000,739369000,774016000,796608000,861053000,972747000,1018532000,1023199000,1043340000,1079356000,1144336000,1240859000,1321093000,1408123000,1509934000,1510155000,1638583000,1646195000,1604837000,1655158000,1755766000,1901610000,2142567000,2352625000,2425839000,2148084000,2138496000,2394775000,2616954000,2670719000
"00000","United States","","CA4","47","...","Plus: Personal current transfer receipts",62322000,74733000,88248000,98130000,112848000,133639000,170424000,184482000,194751000,210309000,236129000,280217000,319147000,355508000,384117000,400728000,425287000,451122000,467565000,496409000,542547000,595271000,665772000,745668000,790684000,826312000,878866000,924001000,949129000,977885000,1021554000,1082983000,1188073000,1280320000,1342834000,1416648000,1511975000,1609617000,1722744000,1883939000,2140155000,2276873000,2307888000,2350690000,2414501000
"00000","United States","","CA4","50","...","Wages and salaries",512186000,545441000,579284000,633484000,703743000,767390000,810075000,894943000,988970000,1115885000,1248272000,1366990000,1503905000,1579008000,1668739000,1835609000,1972752000,2093721000,2246552000,2428973000,2572279000,2729857000,2801967000,2956907000,3072485000,3231494000,3413758000,3612299000,3872714000,4177471000,4456769000,4823765000,4950126000,4992932000,5133958000,5417439000,5688826000,6051676000,6391231000,6528825000,6244497000,6368897000,6623278000,6920922000,7110424000
"00000","United States","","CA4","60","...","Supplements to wages and salaries",65458000,71327000,80397000,92803000,104385000,116274000,133470000,149578000,172732000,197410000,225310000,250216000,280876000,303420000,332838000,368598000,402260000,437175000,463609000,505705000,554920000,596755000,632334000,701929000,738305000,770837000,782164000,803266000,835466000,893772000,949824000,1028192000,1089376000,1142327000,1222319000,1312851000,1389883000,1439940000,1498040000,1541137000,1529896000,1577487000,1628792000,1667417000,1713279000
"00000","United States","","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",42871000,47660000,54108000,61798000,64757000,71733000,86913000,95352000,111824000,126097000,142960000,161535000,177584000,194013000,213359000,230028000,255020000,279828000,297900000,321651000,361824000,391000000,418007000,474106000,499171000,517192000,518505000,528923000,546344000,587016000,626971000,683466000,731928000,776859000,840438000,904866000,962529000,993280000,1037070000,1070547000,1072547000,1108951000,1135817000,1154413000,1188031000
"00000","United States","","CA4","62","...","  Employer contributions for government social insurance",22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513004000,525248000
"00000","United States","","CA4","70","...","Proprietors' income 9/",77578000,78354000,84448000,95666000,113193000,112851000,118891000,131637000,145225000,166264000,178608000,171401000,179174000,172629000,187865000,229722000,242421000,257781000,287743000,327671000,343602000,356441000,358406000,405284000,432566000,461424000,486777000,549386000,589655000,646578000,703086000,759289000,839053000,873697000,900796000,965634000,982632000,1051175000,982863000,1033626000,977436000,1035270000,1148211000,1263352000,1341560000
"00000","United States","","CA4","71","...","  Farm proprietors' income",13407000,13445000,13930000,17598000,29748000,24106000,22650000,17873000,16697000,20211000,21322000,11540000,18521000,14752000,7790000,22412000,22351000,24097000,30168000,28619000,34688000,34148000,29233000,37681000,33410000,36574000,24325000,39333000,34168000,30834000,30755000,32996000,34334000,22590000,38777000,54019000,50044000,33464000,41796000,54145000,39900000,48576000,80087000,75476000,88093000
"00000","United States","","CA4","72","...","  Nonfarm proprietors' income",64171000,64909000,70518000,78068000,83445000,88745000,96241000,113764000,128528000,146053000,157286000,159861000,160653000,157877000,180075000,207310000,220070000,233684000,257575000,299052000,308914000,322293000,329173000,367603000,399156000,424850000,462452000,510053000,555487000,615744000,672331000,726293000,804719000,851107000,862019000,911615000,932588000,1017711000,941067000,979481000,937536000,986694000,1068124000,1187876000,1253467000
"00000","United States","","CA4","7010","...","Total employment",91053200,91277600,91581400,94312200,98427500,100111800,98900600,101591200,105042200,109686600,113147100,113983200,114914000,114163300,115645700,120528100,123796700,126232300,129548400,133563900,136177800,138330900,137612800,138166100,140774400,144196600,147915800,151056200,154541200,158481200,161531300,165370800,165519200,165159100,166026500,169036700,172557400,176123600,179885700,179645900,174243700,173044700,176286700,178846000,182278200
