"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"44000","Rhode Island state total","1","CA4","10","...","Personal income (thousands of dollars)",3738588,4085172,4325615,4709168,5025485,5263286,5700406,6222615,6806942,7471259,8303083,9332506,10400400,11166230,12047270,13278251,14281591,15346271,16477841,18165306,19792368,20302351,20426629,21383596,22300298,22859096,24098078,24964319,26435049,28262791,29506970,31719233,33372316,34812224,36408296,38142138,39021066,41288639,43158834,44181315,43526207,45278588,46814769,48584164,49409582
"44000","Rhode Island state total","1","CA4","11","...","  Nonfarm personal income 1/",3730669,4076035,4317592,4701577,5019482,5254805,5691884,6213816,6799195,7462590,8295959,9325106,10392000,11139349,12010759,13246296,14240413,15303533,16437730,18124121,19760686,20272386,20395578,21354982,22271281,22834852,24074412,24941794,26420438,28248725,29492857,31703888,33355447,34791226,36386381,38118340,38998017,41267785,43137647,44165994,43511280,45262958,46801701,48567822,49392356
"44000","Rhode Island state total","1","CA4","12","...","  Farm income 2/",7919,9137,8023,7591,6003,8481,8522,8799,7747,8669,7124,7400,8400,26881,36511,31955,41178,42738,40111,41185,31682,29965,31051,28614,29017,24244,23666,22525,14611,14066,14113,15345,16869,20998,21915,23798,23049,20854,21187,15321,14927,15630,13068,16342,17226
"44000","Rhode Island state total","1","CA4","20","...","Population (persons) 3/",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052669,1050350,1050304,1051511
"44000","Rhode Island state total","1","CA4","30","...","Per capita personal income (dollars) 4/",4011,4298,4487,4823,5138,5520,6024,6548,7127,7805,8679,9836,10913,11703,12597,13804,14739,15702,16651,18231,19779,20181,20211,21118,21968,22500,23695,24453,25781,27409,28361,30201,31568,32657,33984,35495,36539,38838,40819,41878,41310,43013,44571,46257,46989
"44000","Rhode Island state total","1","CA4","35","...","Earnings by place of work",2962278,3179625,3338301,3671332,3902112,3972939,4133610,4624224,5084159,5647604,6287862,6843231,7367206,7732272,8379859,9260069,10058523,10921704,11834663,13045588,13776914,14116709,13866412,14727263,15260036,15790349,16512624,17004282,17924065,19390828,20512813,22073604,23074736,24319930,25633156,26961442,27699633,29182849,29760204,30052204,29232187,30562513,31149342,32319066,33360286
"44000","Rhode Island state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",230531,245164,267123,306502,381353,410332,415953,473330,520794,596923,684915,745329,851196,902087,987978,1135693,1220213,1330144,1430190,1594655,1660990,1790032,1808852,1922707,2011315,2109308,2182319,2228895,2334174,2471469,2588791,2755989,2866388,2963967,3120213,3287091,3405148,3590472,3701203,3751851,3694281,3791627,3507956,3609864,4143817
"44000","Rhode Island state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",107559,113878,123065,136935,174046,189113,193077,211156,230823,260332,301489,333415,379757,410685,446733,500668,552740,612584,670468,756990,808305,881399,911507,971328,1011695,1063463,1105252,1133753,1192991,1272295,1343901,1434471,1510830,1578435,1661660,1757416,1809990,1915098,1996470,2031678,1984080,2019093,1678941,1722878,2208024
"44000","Rhode Island state total","1","CA4","38","...","  Employer contributions for government social insurance",122972,131286,144058,169567,207307,221219,222876,262174,289971,336591,383426,411914,471439,491402,541245,635025,667473,717560,759722,837665,852685,908633,897345,951379,999620,1045845,1077067,1095142,1141183,1199174,1244890,1321518,1355558,1385532,1458553,1529675,1595158,1675374,1704733,1720173,1710201,1772534,1829015,1886986,1935793
"44000","Rhode Island state total","1","CA4","42","...","Plus: Adjustment for residence 6/",63284,64313,58909,53429,69355,88285,82491,88317,103482,101806,110325,123922,154243,207655,263372,331951,391881,417380,484915,559386,625813,671555,697002,718916,761640,830869,860563,930391,997039,1075569,1177524,1338115,1314301,1228018,1207303,1306370,1308631,1347446,1467958,1504665,1412297,1414092,1553884,1598562,1595098
"44000","Rhode Island state total","1","CA4","45","...","Equals: Net earnings by place of residence",2795031,2998774,3130087,3418259,3590114,3650892,3800148,4239211,4666847,5152487,5713272,6221824,6670253,7037840,7655253,8456327,9230191,10008940,10889388,12010319,12741737,12998232,12754562,13523472,14010361,14511910,15190868,15705778,16586930,17994928,19101546,20655730,21522649,22583981,23720246,24980721,25603116,26939823,27526959,27805018,26950203,28184978,29195270,30307764,30811567
"44000","Rhode Island state total","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",596351,663383,698867,745282,810697,878801,928329,990584,1100186,1207567,1355017,1682670,2096588,2335051,2479632,2856847,2964919,3166903,3352928,3764643,4441442,4419656,4168448,4206411,4323910,4404247,4750254,5023453,5349014,5719291,5672114,6152700,6357475,6498117,6796001,6876349,6878852,7568405,8207273,8392962,7632003,7737623,8169161,8858971,9082760
"44000","Rhode Island state total","1","CA4","47","...","Plus: Personal current transfer receipts",347206,423015,496661,545627,624674,733593,971929,992820,1039909,1111205,1234794,1428012,1633559,1793339,1912385,1965077,2086481,2170428,2235525,2390344,2609189,2884463,3503619,3653713,3966027,3942939,4156956,4235088,4499105,4548572,4733310,4910803,5492192,5730126,5892049,6285068,6539098,6780411,7424602,7983335,8944001,9355987,9450338,9417429,9515255
"44000","Rhode Island state total","1","CA4","50","...","Wages and salaries",2382283,2553137,2665401,2924067,3108099,3176300,3260934,3618684,3930496,4360324,4832751,5256079,5673875,5936936,6347454,7021299,7547635,8191698,8940465,9761816,10271951,10577051,10317954,10812143,11222890,11566546,12175375,12577361,13375268,14274936,15051651,16137163,16763538,17463954,18460044,19224409,19816580,20806755,21408585,21666879,20927311,21505460,22042141,22685715,23429329
"44000","Rhode Island state total","1","CA4","60","...","Supplements to wages and salaries",341929,382946,418661,478208,507314,502466,560405,641582,733343,839138,948242,1050060,1187985,1277097,1406397,1565362,1693430,1861405,1997251,2189277,2366643,2487423,2475337,2771576,2866372,2928771,2972528,3016166,3101391,3253805,3441518,3707109,3923461,4202012,4474314,4805989,5071263,5398850,5578008,5692072,5486538,5978766,5889803,5885638,5965482
"44000","Rhode Island state total","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",218957,251660,274603,308641,300007,281247,337529,379408,443372,502547,564816,638146,716546,785695,865152,930337,1025957,1143845,1237529,1351612,1513958,1578790,1577992,1820197,1866752,1882926,1895461,1921024,1960208,2054631,2196628,2385591,2567903,2816480,3015761,3276314,3476105,3723476,3873275,3971899,3776337,4206232,4060788,3998652,4029689
"44000","Rhode Island state total","1","CA4","62","...","  Employer contributions for government social insurance",122972,131286,144058,169567,207307,221219,222876,262174,289971,336591,383426,411914,471439,491402,541245,635025,667473,717560,759722,837665,852685,908633,897345,951379,999620,1045845,1077067,1095142,1141183,1199174,1244890,1321518,1355558,1385532,1458553,1529675,1595158,1675374,1704733,1720173,1710201,1772534,1829015,1886986,1935793
"44000","Rhode Island state total","1","CA4","70","...","Proprietors' income 9/",238066,243542,254239,269057,286699,294173,312271,363958,420320,448142,506869,537092,505346,518239,626008,673408,817458,868601,896947,1094495,1138320,1052235,1073121,1143544,1170774,1295032,1364721,1410755,1447406,1862087,2019644,2229332,2387737,2653964,2698798,2931044,2811790,2977244,2773611,2693253,2818338,3078287,3217398,3747713,3965475
"44000","Rhode Island state total","1","CA4","71","...","  Farm proprietors' income",4551,5939,4768,4257,2700,4974,4867,5029,3288,3737,1765,1833,2983,20490,29905,24923,33593,35199,32119,32543,22780,19989,21804,20057,19559,14855,13070,11373,2672,1944,2975,2325,3252,3932,6377,8615,10685,7049,5414,-185,62,1449,698,-1932,-2598
"44000","Rhode Island state total","1","CA4","72","...","  Nonfarm proprietors' income",233515,237603,249471,264800,283999,289199,307404,358929,417032,444405,505104,535259,502363,497749,596103,648485,783865,833402,864828,1061952,1115540,1032246,1051317,1123487,1151215,1280177,1351651,1399382,1444734,1860143,2016669,2227007,2384485,2650032,2692421,2922429,2801105,2970195,2768197,2693438,2818276,3076838,3216700,3749645,3968073
"44000","Rhode Island state total","1","CA4","7010","...","Total employment",440080,440434,436230,447168,452029,439492,423718,442018,459260,474204,483338,484272,483652,474725,480235,503670,518775,536778,546024,559738,560370,550468,523917,529175,533447,532959,536250,539724,545955,554562,565276,579050,581283,583782,589816,598292,601903,607071,613883,604975,584865,581028,586544,588336,596813
"44000","Rhode Island state total","1","CA4","7020","...","  Wage and salary employment",399859,399205,395019,405056,407973,394370,377811,395926,411194,425218,432875,430213,429739,420112,424726,446803,458510,472686,483708,491251,492382,479474,453203,451101,455069,456098,463429,465041,471702,478729,487477,497676,498578,499052,502580,506532,506528,508931,509253,499044,477603,474551,476085,478606,485026
"44000","Rhode Island state total","1","CA4","7040","...","  Proprietors employment",40221,41229,41211,42112,44056,45122,45907,46092,48066,48986,50463,54059,53913,54613,55509,56867,60265,64092,62316,68487,67988,70994,70714,78074,78378,76861,72821,74683,74253,75833,77799,81374,82705,84730,87236,91760,95375,98140,104630,105931,107262,106477,110459,109730,111787
"44001","Bristol, RI ","1","CA4","10","...","Personal income (thousands of dollars)",203799,215362,228631,244280,262229,276111,297808,329578,363330,396873,444343,499101,561642,608896,658852,737874,789675,845155,905216,1025517,1136637,1138378,1135475,1210339,1261060,1303488,1421407,1475964,1528663,1639894,1782847,1903030,2008059,2103381,2212549,2330061,2378704,2561000,2671740,2658076,2550322,2639778,2742116,2876563,2924576
"44001","Bristol, RI ","1","CA4","11","...","  Nonfarm personal income 1/",203226,214760,228066,243681,261725,275561,297201,328962,362787,396299,443950,498750,561286,608144,657951,737059,788635,843984,904194,1024359,1135383,1137043,1133883,1208784,1259570,1302379,1420378,1475117,1528338,1639614,1782517,1902600,2007547,2102786,2211925,2329419,2377989,2560573,2671617,2658068,2550358,2639985,2742307,2876588,2924486
"44001","Bristol, RI ","1","CA4","12","...","  Farm income 2/",573,602,565,599,504,550,607,616,543,574,393,351,356,752,901,815,1040,1171,1022,1158,1254,1335,1592,1555,1490,1109,1029,847,325,280,330,430,512,595,624,642,715,427,123,8,-36,-207,-191,-25,90
"44001","Bristol, RI ","1","CA4","20","...","Population (persons) 3/",44870,45880,46264,46702,46849,46692,46707,47176,47761,47734,46845,46827,46258,46487,47279,47374,47630,48201,48456,49269,48866,48915,49130,49310,49604,49656,49750,49868,50028,50328,50466,50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49845,49033,48959,49220
"44001","Bristol, RI ","1","CA4","30","...","Per capita personal income (dollars) 4/",4542,4694,4942,5231,5597,5913,6376,6986,7607,8314,9485,10658,12142,13098,13935,15576,16579,17534,18681,20815,23260,23273,23112,24546,25423,26250,28571,29597,30556,32584,35328,37537,39419,40567,42831,44626,46039,50220,52476,52461,50930,52960,55924,58755,59418
"44001","Bristol, RI ","1","CA4","35","...","Earnings by place of work",92511,96674,100218,101515,111718,118593,123746,144262,158936,166831,186923,192028,209319,217286,238938,270590,283069,305198,324236,365788,386727,377916,364887,383241,394655,417629,450351,467779,473410,527050,565433,603914,639061,698395,764976,796487,818912,845764,869575,886134,843561,865108,873995,907934,950624
"44001","Bristol, RI ","1","CA4","36","...","Less: Contributions for government social insurance 5/",7602,7898,8449,8952,11553,12802,12952,15143,16659,18119,20983,21139,24747,25995,28680,34152,35110,38295,40585,46320,47976,49522,49712,52562,55227,58729,62104,63676,65576,71260,74626,79553,82735,86876,94244,99765,104321,108415,113432,116460,112278,112964,104661,106253,122208
