"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"45000","South Carolina state total","5","CA4","10","...","Personal income (thousands of dollars)",7594623,8363608,9161152,10282871,11649849,13187997,14352868,16023851,17507987,19781709,22167251,24817628,27929043,29695452,32274991,35957343,38524145,41160765,44121630,47953937,52182388,56030614,58438073,62275313,65456916,69440772,73499089,78140441,83155133,89318705,94177511,101104226,105040398,107821779,111563641,118167842,125376450,135603725,143796758,150196009,148791236,151466811,159266978,166958682,171088428
"45000","South Carolina state total","5","CA4","11","...","  Nonfarm personal income 1/",7407818,8176306,8958496,10070605,11349745,12848542,14079786,15794731,17325389,19540946,21913029,24786864,27762779,29504923,32228388,35691937,38331996,41073851,43876571,47611368,51821542,55736885,58045687,61904056,65126834,68958306,73123472,77685397,82692469,88994967,93782128,100586425,104401399,107602272,111045784,117535418,124739349,135154823,143519198,149714848,148308280,151053990,158929177,166429779,170431955
"45000","South Carolina state total","5","CA4","12","...","  Farm income 2/",186805,187302,202656,212266,300104,339455,273082,229120,182598,240763,254222,30764,166264,190529,46603,265406,192149,86914,245059,342569,360846,293729,392386,371257,330082,482466,375617,455044,462664,323738,395383,517801,638999,219507,517857,632424,637101,448902,277560,481161,482956,412821,337801,528903,656473
"45000","South Carolina state total","5","CA4","20","...","Population (persons) 3/",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4636361,4673509,4723417,4774839
"45000","South Carolina state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2955,3219,3442,3783,4197,4638,4949,5448,5858,6505,7181,7918,8785,9258,9980,10990,11663,12313,13052,14054,15096,16003,16367,17201,17868,18740,19607,20584,21544,22790,23694,25124,25840,26248,26881,28062,29361,31117,32357,33163,32417,32669,34079,35347,35831
"45000","South Carolina state total","5","CA4","35","...","Earnings by place of work",6459513,6955680,7580165,8542846,9726256,10869462,11341480,12868266,14115082,16023468,17919123,19523662,21625185,22418171,24420962,27469020,29248636,31345507,34003479,37241305,39860073,42894514,44229317,46934886,49257297,51810661,54502940,57323745,60905627,65576632,70046796,74548397,76685503,78425393,81866410,86140451,90583722,96475994,100657149,103685839,100693198,101842546,105551846,110986013,115145420
"45000","South Carolina state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",416658,448797,509407,599659,773251,898149,927583,1088867,1199178,1388996,1608122,1773764,2091176,2195836,2469826,2849921,3096372,3425294,3665138,4150738,4513388,4973794,5191871,5480184,5823798,6195331,6554573,6771413,7187058,7735019,8169845,8623635,8877254,9138334,9531039,10015881,10499696,11437311,11954586,12282004,11923786,12142947,11426136,11784827,13603241
"45000","South Carolina state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",201954,216763,243266,283049,369136,429346,441909,505137,555147,642151,748550,834918,995999,1062678,1177980,1333735,1496934,1672935,1797136,2048403,2266112,2487146,2610922,2748238,2916839,3133868,3350774,3472573,3689831,3952595,4192771,4400842,4563751,4702381,4879650,5169443,5472340,5955789,6294392,6460418,6299366,6440692,5275235,5498858,7188423
"45000","South Carolina state total","5","CA4","38","...","  Employer contributions for government social insurance",214704,232034,266141,316610,404115,468803,485674,583730,644031,746845,859572,938846,1095177,1133158,1291846,1516186,1599438,1752359,1868002,2102335,2247276,2486648,2580949,2731946,2906959,3061463,3203799,3298840,3497227,3782424,3977074,4222793,4313503,4435953,4651389,4846438,5027356,5481522,5660194,5821586,5624420,5702255,6150901,6285969,6414818
"45000","South Carolina state total","5","CA4","42","...","Plus: Adjustment for residence 6/",127605,125994,137445,154220,166739,180493,191746,225783,247395,265313,289757,321628,348043,380774,392320,425283,477502,543323,586223,610976,571867,507846,494637,504201,520597,637265,768603,879351,1037800,1117451,1205721,1432022,1426644,1431851,1452748,1567108,1734341,1934785,2204908,2281510,2307823,2318830,2440176,2771608,2853054
