"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"46000","South Dakota state total","4","CA4","10","...","Personal income (thousands of dollars)",2080125,2262517,2478189,2860912,3609714,3621033,4000855,3952615,4483665,5163658,5678808,5716475,6644965,7031667,7324435,8289170,8516375,8893996,9361996,9755985,10502532,11499012,11985757,12983474,13577779,14621926,14919773,16488612,16835130,18214610,19232384,20604374,21557031,21746768,23722210,25126239,25939922,26560119,29438571,32255724,31621813,33148886,36607690,38095829,38897143
"46000","South Dakota state total","4","CA4","11","...","  Nonfarm personal income 1/",1723616,1890170,2075478,2297786,2584455,2934831,3295823,3678004,4041786,4550331,5030113,5582964,6203810,6661918,7072365,7604368,7908589,8235145,8523699,9046015,9783568,10482594,11096080,11914005,12638313,13417914,14286077,15032432,15795453,17054326,18074484,19269653,20413033,21250180,22216942,23292059,24341544,25949587,27731672,29439271,29436068,30916718,32579233,34718395,35299923
"46000","South Dakota state total","4","CA4","12","...","  Farm income 2/",356509,372347,402711,563126,1025259,686202,705032,274611,441879,613327,648695,133511,441155,369749,252070,684802,607786,658851,838297,709970,718964,1016418,889677,1069469,939466,1204012,633696,1456180,1039677,1160284,1157900,1334721,1143998,496588,1505268,1834180,1598378,610532,1706899,2816453,2185745,2232168,4028457,3377434,3597220
"46000","South Dakota state total","4","CA4","20","...","Population (persons) 3/",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816211,823772,834047,844877
"46000","South Dakota state total","4","CA4","30","...","Per capita personal income (dollars) 4/",3114,3394,3691,4223,5317,5326,5871,5755,6508,7491,8242,8275,9636,10182,10569,11888,12194,12778,13450,13974,15075,16495,17033,18215,18802,20008,20219,22215,22621,24414,25629,27260,28440,28613,31061,32615,33450,33920,37188,40364,39181,40613,44439,45676,46039
"46000","South Dakota state total","4","CA4","35","...","Earnings by place of work",1646355,1763289,1923417,2250481,2926828,2807048,3027689,2907460,3319894,3883030,4251281,3948092,4493135,4543772,4739232,5566638,5693999,5989519,6494176,6832517,7282121,8166492,8542509,9376653,9818868,10743907,10644217,11930154,12094999,13199883,14056890,15075693,15589983,15682586,17389448,18556104,18985830,18793159,20667237,22758123,22284017,23416667,26053572,26910787,27776802
"46000","South Dakota state total","4","CA4","36","...","Less: Contributions for government social insurance 5/",89609,95455,106383,121081,158103,183198,200384,224598,237574,274402,322079,341848,388087,407801,440472,491235,529535,573922,618159,691582,750314,851322,916344,976305,1034719,1117340,1171370,1224403,1292030,1385217,1481938,1567507,1617184,1678186,1755368,1848770,1938986,2082230,2213445,2318405,2317017,2420099,2223146,2341752,2698707
"46000","South Dakota state total","4","CA4","37","...","  Employee and self-employed contributions for government social insurance",53291,56213,61052,68529,90693,104603,114118,122871,125191,143866,172383,184170,208129,220719,236208,260313,288802,314032,345339,386995,426320,477650,512621,542154,570847,617803,644488,671764,708562,763480,814927,858554,878499,911550,959809,1010713,1068158,1147852,1224846,1280189,1277727,1310663,1096727,1158858,1499055
"46000","South Dakota state total","4","CA4","38","...","  Employer contributions for government social insurance",36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766636,795559,838057,870828,934378,988599,1038216,1039290,1109436,1126419,1182894,1199652
"46000","South Dakota state total","4","CA4","42","...","Plus: Adjustment for residence 6/",6114,6123,6362,7076,7289,8082,10351,11798,12514,14334,15188,16353,12826,10216,3722,-2261,-5050,-11599,-19256,-26786,-37308,-54310,-67799,-85088,-100475,-130581,-150066,-188986,-185866,-232820,-249571,-267437,-255899,-238714,-236090,-235957,-208539,-193635,-209622,-191527,-153116,-172151,-204248,-217067,-214892
"46000","South Dakota state total","4","CA4","45","...","Equals: Net earnings by place of residence",1562860,1673957,1823396,2136476,2776014,2631932,2837656,2694660,3094834,3622962,3944390,3622597,4117874,4146187,4302482,5073142,5159414,5403998,5856761,6114149,6494499,7260860,7558366,8315260,8683674,9495986,9322781,10516765,10617103,11581846,12325381,13240749,13716900,13765686,15397990,16471377,16838305,16517294,18244170,20248191,19813884,20824417,23626178,24351968,24863203
"46000","South Dakota state total","4","CA4","46","...","Plus: Dividends, interest, and rent 7/",323061,366695,399575,442077,506316,606518,706855,756557,860263,966742,1086201,1335670,1657890,1919136,1982011,2116346,2187388,2272715,2247993,2328143,2576939,2712671,2778343,2876078,3007315,3130294,3469567,3725571,3913714,4260273,4435956,4717222,4977318,4928198,5174217,5330880,5537020,6171234,7050549,7506288,6847215,7082566,7644705,8298382,8448240
"46000","South Dakota state total","4","CA4","47","...","Plus: Personal current transfer receipts",194204,221865,255218,282359,327384,382583,456344,501398,528568,573954,648217,758208,869201,966344,1039942,1099682,1169573,1217283,1257242,1313693,1431094,1525481,1649048,1792136,1886790,1995646,2127425,2246276,2304313,2372491,2471047,2646403,2862813,3052884,3150003,3323982,3564597,3871591,4143852,4501245,4960714,5241903,5336807,5445479,5585700
"46000","South Dakota state total","4","CA4","50","...","Wages and salaries",963354,1048533,1135789,1236295,1385024,1562847,1688286,1884908,2063329,2357998,2614343,2809589,3009026,3112206,3281520,3536328,3689538,3846012,4073133,4365851,4617796,5030725,5383229,5807790,6198630,6644829,7062743,7427065,7868248,8416334,9029033,9631622,10013729,10342245,10722294,11319376,11813148,12488763,13345538,14053509,13963719,14363288,14981257,15850318,16170484
"46000","South Dakota state total","4","CA4","60","...","Supplements to wages and salaries",107636,124245,146945,171775,198343,229060,276970,317256,359222,410436,463543,500572,550107,593545,651139,712469,763850,820826,873953,954111,1062371,1195102,1309645,1481545,1585019,1686127,1728958,1758629,1794312,1918733,2061186,2217802,2343342,2534641,2749233,2939018,3124700,3138295,3335494,3494201,3472353,3740417,3981559,4005469,4001449
"46000","South Dakota state total","4","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",71318,85003,101614,119223,130933,150465,190704,215529,246839,279900,313847,342894,370149,406463,446875,481547,523117,560936,601133,649524,738377,821430,905922,1047394,1121147,1186590,1202076,1205990,1210844,1296996,1394175,1508849,1604657,1768005,1953674,2100961,2253872,2203917,2346895,2455985,2433063,2630981,2855140,2822575,2801797
"46000","South Dakota state total","4","CA4","62","...","  Employer contributions for government social insurance",36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766636,795559,838057,870828,934378,988599,1038216,1039290,1109436,1126419,1182894,1199652
"46000","South Dakota state total","4","CA4","70","...","Proprietors' income 9/",575365,590511,640683,842411,1343461,1015141,1062433,705296,897343,1114596,1173395,637931,934002,838021,806573,1317841,1240611,1322681,1547090,1512555,1601954,1940665,1849635,2087318,2035219,2412951,1852516,2744460,2432439,2864816,2966671,3226269,3232912,2805700,3917921,4297710,4047982,3166101,3986205,5210413,4847945,5312962,7090756,7055000,7604869
"46000","South Dakota state total","4","CA4","71","...","  Farm proprietors' income",323871,339332,370470,529583,981603,631798,653848,228064,393931,544935,574092,56517,365051,288068,173398,606314,528074,584402,762716,629768,638461,928861,810744,993025,859738,1112548,542835,1359608,935429,1041009,1045202,1208954,1001248,364683,1397475,1676038,1440287,452721,1479058,2550267,1981865,2039186,3809280,2978993,3308988
"46000","South Dakota state total","4","CA4","72","...","  Nonfarm proprietors' income",251494,251179,270213,312828,361858,383343,408585,477232,503412,569661,599303,581414,568951,549953,633175,711527,712537,738279,784374,882787,963493,1011804,1038891,1094293,1175481,1300403,1309681,1384852,1497010,1823807,1921469,2017315,2231664,2441017,2520446,2621672,2607695,2713380,2507147,2660146,2866080,3273776,3281476,4076007,4295881
