"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"47000","Tennessee state total","5","CA4","10","...","Personal income (thousands of dollars)",11816751,12843600,14182933,15960357,18114084,20047468,21881351,24462824,27109544,30906591,34452559,37979392,42268051,44943941,47983679,53395275,57222779,61267341,65992827,71747832,77036501,81897709,86029152,94187272,100276464,106626936,114458842,120862823,128018165,140856187,147173130,156755965,161747185,166055874,172660048,182840167,190132837,201689677,211092929,219160153,217175187,225190858,237702857,251752374,256968697
"47000","Tennessee state total","5","CA4","11","...","  Nonfarm personal income 1/",11562687,12575864,13918219,15636297,17623986,19732299,21634901,24096191,26814972,30592746,34116329,37787892,41913574,44647547,48022084,52988945,56893282,61031312,65693873,71364868,76600198,81461765,85525586,93531349,99691705,105979435,114026722,120476761,127643955,140658101,147123871,156435540,161294391,165976380,172469986,182469612,189601431,201433532,211253991,218969180,216938422,225124188,237307607,251318459,256170901
"47000","Tennessee state total","5","CA4","12","...","  Farm income 2/",254064,267736,264714,324060,490098,315169,246450,366633,294572,313845,336230,191500,354477,296394,-38405,406330,329497,236029,298954,382964,436303,435944,503566,655923,584759,647501,432120,386062,374210,198086,49259,320425,452794,79494,190062,370555,531406,256145,-161062,190973,236765,66670,395250,433915,797796
"47000","Tennessee state total","5","CA4","20","...","Population (persons) 3/",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356683,6398361,6454914,6495978
"47000","Tennessee state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3032,3262,3537,3904,4377,4771,5135,5651,6159,6927,7600,8256,9134,9674,10297,11393,12136,12929,13798,14878,15869,16733,17322,18652,19518,20382,21487,22313,23279,25288,26101,27483,28126,28650,29526,30933,31736,33125,34181,35080,34439,35426,37151,39002,39558
"47000","Tennessee state total","5","CA4","35","...","Earnings by place of work",10255309,10899174,11963376,13583681,15443930,16770345,17606956,19910278,22286275,25622587,28391937,30280910,33093597,34248700,36644254,41097805,44211892,47591506,51888323,56438448,59912551,63352486,66390618,72955781,77998364,83436797,88840121,93570570,99905071,111114083,117079111,124146908,127419768,131693990,136504350,145236698,149585448,157323974,161261431,164427935,159802692,163472626,171415780,182920403,188296002
"47000","Tennessee state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",659469,695644,789480,938033,1211394,1384092,1430974,1640450,1847276,2151910,2481583,2668465,3135502,3331308,3652120,4190326,4589484,5066132,5474066,6108061,6568783,7002062,7455393,8066921,8654092,9401251,10015290,10377117,11007811,11708155,12361335,12928151,13336813,13950077,14455288,15247978,15886243,16752329,17528039,17989116,17643683,17984443,16705279,17191026,19829380
"47000","Tennessee state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",329880,349040,394705,461436,592503,679337,703637,783291,880793,1009829,1174034,1282126,1521280,1632529,1767609,1984475,2246580,2499828,2735597,3077057,3373524,3596009,3856476,4147677,4454778,4853546,5214405,5404716,5740175,6106961,6479157,6769875,7040087,7377374,7618002,8087809,8559434,9161999,9644329,9865475,9582149,9773834,8129190,8348385,10942093
"47000","Tennessee state total","5","CA4","38","...","  Employer contributions for government social insurance",329589,346604,394775,476597,618891,704755,727337,857159,966483,1142081,1307549,1386339,1614222,1698779,1884511,2205851,2342904,2566304,2738469,3031004,3195259,3406053,3598917,3919244,4199314,4547705,4800885,4972401,5267636,5601194,5882178,6158276,6296726,6572703,6837286,7160169,7326809,7590330,7883710,8123641,8061534,8210609,8576089,8842641,8887287
"47000","Tennessee state total","5","CA4","42","...","Plus: Adjustment for residence 6/",-146011,-146682,-156523,-183832,-167035,-177058,-180791,-173642,-230735,-294554,-344974,-412465,-447242,-404772,-417595,-443606,-468747,-504899,-534095,-546178,-571214,-629016,-622235,-483011,-596092,-687442,-767861,-785410,-1031450,-1175930,-1360242,-1551335,-1641671,-1557085,-1521813,-1598071,-1382797,-1321154,-1423823,-1276143,-953225,-867908,-969582,-1373830,-1491911
