"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"48000","Texas state total","6","CA4","10","...","Personal income (thousands of dollars)",38443529,42337671,45936073,50972265,57886017,65270692,74303077,83671758,93323757,107755372,124173241,142594636,167699823,184290581,196045772,214938130,231235389,236703182,241465103,256203004,273963835,296074108,309786546,335108350,354598528,374873677,401050151,431121080,469703559,513264942,543111817,593589129,632900606,636612085,661464027,696017936,756298248,828545645,878517467,963718210,916320932,960969760,1051688464,1127674524,1160078868
"48000","Texas state total","6","CA4","11","...","  Nonfarm personal income 1/",37529414,41182908,44935414,49730711,55761635,64138104,73016113,82413822,92080866,106763504,122472298,142013107,165775492,182962818,194328946,213338639,229764569,235455770,239415444,253923427,271759633,293069538,307057848,331773041,350647984,371470044,398314453,428750240,466685356,510465044,538876889,590280782,628949195,632669820,656406653,690711388,751340959,825365359,874867862,961274830,914943965,957297096,1047843259,1123484673,1155792414
"48000","Texas state total","6","CA4","12","...","  Farm income 2/",914115,1154763,1000659,1241554,2124382,1132588,1286964,1257936,1242891,991868,1700943,581529,1924331,1327763,1716826,1599491,1470820,1247412,2049659,2279577,2204202,3004570,2728698,3335309,3950544,3403633,2735698,2370840,3018203,2799898,4234928,3308347,3951411,3942265,5057374,5306548,4957289,3180286,3649605,2443380,1376967,3672664,3845205,4189851,4286454
"48000","Texas state total","6","CA4","20","...","Population (persons) 3/",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25245178,25640909,26060796,26448193
"48000","Texas state total","6","CA4","30","...","Per capita personal income (dollars) 4/",3481,3768,3991,4335,4816,5320,5912,6485,7074,7983,8941,9945,11372,12020,12446,13428,14210,14293,14527,15372,16301,17358,17806,18869,19525,20194,21154,22291,23794,25463,26418,28341,29686,29350,30024,31081,33203,35469,36863,39644,36946,38065,41016,43271,43862
"48000","Texas state total","6","CA4","35","...","Earnings by place of work",32418778,35075807,37748133,41992564,47834741,53346787,60244554,68856844,77683489,90027708,104072730,117885999,137913265,148516730,155552484,170022596,181766007,184516150,188532633,200996431,213179242,231206587,242930987,262345031,279272367,294781192,313294660,337769187,372576481,412554378,442547997,484094152,519607158,519790452,536041762,565987731,603947992,661123107,691187613,744407645,700011666,735547480,795064369,851662306,888747947
"48000","Texas state total","6","CA4","36","...","Less: Contributions for government social insurance 5/",2012043,2149000,2399309,2782640,3608255,4248908,4720816,5513395,6290150,7500891,9046503,10466423,13077673,14469860,15034877,16887368,18294520,18420100,18487094,20384775,21806091,23239484,25080798,26705205,28325493,30353046,32364691,34406375,37474256,40837125,43356875,46647203,49028237,49563315,51813921,54508201,58043801,62130526,66495456,69850246,69367436,72187616,67978768,71798876,84670408
"48000","Texas state total","6","CA4","37","...","  Employee and self-employed contributions for government social insurance",1017402,1086601,1206157,1372398,1789465,2111097,2338673,2649839,3012638,3559702,4330074,5082598,6410432,7108699,7316452,8044937,9007138,9159931,9261661,10269548,11183368,11930149,12941824,13757072,14616384,15724677,16872382,17911343,19504289,21226764,22605881,24282711,25549897,25932654,26378428,27858117,29877682,32395211,34884847,37152562,36874534,37797500,31403816,32889672,44382337
"48000","Texas state total","6","CA4","38","...","  Employer contributions for government social insurance",994641,1062399,1193152,1410242,1818790,2137811,2382143,2863556,3277512,3941189,4716429,5383825,6667241,7361161,7718425,8842431,9287382,9260169,9225433,10115227,10622723,11309335,12138974,12948133,13709109,14628369,15492309,16495032,17969967,19610361,20750994,22364492,23478340,23630661,25435493,26650084,28166119,29735315,31610609,32697684,32492902,34390116,36574952,38909204,40288071
"48000","Texas state total","6","CA4","42","...","Plus: Adjustment for residence 6/",-87244,-99504,-103088,-127961,-155278,-132503,-130753,-94911,-308841,-430271,-436851,-541531,-337105,-408854,-391584,-450123,-479096,-439684,-436228,-442023,-452474,-492105,-571527,-594718,-616038,-682379,-764381,-835574,-976489,-1073091,-1097876,-1195954,-1352341,-1333095,-1324909,-1372936,-1488780,-1683508,-1916337,-2067660,-2079641,-2150583,-2362503,-2518006,-2606873
