"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"51000","Virginia state total","5","CA4","10","...","Personal income (thousands of dollars)",17870733,19388149,21429018,23779311,26598871,29484465,32413393,35748204,39614713,44958125,50083287,56548118,63468192,68627666,74250775,82629607,89521359,96577820,104282405,114109225,123321326,129502419,134992689,143817761,151274339,159087397,166853458,175140172,186656664,199426051,213283618,230606161,242631218,250255873,264709628,282273583,301875741,322950406,340479071,351728244,349182597,359782472,381586969,398811659,403424740
"51000","Virginia state total","5","CA4","11","...","  Nonfarm personal income 1/",17660399,19177257,21238442,23528145,26247954,29173086,32152827,35517676,39452271,44674719,49934222,56486368,63204636,68512273,74211988,82308476,89297772,96307249,103918675,113593890,122686705,128824342,134379614,143159066,150741270,158453819,166298025,174579138,186240062,199015749,212968326,230047975,242153534,249892918,264439652,281744663,301302548,322679273,340261715,351440986,348968753,359581916,381118946,398216271,402899449
"51000","Virginia state total","5","CA4","12","...","  Farm income 2/",210334,210892,190576,251166,350917,311379,260566,230528,162442,283406,149065,61750,263556,115393,38787,321131,223587,270571,363730,515335,634621,678077,613075,658695,533069,633578,555433,561034,416602,410302,315292,558186,477684,362955,269976,528920,573193,271133,217356,287258,213844,200556,468023,595388,525291
"51000","Virginia state total","5","CA4","20","...","Population (persons) 3/",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024417,8105850,8186628,8260405
"51000","Virginia state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3873,4161,4509,4925,5421,5923,6410,6965,7610,8508,9406,10534,11658,12494,13343,14641,15664,16618,17579,18902,20150,20831,21423,22421,23239,24129,25013,25943,27332,28898,30468,32453,33706,34343,35932,37759,39841,42085,43927,44901,44056,44836,47076,48715,48838
"51000","Virginia state total","5","CA4","35","...","Earnings by place of work",13914964,14918039,16395038,18286307,20535160,22536505,24165501,26790595,29699626,33549167,37187239,40932114,45464123,48677691,53111116,59550843,65092067,70956421,77787325,85346981,91306089,95180857,98597791,104907004,109852241,115459607,120450105,126984989,135947775,147319200,158784013,174075094,183317847,188362472,198589898,214789449,228876918,240325170,250511736,256922020,256428482,263884707,272619390,282261614,287133137
"51000","Virginia state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",799195,869334,998864,1166417,1483483,1700629,1821518,2071376,2302362,2623688,3053517,3380304,4012663,4368940,4945443,5702218,6436234,7279121,7980665,9001533,9745892,10316847,10808125,11443548,12026553,12719410,13263806,13951624,14948277,16046594,17283122,18642532,19663981,20311281,21344001,23263531,24884191,26492975,27639304,28544847,28617292,29539271,27177624,28057825,32341669
"51000","Virginia state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",399804,430167,486170,563642,727458,833712,882150,980230,1087342,1241396,1460131,1637369,1965610,2163126,2421469,2749775,3193745,3625050,4002665,4532597,4959104,5221484,5489507,5782177,6104023,6514979,6853455,7204350,7731647,8295701,8977063,9663816,10200996,10580959,11045710,11952554,12819878,13707190,14423379,14928832,14932684,15338383,12330400,12674128,16782159
"51000","Virginia state total","5","CA4","38","...","  Employer contributions for government social insurance",399391,439167,512694,602775,756025,866917,939368,1091146,1215020,1382292,1593386,1742935,2047053,2205814,2523974,2952443,3242489,3654071,3978000,4468936,4786788,5095363,5318618,5661371,5922530,6204431,6410351,6747274,7216630,7750893,8306059,8978716,9462985,9730322,10298291,11310977,12064313,12785785,13215925,13616015,13684608,14200888,14847224,15383697,15559510
"51000","Virginia state total","5","CA4","42","...","Plus: Adjustment for residence 6/",998500,904650,942760,998806,1076159,1183812,1450506,1676613,1899782,2261577,2645724,3197116,3333632,3373951,3357248,3560086,3683984,3807320,3916900,4309706,4545289,5179702,5612648,6017499,6331873,6256090,6366136,5915923,6476516,6206210,7917205,6055617,6299862,7703318,8120199,8182209,8240869,9079605,9290732,10112885,9855133,11082102,12761670,12268269,12324602
"51000","Virginia state total","5","CA4","45","...","Equals: Net earnings by place of residence",14114269,14953355,16338934,18118696,20127836,22019688,23794489,26395832,29297046,33187056,36779446,40748926,44785092,47682702,51522921,57408711,62339817,67484620,73723560,80655154,86105486,90043712,93402314,99480955,104157561,108996287,113552435,118949288,127476014,137478816,149418096,161488179,169953728,175754509,185366096,199708127,212233596,222911800,232163164,238490058,237666323,245427538,258203436,266472058,267116070
"51000","Virginia state total","5","CA4","46","...","Plus: Dividends, interest, and rent 7/",2777702,3255265,3676776,4038751,4533477,5163278,5671282,6132422,6863674,7953548,8922137,10590241,12668797,14372735,15619123,17699936,19143451,20574457,21710411,24005596,26876360,28238129,29200692,30396332,32369292,34478012,36428626,38378630,40747957,42866612,43715630,47519281,48639036,49008765,51986765,53673019,58265730,65719280,71765242,73018746,66400115,66251810,73313599,80928685,82869033
"51000","Virginia state total","5","CA4","47","...","Plus: Personal current transfer receipts",978762,1179529,1413308,1621864,1937558,2301499,2947622,3219950,3453993,3817521,4381704,5208951,6014303,6572229,7108731,7520960,8038091,8518743,8848434,9448475,10339480,11220578,12389683,13940474,14747486,15613098,16872397,17812254,18432693,19080623,20149892,21598701,24038454,25492599,27356767,28892437,31376415,34319326,36550665,40219440,45116159,48103124,50069934,51410916,53439637
"51000","Virginia state total","5","CA4","50","...","Wages and salaries",11024459,11832864,12897550,14287176,16093631,17684241,18763008,20727211,22886063,25649968,28610717,31722064,35158267,37817406,40952908,45641901,49966149,54521637,60002094,65235992,69888251,73389471,75279270,79446870,82987750,87252827,91269830,96626201,103770643,112115317,120992031,132384492,138736575,140596668,147600817,158793221,169119036,178959884,188704090,193674758,191644650,196648313,202352058,208473474,210552326
"51000","Virginia state total","5","CA4","60","...","Supplements to wages and salaries",1666029,1826031,2159302,2440213,2719747,3062557,3515967,3914821,4450307,5011274,5673452,6394568,7310186,8025786,8865719,9753198,10757067,11913933,12657273,13794395,15263083,16111809,16978208,18608841,19344032,20327215,20423878,20995324,21956521,23613685,25294373,27332131,28867504,30616910,33694433,36950239,39531404,39796207,41755581,43403951,46224262,46772758,46913863,47816413,49209960
"51000","Virginia state total","5","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",1266638,1386864,1646608,1837438,1963722,2195640,2576599,2823675,3235287,3628982,4080066,4651633,5263133,5819972,6341745,6800755,7514578,8259862,8679273,9325459,10476295,11016446,11659590,12947470,13421502,14122784,14013527,14248050,14739891,15862792,16988314,18353415,19404519,20886588,23396142,25639262,27467091,27010422,28539656,29787936,32539654,32571870,32066639,32432716,33650450
"51000","Virginia state total","5","CA4","62","...","  Employer contributions for government social insurance",399391,439167,512694,602775,756025,866917,939368,1091146,1215020,1382292,1593386,1742935,2047053,2205814,2523974,2952443,3242489,3654071,3978000,4468936,4786788,5095363,5318618,5661371,5922530,6204431,6410351,6747274,7216630,7750893,8306059,8978716,9462985,9730322,10298291,11310977,12064313,12785785,13215925,13616015,13684608,14200888,14847224,15383697,15559510
"51000","Virginia state total","5","CA4","70","...","Proprietors' income 9/",1224476,1259144,1338186,1558918,1721782,1789707,1886526,2148563,2363256,2887925,2903070,2815482,2995670,2834499,3292489,4155744,4368851,4520851,5127958,6316594,6154755,5679577,6340313,6851293,7520459,7879565,8756397,9363464,10220611,11590198,12497609,14358471,15713768,17148894,17294648,19045989,20226478,21569079,20052065,19843311,18559570,20463636,23353469,25971727,27370851
"51000","Virginia state total","5","CA4","71","...","  Farm proprietors' income",145097,146828,118906,180377,275053,227244,179761,130326,74921,157040,13820,-76535,130489,-28436,-97615,187120,89531,148032,243565,379562,489375,507444,445588,497587,365444,474106,387471,400844,251651,225716,124653,383497,268221,109746,-11447,253280,349708,19767,-70122,5694,-49323,-60987,242454,260788,169093
"51000","Virginia state total","5","CA4","72","...","  Nonfarm proprietors' income",1079379,1112316,1219280,1378541,1446729,1562463,1706765,2018237,2288335,2730885,2889250,2892017,2865181,2862935,3390104,3968624,4279320,4372819,4884393,5937032,5665380,5172133,5894725,6353706,7155015,7405459,8368926,8962620,9968960,11364482,12372956,13974974,15445547,17039148,17306095,18792709,19876770,21549312,20122187,19837617,18608893,20524623,23111015,25710939,27201758
