"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"50000","Vermont state total","1","CA4","10","...","Personal income (thousands of dollars)",1503562,1649486,1785668,1969923,2160343,2336657,2553979,2838196,3079249,3530870,3975304,4467479,5033722,5444994,5814772,6417346,6936207,7478488,8135384,8895443,9846173,10209556,10381297,11111940,11532518,12116331,12771799,13455419,14178904,15232160,16141855,17403009,18349846,18798307,19676058,20908377,21446306,22897243,24109284,25051542,24710781,25115662,26911715,27818999,28501222
"50000","Vermont state total","1","CA4","11","...","  Nonfarm personal income 1/",1446498,1587807,1725132,1902284,2089075,2278544,2493894,2761702,3014443,3437492,3871446,4360504,4911630,5323384,5732981,6334982,6836892,7380473,8013034,8776103,9725648,10097150,10279716,10937999,11407688,11990512,12674977,13311865,14072607,15099166,15998441,17255751,18204832,18688169,19532404,20719900,21248702,22783477,23896061,24882307,24610641,24970502,26701488,27662147,28323324
"50000","Vermont state total","1","CA4","12","...","  Farm income 2/",57064,61679,60536,67639,71268,58113,60085,76494,64806,93378,103858,106975,122092,121610,81791,82364,99315,98015,122350,119340,120525,112406,101581,173941,124830,125819,96822,143554,106297,132994,143414,147258,145014,110138,143654,188477,197604,113766,213223,169235,100140,145160,210227,156852,177898
"50000","Vermont state total","1","CA4","20","...","Population (persons) 3/",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625793,626320,625953,626630
"50000","Vermont state total","1","CA4","30","...","Per capita personal income (dollars) 4/",3441,3696,3930,4253,4611,4939,5322,5850,6256,7086,7861,8717,9763,10489,11112,12185,13086,14003,15058,16181,17655,18076,18257,19401,19961,20753,21684,22664,23741,25369,26695,28547,29972,30544,31846,33728,34523,36760,38669,40137,39549,40134,42968,44443,45483
"50000","Vermont state total","1","CA4","35","...","Earnings by place of work",1229010,1322362,1401522,1537657,1693419,1786864,1886927,2124507,2313569,2712856,3043403,3304575,3630527,3823969,4123996,4555422,5008187,5454700,6050831,6629630,7173682,7427410,7509232,8073129,8421979,8791495,9087391,9597226,10075709,10800869,11560961,12494537,13174899,13641264,14235306,15093412,15623333,16096049,16573850,17024109,16637305,17081639,17971051,18481110,19112765
"50000","Vermont state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",83266,89336,97585,111002,140761,155100,162293,183968,203439,244031,283530,309047,364405,392084,430405,489498,548385,601835,655575,742075,798111,869903,890395,937309,986445,1043228,1099916,1144017,1197157,1266186,1343310,1434683,1522650,1553544,1621840,1709998,1796115,1884118,1991077,2053812,2031973,2064086,1935133,2015033,2332200
"50000","Vermont state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",41401,44946,49052,54154,68473,75918,79809,87838,96397,114812,133828,148028,175623,191013,206718,229941,266762,295317,327754,374201,410863,447375,461969,483650,505367,535268,573119,595287,625234,659362,703732,749029,800736,825696,863410,915009,967267,1021407,1086465,1110290,1094798,1102527,910536,932737,1220323
"50000","Vermont state total","1","CA4","38","...","  Employer contributions for government social insurance",41865,44390,48533,56848,72288,79182,82484,96130,107042,129219,149702,161019,188782,201071,223687,259557,281623,306518,327821,367874,387248,422528,428426,453659,481078,507960,526797,548730,571923,606824,639578,685654,721914,727848,758430,794989,828848,862711,904612,943522,937175,961559,1024597,1082296,1111877
"50000","Vermont state total","1","CA4","42","...","Plus: Adjustment for residence 6/",-26784,-26467,-24240,-21104,-19816,-16807,-11026,-5570,-1971,-1436,5586,14150,17427,22928,21652,27427,29173,32921,40709,45881,49550,50275,57727,66290,76115,91362,104423,120350,144763,172708,194009,225288,244596,247944,279838,302725,330164,374294,404154,424635,437947,456306,472463,498465,503455
