"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"53000","Washington state total","8","CA4","10","...","Personal income (thousands of dollars)",14189188,14963601,15755947,16989715,19127287,21698528,24547939,27214698,30209293,35169171,40384610,45782444,51097568,54130092,57653542,61878676,65726570,70357031,74676889,81297370,89944983,98836571,105764944,114219155,120031194,126249814,133439562,143521290,154810718,169740426,181500261,194251014,198872835,203043498,211257491,226688412,235510032,255639739,276741494,289678642,280943954,286862463,303999485,324458394,332654857
"53000","Washington state total","8","CA4","11","...","  Nonfarm personal income 1/",13795987,14622041,15369745,16488697,18378381,20816389,23654822,26477896,29622993,34434088,39665014,44940452,50254207,53380469,56606169,60876028,64995905,69318111,73617006,80306670,88828249,97679343,104545149,112745908,118357885,124887884,132052647,141660061,153341884,168092415,180111103,192627521,197412010,201495918,209193666,224651533,233746913,253935529,274660935,287240793,279022083,284576817,300908431,321443958,329494796
"53000","Washington state total","8","CA4","12","...","  Farm income 2/",393201,341560,386202,501018,748906,882139,893117,736802,586300,735083,719596,841992,843361,749623,1047373,1002648,730665,1038920,1059883,990700,1116734,1157228,1219795,1473247,1673309,1361930,1386915,1861229,1468834,1648011,1389158,1623493,1460825,1547580,2063825,2036879,1763119,1704210,2080559,2437849,1921871,2285646,3091054,3014436,3160061
"53000","Washington state total","8","CA4","20","...","Population (persons) 3/",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6742256,6821481,6895318,6971406
"53000","Washington state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4244,4379,4571,4929,5501,6116,6783,7374,8008,9050,10064,11019,12063,12657,13407,14246,14938,15801,16478,17521,18950,20158,21045,22132,22738,23488,24346,25768,27281,29420,31065,32865,33225,33548,34609,36689,37638,40127,42829,44143,42137,42547,44565,47055,47717
"53000","Washington state total","8","CA4","35","...","Earnings by place of work",11709158,11860178,12287376,13357674,15196639,17106761,19066251,21369078,23959236,28233187,32582133,35915320,39207389,40444957,42712567,45622251,48366565,52247486,55930623,61452990,67196049,74671557,80120498,87505891,91424690,95384881,99542785,106702613,115813679,128861741,140023577,149170739,151666134,154631018,159873653,168502552,177221936,189678828,201790855,208126376,201630914,206801370,216192115,228137580,237707270
"53000","Washington state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",908827,911359,978715,1114784,1434928,1656005,1837154,2136936,2456833,2973069,3561299,3898199,4585056,4812246,5113987,5647155,6086761,6584809,7024733,7929320,8669433,9822715,10637496,11580257,12079083,12803680,13403631,14014304,14810180,16246199,17002548,18407665,18148607,18548365,19317401,20546648,21862179,23188776,24431280,25013045,24789628,25472128,24007872,24734247,28845341
"53000","Washington state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",374954,380858,408114,456489,589919,687177,765408,859618,964757,1152714,1386952,1543841,1841274,1956988,2058018,2216878,2496607,2743142,2950202,3371750,3777738,4297958,4670719,5030938,5172897,5516089,5832364,6189957,6770439,7369567,7848154,8401194,8318550,8580981,8832812,9297507,9953945,10821667,11590001,12065669,11882741,11987189,9817508,10219590,13760670
"53000","Washington state total","8","CA4","38","...","  Employer contributions for government social insurance",533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057,9967384,10484589,11249141,11908234,12367109,12841279,12947376,12906887,13484939,14190364,14514657,15084671
"53000","Washington state total","8","CA4","42","...","Plus: Adjustment for residence 6/",82860,62135,60548,71141,87482,130476,200356,248923,232087,272631,328677,395345,432237,468421,494561,544472,572180,616581,672367,756214,846762,925390,997688,1108873,1203709,1259281,1417535,1638757,1796912,1905810,1971737,2296989,2409621,2381442,2410378,2504561,2604601,2804958,2935450,2916909,2690298,2582269,2804427,2815072,3041368
"53000","Washington state total","8","CA4","45","...","Equals: Net earnings by place of residence",10883191,11010954,11369209,12314031,13849193,15581232,17429453,19481065,21734490,25532749,29349511,32412466,35054570,36101132,38093141,40519568,42851984,46279258,49578257,54279884,59373378,65774232,70480690,77034507,80549316,83840482,87556689,94327066,102800411,114521352,124992766,133060063,135927148,138464095,142966630,150460465,157964358,169295010,180295025,186030240,179531584,183911511,194988670,206218405,211903297
"53000","Washington state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",2229055,2517596,2715741,2891226,3267118,3765573,4211228,4576838,5170504,6052704,7023640,8462804,10340238,11613130,12550852,13989525,14947472,15671191,16243784,17384516,19992590,21435930,22125528,22667322,23938561,26052064,28431208,30914602,33059135,35517990,35591975,38842392,37818971,37918597,40397316,47893028,47622132,54169968,61594547,65225495,56131989,53923024,59960230,68241710,69758454
"53000","Washington state total","8","CA4","47","...","Plus: Personal current transfer receipts",1076942,1435051,1670997,1784458,2010976,2351723,2907258,3156795,3304299,3583718,4011459,4907174,5702760,6415830,7009549,7369583,7927114,8406582,8854848,9632970,10579015,11626409,13158726,14517326,15543317,16357268,17451665,18279622,18951172,19701084,20915520,22348559,25126716,26660806,27893545,28334919,29923542,32174761,34851922,38422907,45280381,49027928,49050585,49998279,50993106
"53000","Washington state total","8","CA4","50","...","Wages and salaries",9015425,9177709,9395778,10049394,11276445,12614502,14022855,15773673,17809240,20890368,24323855,26948640,29709306,30719740,31689519,33487073,35569396,38104891,40853958,44376327,48532368,53781835,57338835,62165464,64059983,67208547,71124687,76726723,84753565,93722306,103080733,109279037,109689454,110416725,113070544,118020292,124542645,134850708,145238170,150124508,146323091,147961435,154945807,163880200,170790354
"53000","Washington state total","8","CA4","60","...","Supplements to wages and salaries",1264026,1315697,1428946,1603316,1861105,2139396,2521136,2866870,3355579,3957408,4655880,5184441,5908759,6332875,6909024,7580370,8192639,8843788,9357154,10294612,11533528,12976228,14152587,15856554,16849668,17436529,17952424,18464100,19331975,21146580,22107825,23790140,24631238,25330749,27171138,29671688,31516334,32333466,35092633,37228493,36455635,38574187,38730931,40183999,41638393
"53000","Washington state total","8","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",730153,785196,858345,945021,1016096,1170568,1449390,1589552,1863503,2137053,2481533,2830083,3164977,3477617,3853055,4150093,4602485,5002121,5282623,5737042,6641833,7451471,8185810,9307235,9943482,10148938,10381157,10639753,11292234,12269948,12953431,13783669,14801181,15363365,16686549,18422547,19608100,19966357,22251354,24281117,23548748,25089248,24540567,25669342,26553722
"53000","Washington state total","8","CA4","62","...","  Employer contributions for government social insurance",533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057,9967384,10484589,11249141,11908234,12367109,12841279,12947376,12906887,13484939,14190364,14514657,15084671
"53000","Washington state total","8","CA4","70","...","Proprietors' income 9/",1429707,1366772,1462652,1704964,2059089,2352863,2522260,2728535,2794417,3385411,3602398,3782239,3589324,3392342,4114024,4554808,4604530,5298807,5719511,6782051,7130153,7913494,8629076,9483873,10515039,10739805,10465674,11511790,11728139,13992855,14835019,16101562,17345442,18883544,19631971,20810572,21162957,22494654,21460052,20773375,18852188,20265748,22515377,24073381,25278523
"53000","Washington state total","8","CA4","71","...","  Farm proprietors' income",284898,218641,276113,392322,614630,719039,695731,479837,361046,489313,445841,552840,556061,404968,713180,666458,386774,713969,729408,602217,682088,625527,686541,954511,1103504,750033,673984,1035103,579416,710072,344030,562523,399419,559182,1010966,1011398,549551,570799,971179,1033676,531515,1005927,1888744,1341767,1372427
"53000","Washington state total","8","CA4","72","...","  Nonfarm proprietors' income",1144809,1148131,1186539,1312642,1444459,1633824,1826529,2248698,2433371,2896098,3156557,3229399,3033263,2987374,3400844,3888350,4217756,4584838,4990103,6179834,6448065,7287967,7942535,8529362,9411535,9989772,9791690,10476687,11148723,13282783,14490989,15539039,16946023,18324362,18621005,19799174,20613406,21923855,20488873,19739699,18320673,19259821,20626633,22731614,23906096
"53000","Washington state total","8","CA4","7010","...","Total employment",1538783,1491143,1456722,1480987,1558344,1621514,1658770,1738939,1815067,1938600,2057909,2104574,2118874,2093972,2140060,2213531,2277144,2351448,2470016,2599556,2717905,2842491,2877018,2906917,2950534,3059952,3101334,3192307,3298010,3382438,3444324,3525394,3508981,3482604,3510293,3582258,3683123,3795160,3924408,3955956,3821836,3764084,3807056,3862084,3984905
"53000","Washington state total","8","CA4","7020","...","  Wage and salary employment",1326628,1282137,1246579,1259519,1328190,1379814,1403902,1469542,1534803,1651433,1759758,1786364,1796965,1751505,1768548,1831724,1880806,1939261,2030090,2131845,2243157,2350085,2368304,2403013,2441864,2500142,2547642,2614355,2712708,2789554,2854408,2910707,2901956,2865875,2876485,2916727,2986414,3077150,3149744,3184941,3049673,2999375,3031988,3093232,3202280
"53000","Washington state total","8","CA4","7040","...","  Proprietors employment",212155,209006,210143,221468,230154,241700,254868,269397,280264,287167,298151,318210,321909,342467,371512,381807,396338,412187,439926,467711,474748,492406,508714,503904,508670,559810,553692,577952,585302,592884,589916,614687,607025,616729,633808,665531,696709,718010,774664,771015,772163,764709,775068,768852,782625
"53001","Adams, WA ","8","CA4","10","...","Personal income (thousands of dollars)",50577,58571,61726,70262,87983,110217,126891,112319,105740,114951,113771,145699,154467,141940,202437,194921,184713,209764,185624,206647,210495,248472,240643,266738,307724,294782,301531,332472,330065,349895,340567,361843,376318,394148,418308,430830,439905,470824,531901,592622,557762,620286,722000,760825,781611
"53001","Adams, WA ","8","CA4","11","...","  Nonfarm personal income 1/",35548,38887,41240,46797,53166,60115,69162,74927,79714,87833,94833,98034,117927,127155,137594,144906,148827,151474,152916,151832,164729,183700,198608,217456,238680,247020,254848,272802,282374,301556,308727,314026,339454,339809,351374,368574,381087,415727,445242,501701,502104,527731,582278,644175,651986
"53001","Adams, WA ","8","CA4","12","...","  Farm income 2/",15029,19684,20486,23465,34817,50102,57729,37392,26026,27118,18938,47665,36540,14785,64843,50015,35886,58290,32708,54815,45766,64772,42035,49282,69044,47762,46683,59670,47691,48339,31840,47817,36864,54339,66934,62256,58818,55097,86659,90921,55658,92555,139722,116650,129625
"53001","Adams, WA ","8","CA4","20","...","Population (persons) 3/",11219,12125,12474,12378,12558,12423,12658,13429,13632,13605,13703,13259,13202,13240,13403,13533,13618,13482,13599,13476,13575,13636,14100,14476,14932,15646,15711,15860,16042,16194,16239,16458,16259,16445,16612,16664,16918,16997,17413,17782,18405,18765,18839,18934,19067
"53001","Adams, WA ","8","CA4","30","...","Per capita personal income (dollars) 4/",4508,4831,4948,5676,7006,8872,10025,8364,7757,8449,8303,10989,11700,10721,15104,14403,13564,15559,13650,15334,15506,18222,17067,18426,20608,18841,19192,20963,20575,21606,20972,21986,23145,23968,25181,25854,26002,27700,30546,33327,30305,33055,38325,40183,40993
"53001","Adams, WA ","8","CA4","35","...","Earnings by place of work",42303,49643,51997,59349,72566,92697,107206,94150,86824,93279,90210,121573,115163,96984,152098,138835,125790,152390,128419,152007,149667,182517,171537,186090,217502,201784,204388,227343,218922,236723,227845,247706,248228,274942,295155,299592,310287,321033,364001,381271,346948,402016,463794,452179,474568
"53001","Adams, WA ","8","CA4","36","...","Less: Contributions for government social insurance 5/",2260,2487,2704,3280,3938,4629,5526,6658,7222,7981,8756,9125,10280,10794,11620,12184,12532,13279,13411,13876,15098,17740,19434,20399,22066,22762,23829,24539,23755,25615,26300,27419,28322,29170,30342,31445,33955,35945,36686,38445,39457,41681,39808,40984,46171
"53001","Adams, WA ","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",908,1000,1081,1285,1556,1828,2148,2419,2565,2835,3148,3321,3861,4201,4436,4558,4892,5223,5361,5758,6328,6974,7736,8050,8526,8961,9389,9817,10079,10696,10885,11148,11442,12083,12506,12963,14040,15765,16706,17627,17924,18500,15446,15533,20124
"53001","Adams, WA ","8","CA4","38","...","  Employer contributions for government social insurance",1352,1487,1623,1995,2382,2801,3378,4239,4657,5146,5608,5804,6419,6593,7184,7626,7640,8056,8050,8118,8770,10766,11698,12349,13540,13801,14440,14722,13676,14919,15415,16271,16880,17087,17836,18482,19915,20180,19980,20818,21533,23181,24362,25451,26047
