"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"54000","West Virginia state total","5","CA4","10","...","Personal income (thousands of dollars)",4937940,5498992,6033654,6678475,7301761,8092684,9145345,10184212,11390258,12678219,14143090,15551422,16955564,17963649,18443609,19834253,20656256,21164791,21696598,23140463,24509565,26100381,27188446,29300856,30384331,31675691,32710697,34035829,35459837,36878357,37789589,39927254,41960800,43712194,44802084,46384074,48087773,51653779,53603638,57048009,57759923,58958749,62990103,65244567,65888889
"54000","West Virginia state total","5","CA4","11","...","  Nonfarm personal income 1/",4907101,5473225,6008547,6647827,7257654,8064269,9131479,10180900,11392399,12666047,14126213,15542990,16978356,17992456,18460599,19813071,20636793,21119159,21692245,23137799,24479014,26058315,27155886,29244141,30324949,31620237,32692722,34032573,35466144,36884261,37811603,39918239,41941014,43752812,44822054,46360802,48083000,51686277,53671076,57106905,57829994,59040078,63026969,65265340,65906845
"54000","West Virginia state total","5","CA4","12","...","  Farm income 2/",30839,25767,25107,30648,44107,28415,13866,3312,-2141,12172,16877,8432,-22792,-28807,-16990,21182,19463,45632,4353,2664,30551,42066,32560,56715,59382,55454,17975,3256,-6307,-5904,-22014,9015,19786,-40618,-19970,23272,4773,-32498,-67438,-58896,-70071,-81329,-36866,-20773,-17956
"54000","West Virginia state total","5","CA4","20","...","Population (persons) 3/",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854146,1855184,1856680,1854304
"54000","West Virginia state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2828,3148,3408,3717,4045,4461,4969,5425,5977,6602,7294,7970,8677,9214,9482,10289,10833,11244,11680,12644,13567,14560,15115,16220,16717,17400,17936,18672,19493,20312,20857,22096,23292,24212,24721,25536,26415,28258,29227,30999,31259,31798,33954,35140,35533
"54000","West Virginia state total","5","CA4","35","...","Earnings by place of work",4179896,4575054,4962391,5484004,5937567,6523627,7251474,8165171,9227325,10315016,11385672,12101649,12772095,13103320,12973720,14040263,14574951,14765075,15167370,16287808,16971327,18161269,18796445,20001102,20789486,21878034,22460733,23117891,24007331,24848812,25741403,27165374,28208600,28944549,29791309,31491877,33046761,35226426,35600701,37745921,37242312,38081721,40608897,42235875,42916685
"54000","West Virginia state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",323431,349685,394920,454649,567826,647589,710757,818832,917593,1058367,1212117,1310531,1483588,1571511,1570721,1737026,1827922,1921373,1992005,2190267,2309620,2502353,2662533,2839568,3058984,3205308,3351520,3454383,3548056,3721080,3826550,4141368,4114559,4061474,4253956,4380963,4571329,4629500,4508458,4546885,4600217,4707604,4398481,4521893,5083045
"54000","West Virginia state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",142838,155038,173692,198740,244567,277962,308308,347281,382795,432875,503163,545696,625461,663588,655701,708138,769115,812463,848214,941398,1016011,1092446,1156771,1214268,1271219,1361382,1428790,1458561,1506546,1545231,1605260,1658500,1754041,1777768,1859669,1959592,2074934,2216704,2336909,2466805,2474754,2534756,2117920,2170200,2749724
"54000","West Virginia state total","5","CA4","38","...","  Employer contributions for government social insurance",180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518,2283706,2394287,2421371,2496395,2412796,2171549,2080080,2125463,2172848,2280561,2351693,2333321
"54000","West Virginia state total","5","CA4","42","...","Plus: Adjustment for residence 6/",-72409,-75021,-90243,-102315,-104733,-119182,-124020,-152099,-184598,-213819,-224344,-246948,-226238,-169671,-145082,-112382,-107356,-85510,-25672,8223,95482,92439,74493,134460,132249,181507,224820,235720,394144,440743,502875,627772,747630,791163,875468,952729,1064456,1081049,1184876,1124957,1072498,1236020,1255255,1089211,1046560
"54000","West Virginia state total","5","CA4","45","...","Equals: Net earnings by place of residence",3784056,4150348,4477228,4927040,5265008,5756856,6416697,7194240,8125134,9042830,9949211,10544170,11062269,11362138,11257917,12190855,12639673,12758192,13149693,14105764,14757189,15751355,16208405,17295994,17862751,18854233,19334033,19899228,20853419,21568475,22417728,23651778,24841671,25674238,26412821,28063643,29539888,31677975,32277119,34323993,33714593,34610137,37465671,38803193,38880200
"54000","West Virginia state total","5","CA4","46","...","Plus: Dividends, interest, and rent 7/",555007,626887,685886,753953,850446,992086,1128093,1236133,1393610,1555160,1758531,2177486,2696233,3095812,3300118,3674741,3873088,4005699,4023238,4264873,4728222,4962124,4917218,5051480,5116423,5314665,5646868,5991323,6276889,6674916,6547473,7014308,7064283,6907888,6649690,6755222,6805681,7321028,8022354,8439460,8105602,7766694,8676972,9146521,9368319
"54000","West Virginia state total","5","CA4","47","...","Plus: Personal current transfer receipts",598877,721757,870540,997482,1186307,1343742,1600555,1753839,1871514,2080229,2435348,2829766,3197062,3505699,3885574,3968657,4143495,4400900,4523667,4769826,5024154,5386902,6062823,6953382,7405157,7506793,7729796,8145278,8329529,8634966,8824388,9261168,10054846,11130068,11739573,11565209,11742204,12654776,13304165,14284556,15939728,16581918,16847460,17294853,17640370
"54000","West Virginia state total","5","CA4","50","...","Wages and salaries",3329188,3648091,3953930,4335330,4669582,5112908,5704433,6462016,7202367,8009180,8880564,9517758,10045514,10319518,10016720,10681229,11037425,11234837,11520344,12029611,12417659,13256084,13656324,14352422,14794845,15616248,16158516,16699090,17262432,17901595,18473498,19249275,19983879,20415894,20817191,21890795,22830823,24140862,25172626,26721407,26718145,27275782,28621665,29470847,29521197
"54000","West Virginia state total","5","CA4","60","...","Supplements to wages and salaries",452301,501115,560730,647015,720391,812691,894868,1017817,1181983,1340073,1523955,1677185,1832085,1931350,2033708,2219077,2371335,2556102,2700137,2726477,2924967,3162375,3381481,3780057,4052859,4224115,4249254,4392268,4515926,4699160,4896719,5301781,5453171,5590010,5938518,6209216,6494161,7044796,6916443,7138814,7118484,7156768,7551949,7996625,8367841
"54000","West Virginia state total","5","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",271708,306468,339502,391106,397132,443064,492419,546266,647185,714581,815001,912350,973958,1023427,1118688,1190189,1312528,1447192,1556346,1477608,1631358,1752468,1875719,2154757,2265094,2380189,2326524,2396446,2474416,2523311,2675429,2818913,3092653,3306304,3544231,3787845,3997766,4632000,4744894,5058734,4993021,4983920,5271388,5644932,6034520
"54000","West Virginia state total","5","CA4","62","...","  Employer contributions for government social insurance",180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518,2283706,2394287,2421371,2496395,2412796,2171549,2080080,2125463,2172848,2280561,2351693,2333321
"54000","West Virginia state total","5","CA4","70","...","Proprietors' income 9/",398407,425848,447731,501659,547594,598028,652173,685338,842975,965763,981153,906706,894496,852452,923292,1139957,1166191,974136,946889,1531720,1628701,1742810,1758640,1868623,1941782,2037671,2052963,2026533,2228973,2248057,2371186,2614318,2771550,2938645,3035600,3391866,3721777,4040768,3511632,3885700,3405683,3649171,4435283,4768403,5027647
"54000","West Virginia state total","5","CA4","71","...","  Farm proprietors' income",18998,13411,12735,19888,29470,14898,4224,-10464,-14341,-6731,-3761,-12963,-43740,-52124,-39050,-440,-1890,25816,-15008,-18667,7756,15938,8027,33363,35647,33666,-4459,-17636,-27429,-29579,-46690,-13885,-7948,-74090,-56281,-11586,-22488,-62109,-99960,-91033,-100669,-110554,-62442,-58444,-58315
"54000","West Virginia state total","5","CA4","72","...","  Nonfarm proprietors' income",379409,412437,434996,481771,518124,583130,647949,695802,857316,972494,984914,919669,938236,904576,962342,1140397,1168081,948320,961897,1550387,1620945,1726872,1750613,1835260,1906135,2004005,2057422,2044169,2256402,2277636,2417876,2628203,2779498,3012735,3091881,3403452,3744265,4102877,3611592,3976733,3506352,3759725,4497725,4826847,5085962
"54000","West Virginia state total","5","CA4","7010","...","Total employment",651782,659514,669717,683606,699804,711453,717096,739036,757752,780911,790391,782029,761627,740403,721543,732296,731881,731131,738242,750513,757104,777862,778768,789331,801180,822272,838499,846838,858297,868044,868813,875472,873856,872564,869853,880551,890862,904647,916953,920657,901849,900456,910550,920364,915638
"54000","West Virginia state total","5","CA4","7020","...","  Wage and salary employment",559232,567265,577037,589827,604328,612571,616529,639984,657812,679852,687986,674453,653154,631613,607112,617198,615160,612989,615225,624878,631030,646214,646496,658436,669981,688189,698545,705856,712910,722362,724303,729135,726701,726315,721096,729955,736345,745964,750722,754679,736679,734594,742909,752478,744520
