"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2008","2009","2010","2011","2012","2013"
"01998","Alabama (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",89.1,89.0,90.4,92.3,94.3,95.2
"01999","Alabama (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",80.6,80.1,84.2,86.1,88.2,88.8
"02998","Alaska (Metropolitan Portion)","8","IRPD1","1","...","Implicit regional price deflator",109.8,110.1,110.7,113.4,116.7,117.8
"02999","Alaska (Nonmetropolitan Portion)","8","IRPD1","1","...","Implicit regional price deflator",100.2,99.6,100.1,101.4,104.2,105.6
"04998","Arizona (Metropolitan Portion)","6","IRPD1","1","...","Implicit regional price deflator",100.8,100.2,100.3,102.1,104.0,104.6
"04999","Arizona (Nonmetropolitan Portion)","6","IRPD1","1","...","Implicit regional price deflator",89.8,88.9,90.4,91.0,93.3,95.5
"05998","Arkansas (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",89.4,88.9,90.7,92.8,94.2,95.6
"05999","Arkansas (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",81.9,81.8,85.3,87.5,89.8,90.2
"06998","California (Metropolitan Portion)","8","IRPD1","1","...","Implicit regional price deflator",113.2,112.9,115.7,118.3,120.1,120.8
"06999","California (Nonmetropolitan Portion)","8","IRPD1","1","...","Implicit regional price deflator",100.3,98.7,100.4,101.7,103.0,104.4
"08998","Colorado (Metropolitan Portion)","7","IRPD1","1","...","Implicit regional price deflator",100.4,101.5,103.4,106.5,108.9,110.7
"08999","Colorado (Nonmetropolitan Portion)","7","IRPD1","1","...","Implicit regional price deflator",98.8,96.5,97.5,99.5,101.2,103.1
"09998","Connecticut (Metropolitan Portion)","1","IRPD1","1","...","Implicit regional price deflator",110.8,110.5,111.4,113.7,115.9,116.8
"09999","Connecticut (Nonmetropolitan Portion)","1","IRPD1","1","...","Implicit regional price deflator",104.0,103.7,104.0,105.7,108.5,109.6
"10998","Delaware (Metropolitan Portion)","2","IRPD1","1","...","Implicit regional price deflator",101.8,103.0,104.3,105.9,107.6,108.8
"10999","Delaware (Nonmetropolitan Portion)","2","IRPD1","1","...","Implicit regional price deflator",0.0,0.0,0.0,0.0,0.0,0.0
"11998","District of Columbia (Metropolitan Portion)","2","IRPD1","1","...","Implicit regional price deflator",115.7,116.4,120.2,122.7,125.3,126.5
"11999","District of Columbia (Nonmetropolitan Portion)","2","IRPD1","1","...","Implicit regional price deflator",0.0,0.0,0.0,0.0,0.0,0.0
"12998","Florida (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",101.0,100.1,100.9,103.5,105.1,106.4
"12999","Florida (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",89.5,89.4,91.4,93.0,94.4,95.0
"13998","Georgia (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",95.5,94.8,95.2,97.1,98.9,100.1
"13999","Georgia (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",84.1,84.3,86.3,88.6,89.5,90.7
"15998","Hawaii (Metropolitan Portion)","8","IRPD1","1","...","Implicit regional price deflator",120.7,120.0,122.3,125.2,127.7,127.8
"15999","Hawaii (Nonmetropolitan Portion)","8","IRPD1","1","...","Implicit regional price deflator",104.2,100.4,102.7,103.3,105.2,105.9
"16998","Idaho (Metropolitan Portion)","7","IRPD1","1","...","Implicit regional price deflator",95.1,94.9,95.6,97.2,99.8,100.0
"16999","Idaho (Nonmetropolitan Portion)","7","IRPD1","1","...","Implicit regional price deflator",94.1,92.8,92.7,95.6,96.7,97.4
"17998","Illinois (Metropolitan Portion)","3","IRPD1","1","...","Implicit regional price deflator",102.4,103.0,104.6,107.3,108.8,110.7
"17999","Illinois (Nonmetropolitan Portion)","3","IRPD1","1","...","Implicit regional price deflator",81.2,82.2,85.0,87.5,89.7,90.2
"18998","Indiana (Metropolitan Portion)","3","IRPD1","1","...","Implicit regional price deflator",92.7,92.9,94.3,96.9,98.2,99.6
"18999","Indiana (Nonmetropolitan Portion)","3","IRPD1","1","...","Implicit regional price deflator",83.1,83.0,84.9,87.6,89.4,90.5
"19998","Iowa (Metropolitan Portion)","4","IRPD1","1","...","Implicit regional price deflator",92.2,92.4,94.1,96.7,98.4,99.9
"19999","Iowa (Nonmetropolitan Portion)","4","IRPD1","1","...","Implicit regional price deflator",82.7,83.3,85.2,88.8,90.7,92.2
"20998","Kansas (Metropolitan Portion)","4","IRPD1","1","...","Implicit regional price deflator",92.0,92.0,94.1,97.0,98.4,100.0
"20999","Kansas (Nonmetropolitan Portion)","4","IRPD1","1","...","Implicit regional price deflator",81.8,82.8,84.3,87.7,89.8,91.1
"21998","Kentucky (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",90.9,90.9,91.6,93.9,95.8,97.2
"21999","Kentucky (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",84.6,84.2,86.6,89.0,90.7,92.4
"22998","Louisiana (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",92.3,92.7,93.8,96.0,98.0,99.3
"22999","Louisiana (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",80.7,82.8,85.8,87.2,89.9,89.7
"23998","Maine (Metropolitan Portion)","1","IRPD1","1","...","Implicit regional price deflator",99.2,99.6,99.7,102.6,105.3,106.0
"23999","Maine (Nonmetropolitan Portion)","1","IRPD1","1","...","Implicit regional price deflator",95.3,94.9,95.8,98.6,101.2,101.5
"24998","Maryland (Metropolitan Portion)","2","IRPD1","1","...","Implicit regional price deflator",111.1,112.1,113.6,116.5,118.3,119.9
"24999","Maryland (Nonmetropolitan Portion)","2","IRPD1","1","...","Implicit regional price deflator",90.9,89.2,91.8,92.2,95.4,97.4
"25998","Massachusetts (Metropolitan Portion)","1","IRPD1","1","...","Implicit regional price deflator",108.4,107.9,109.8,112.3,113.3,115.3
"25999","Massachusetts (Nonmetropolitan Portion)","1","IRPD1","1","...","Implicit regional price deflator",99.7,99.8,101.4,103.4,104.3,106.4
"26998","Michigan (Metropolitan Portion)","3","IRPD1","1","...","Implicit regional price deflator",96.8,96.4,97.5,99.7,101.5,102.3
"26999","Michigan (Nonmetropolitan Portion)","3","IRPD1","1","...","Implicit regional price deflator",85.4,85.5,87.4,89.9,92.0,92.7
"27998","Minnesota (Metropolitan Portion)","4","IRPD1","1","...","Implicit regional price deflator",100.5,100.7,101.7,104.1,106.5,107.8
"27999","Minnesota (Nonmetropolitan Portion)","4","IRPD1","1","...","Implicit regional price deflator",84.1,84.9,86.6,89.0,91.8,92.8
"28998","Mississippi (Metropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",91.3,91.1,92.0,93.7,95.2,96.6
"28999","Mississippi (Nonmetropolitan Portion)","5","IRPD1","1","...","Implicit regional price deflator",81.3,80.7,84.2,86.8,87.7,89.1
