"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2008","2009","2010","2011","2012","2013"
"00000","United States","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",12421207863,12080223000,12215765573,12664464509,13080226733,13184554113
"00000","United States","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",40847,39379,39492,40646,41674,41706
"01998","Alabama (Metropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",141412333,139214133,141816603,144769889,145981118,146899684
"01998","Alabama (Metropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39857,38808,39233,39835,39948,39980
"01999","Alabama (Nonmetropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",41084618,41132658,40437693,40133505,40257524,41119088
"01999","Alabama (Nonmetropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",35109,35137,34537,34379,34608,35467
"02998","Alaska (Metropolitan Portion)","8","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",19718757,19575712,20399793,21288297,21576156,21580044
"02998","Alaska (Metropolitan Portion)","8","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",42850,41668,42382,43707,43829,43458
"02999","Alaska (Nonmetropolitan Portion)","8","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",9282887,9365093,9939071,10562103,10816088,10838342
"02999","Alaska (Nonmetropolitan Portion)","8","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",40845,40879,42742,44697,45441,45433
"04998","Arizona (Metropolitan Portion)","6","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",214049182,206082701,207973540,215650485,221450815,224944839
"04998","Arizona (Metropolitan Portion)","6","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",36050,34362,34302,35223,35689,35815
"04999","Arizona (Nonmetropolitan Portion)","6","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",9942382,10186038,10130793,10449018,10332329,10325454
"04999","Arizona (Nonmetropolitan Portion)","6","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",29000,29454,29300,30161,29852,29848
"05998","Arkansas (Metropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",67001428,66606098,66562923,70032810,74378174,74204739
"05998","Arkansas (Metropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39138,38397,37867,39421,41503,41059
"05999","Arkansas (Nonmetropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",40548547,39686837,38886936,40166639,41635524,41751667
"05999","Arkansas (Nonmetropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",34877,34149,33394,34568,35963,36240
"06998","California (Metropolitan Portion)","8","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",1384569420,1335734225,1338811578,1398386216,1475436950,1508811186
"06998","California (Metropolitan Portion)","8","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",38716,36983,36691,37972,39701,40233
"06999","California (Nonmetropolitan Portion)","8","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",29187892,28942192,29269115,30690180,31576064,31957252
"06999","California (Nonmetropolitan Portion)","8","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",34641,34291,34628,36472,37781,38466
"08998","Colorado (Metropolitan Portion)","7","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",185600346,179186269,179791275,187561641,195329133,197467748
"08998","Colorado (Metropolitan Portion)","7","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",44081,41825,41229,42320,43370,43109
"08999","Colorado (Nonmetropolitan Portion)","7","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",26140464,25472972,25256135,26451230,27330540,27591625
"08999","Colorado (Nonmetropolitan Portion)","7","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",38484,37024,36743,38538,39859,40119
"09998","Connecticut (Metropolitan Portion)","1","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",170491842,164763652,168736073,172871986,177548221,177676188
"09998","Connecticut (Metropolitan Portion)","1","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",50811,48865,49783,50845,52155,52117
"09999","Connecticut (Nonmetropolitan Portion)","1","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",9495855,9157722,9260295,9404862,9689127,9679625
"09999","Connecticut (Nonmetropolitan Portion)","1","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",49932,48195,48804,49775,51671,51784
"10998","Delaware (Metropolitan Portion)","2","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",35943992,35368495,35331229,36615719,37510540,38136154
"10998","Delaware (Metropolitan Portion)","2","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",40666,39663,39270,40326,40903,41195
"10999","Delaware (Nonmetropolitan Portion)","2","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",0,0,0,0,0,0
"10999","Delaware (Nonmetropolitan Portion)","2","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",0,0,0,0,0,0
"11998","District of Columbia (Metropolitan Portion)","2","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",34974235,34466100,34942278,37411932,38406709,38496251
"11998","District of Columbia (Metropolitan Portion)","2","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",60276,58197,57744,60378,60633,59550
"11999","District of Columbia (Nonmetropolitan Portion)","2","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",0,0,0,0,0,0
"11999","District of Columbia (Nonmetropolitan Portion)","2","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",0,0,0,0,0,0
"12998","Florida (Metropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",708282774,676154718,698538983,720809238,734214144,741977370
"12998","Florida (Metropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39743,37676,38510,39220,39437,39362
"12999","Florida (Nonmetropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",22631409,21938196,22516863,22794358,22499021,22824613
"12999","Florida (Nonmetropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",32073,31070,31857,32333,31987,32484
"13998","Georgia (Metropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",305172607,298425141,299871483,315714363,319957579,323799360
"13998","Georgia (Metropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39408,38006,37784,39295,39301,39392
"13999","Georgia (Nonmetropolitan Portion)","5","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",57490097,56480659,55692471,57483346,58848723,59541651
"13999","Georgia (Nonmetropolitan Portion)","5","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",32647,31930,31345,32373,33164,33597
"15998","Hawaii (Metropolitan Portion)","8","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",38902886,39690306,39754338,40460375,41546361,42397341
"15998","Hawaii (Metropolitan Portion)","8","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",35852,36195,35775,36052,36665,37070
