"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",395971,443561,474234,539294,579305,653309,767316,847447,920462,1057503,1205685,1392378,1678049,1794872,1872098,1994412,2118401,2109959,2080216,2172339,2259072,2313989,2376433,2538036,2663665,2722081,2918059,3109606,3329032,3490073,3639311,3741391,3826121,3957936,4181505,4363728,4588171,4863397,5211004,5811434,5465772,5685546,6111898,6546641,6743442
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",379737,420624,453566,510480,551737,644673,746156,830081,907821,1047825,1185411,1381911,1632064,1771902,1863846,1984297,2118313,2099223,2052190,2157442,2240810,2275903,2362470,2501580,2633192,2702753,2900682,3103443,3306284,3481811,3609213,3733831,3789272,3942513,4150468,4327070,4557420,4855521,5178716,5799106,5473647,5667656,6077050,6535123,6714535
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","12","...","  Farm income 2/",16234,22937,20668,28814,27568,8636,21160,17366,12641,9678,20274,10467,45985,22970,8252,10115,88,10736,28026,14897,18262,38086,13963,36456,30473,19328,17377,6163,22748,8262,30098,7560,36849,15423,31037,36658,30751,7876,32288,12328,-7875,17890,34848,11518,28907
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","20","...","Population (persons) 3/",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165627,166571,167422,167501
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",3164,3621,3799,4196,4542,5079,5856,6354,6918,7865,8826,9939,11709,12054,12241,12986,13803,13610,13538,14478,15129,15653,16122,16930,17420,17701,18694,19889,21149,22052,22781,23342,24076,24891,26330,27247,28540,30135,32162,35761,33351,34327,36692,39103,40259
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","35","...","Earnings by place of work",314729,345979,368356,422340,447399,497097,584070,651164,708931,816539,937428,1065538,1294100,1341563,1380153,1458270,1531516,1507396,1458880,1536674,1541677,1596896,1640392,1759145,1834506,1895221,1995628,2131048,2326369,2432863,2579609,2598895,2624485,2735248,2881425,3049622,3149056,3371812,3530409,3826303,3566446,3702008,3922694,4193297,4375425
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",18303,19934,22303,26147,31846,38282,44278,50603,55793,65480,78599,91347,116795,125452,129737,140379,150084,144782,138648,152195,154717,156668,168262,176727,184213,193361,203789,214107,227052,232301,240171,244306,250336,265072,281431,297861,310484,329193,350931,372128,370740,379585,352407,370810,428819
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","37","...","  Employee and self-employed contributions for government social insurance",9557,10240,11245,12840,16168,19433,21820,24307,27126,31809,38339,45176,58172,62749,63935,67973,75158,72967,69596,77849,80934,81181,87427,91460,95847,101582,108123,113405,120785,123957,128823,129272,130043,137857,142218,150841,158189,168976,180966,194843,192634,193711,160014,167408,221904
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","38","...","  Employer contributions for government social insurance",8746,9694,11058,13307,15678,18849,22458,26296,28667,33671,40260,46171,58623,62703,65802,72406,74926,71815,69052,74346,73783,75487,80835,85267,88366,91779,95666,100702,106267,108344,111348,115034,120293,127215,139213,147020,152295,160217,169965,177285,178106,185874,192393,203402,206915
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","42","...","Plus: Adjustment for residence 6/",1495,1863,2003,2373,2458,1630,1702,2096,2173,1512,1126,448,-3092,-1662,-2141,-2560,-2358,-274,1559,3369,7498,10283,5066,6192,6245,4630,3561,3165,4426,6403,7632,10171,13140,7951,7293,8016,9562,9925,9082,10613,8354,13303,20459,28918,31971
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","45","...","Equals: Net earnings by place of residence",297921,327908,348056,398566,418011,460445,541494,602657,655311,752571,859955,974639,1174213,1214449,1248275,1315331,1379074,1362340,1321791,1387848,1394458,1450511,1477196,1588610,1656538,1706490,1795400,1920106,2103743,2206965,2347070,2364760,2387289,2478127,2607287,2759777,2848134,3052544,3188560,3464788,3204060,3335726,3590746,3851405,3978577
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","46","...","Plus: Dividends, interest, and rent 7/",61986,73938,78915,88372,98238,118961,137034,147947,162328,190791,218885,273241,341320,399580,426504,468596,514260,501209,498299,513193,574822,543302,542650,542405,579228,557362,624395,657686,668241,720342,709218,772092,785508,775721,822123,811404,881822,907077,1035267,1288693,1099046,1101442,1240650,1394588,1417406
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","47","...","Plus: Personal current transfer receipts",36064,41715,47263,52356,63056,73903,88788,96843,102823,114141,126845,144498,162516,180843,197319,210485,225067,246410,260126,271298,289792,320176,356587,407021,427899,458229,498264,531814,557048,562766,583023,604539,653324,704088,752095,792547,858215,903776,987177,1057953,1162666,1248378,1280502,1300648,1347459
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","50","...","Wages and salaries",218185,236292,249548,278856,301142,348993,399172,448605,493585,571585,658845,770495,932330,983732,1004620,1057472,1111736,1069321,1048135,1082213,1079104,1113500,1171151,1220236,1265364,1320096,1391952,1468377,1560962,1609599,1657912,1727250,1771266,1855158,1908516,2007235,2082791,2236308,2407264,2546456,2487018,2497994,2590361,2736198,2831222
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","60","...","Supplements to wages and salaries",31889,36591,41225,49146,50177,60062,75469,85377,94135,107150,123970,144669,175175,193371,207594,220843,234102,238632,235281,244352,256605,265470,287416,300576,311678,320713,331500,340844,353990,365229,381825,400541,416841,456383,507908,534073,551983,579870,598083,608591,630546,664025,663890,696437,713512
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",23143,26897,30167,35839,34499,41213,53011,59081,65468,73479,83710,98498,116552,130668,141792,148437,159176,166817,166229,170006,182822,189983,206581,215309,223312,228934,235834,240142,247723,256885,270477,285507,296548,329168,368695,387053,399688,419653,428118,431306,452440,478151,471497,493035,506597
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","62","...","  Employer contributions for government social insurance",8746,9694,11058,13307,15678,18849,22458,26296,28667,33671,40260,46171,58623,62703,65802,72406,74926,71815,69052,74346,73783,75487,80835,85267,88366,91779,95666,100702,106267,108344,111348,115034,120293,127215,139213,147020,152295,160217,169965,177285,178106,185874,192393,203402,206915
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","70","...","Proprietors' income 9/",64655,73096,77583,94338,96080,88042,109429,117182,121211,137804,154613,150374,186595,164460,167939,179955,185678,199443,175464,210109,205968,217926,181825,238333,257464,254412,272176,321827,411417,458035,539872,471104,436378,423707,465001,508314,514282,555634,525062,671256,448882,539989,668443,760662,830691
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","71","...","  Farm proprietors' income",13575,20410,18368,26512,25302,6415,18823,14761,9462,5800,16303,6609,42453,19172,4467,6197,-4031,6753,23856,10172,13156,32101,8084,30966,24944,14651,12477,1736,18601,3795,24724,2004,30201,10472,25267,30891,24620,3214,27060,6417,-13378,12501,28629,4910,22660
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","72","...","  Nonfarm proprietors' income",51080,52686,59215,67826,70778,81627,90606,102421,111749,132004,138310,143765,144142,145288,163472,173758,189709,192690,151608,199937,192812,185825,173741,207367,232520,239761,259699,320091,392816,454240,515148,469100,406177,413235,439734,477423,489662,552420,498002,664839,462260,527488,639814,755752,808031
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","7010","...","Total employment",56041,56215,56614,59092,60359,63366,65822,68298,69994,72932,75773,78280,84737,86685,86693,87720,88722,83720,82965,83645,82367,80942,82259,82277,84362,85682,88181,89587,91934,92579,91440,91030,89515,90398,91995,93423,94657,95582,97669,99731,97855,97157,98608,100470,101869
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","7020","...","  Wage and salary employment",43868,43715,44341,46130,47080,49929,52252,54082,54928,57373,60084,62186,66688,67347,66102,66976,67700,64479,61901,62006,61644,60277,61488,62083,63524,64538,67250,68545,70319,70846,70465,69419,68799,69942,70153,70847,71115,71751,73100,75054,73000,71868,72473,73348,74119
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","7040","...","  Proprietors employment",12173,12500,12273,12962,13279,13437,13570,14216,15066,15559,15689,16094,18049,19338,20591,20744,21022,19241,21064,21639,20723,20665,20771,20194,20838,21144,20931,21042,21615,21733,20975,21611,20716,20456,21842,22576,23542,23831,24569,24677,24855,25289,26135,27122,27750
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",2721371,2837126,2987986,3260687,3561357,3875437,4109115,4413597,4932337,5460620,6001997,6592957,7219046,7544058,7970253,8680586,9194298,9621112,10078442,10744697,11719430,12373824,12661425,13555125,14168305,15042354,15953574,16789127,17766575,18896648,19577386,20759334,20950429,21315035,22169663,22995085,23893569,25196505,26324506,26969414,26260437,26761719,28337002,29606464,30153560
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",2715687,2830749,2979148,3251827,3550052,3861564,4096890,4402724,4924163,5458403,6000116,6592975,7218325,7541176,7969889,8670747,9188735,9615870,10073266,10741266,11713397,12368755,12657407,13546327,14158852,15030208,15945518,16775577,17751519,18885962,19568329,20752348,20943760,21308477,22163489,22988118,23885205,25191610,26317060,26960714,26250001,26756294,28328136,29599966,30142490
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","12","...","  Farm income 2/",5684,6377,8838,8860,11305,13873,12225,10873,8174,2217,1881,-18,721,2882,364,9839,5563,5242,5176,3431,6033,5069,4018,8798,9453,12146,8056,13550,15056,10686,9057,6986,6669,6558,6174,6967,8364,4895,7446,8700,10436,5425,8866,6498,11070
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","20","...","Population (persons) 3/",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,705474,705417,704957,705686
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",4024,4178,4399,4816,5267,5782,6107,6608,7448,8292,9089,9984,10957,11498,12188,13315,14179,14878,15558,16459,17875,18787,19055,20239,21018,22184,23387,24429,25769,27345,28245,29829,30010,30470,31619,32765,34012,35870,37423,38347,37336,37934,40171,41998,42729
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","35","...","Earnings by place of work",2263296,2339127,2435889,2679904,2931984,3136605,3189917,3413126,3875938,4297716,4678716,4919051,5272441,5351517,5632986,6169569,6523199,6874772,7248287,7733971,8324896,8714930,8988476,9659232,10219666,10877392,11376256,12007705,12568156,13412491,13850675,14538715,14720735,15231111,15918652,16781644,17380220,18212943,18761293,19236538,18423349,18788838,19598578,20336003,20836468
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",156403,158576,169666,197372,250765,276803,270258,295638,337775,387518,438962,458075,526076,538767,579166,647822,693342,748895,787366,868905,941017,1005927,1062753,1140104,1217361,1316338,1390839,1454193,1480989,1527836,1567056,1585332,1580602,1609794,1695407,1825157,1897765,1986364,2055280,2138336,2059200,2072086,1933573,1997650,2254198
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","37","...","  Employee and self-employed contributions for government social insurance",70966,72476,77807,87899,111026,123281,123158,130806,147868,167301,191985,204063,237811,245159,255944,280089,307845,333123,351365,387629,425689,451954,477548,508681,544598,592541,626159,657582,687944,728502,755055,783857,785896,816013,842294,886113,931128,984172,1027115,1064748,1021638,1033968,855720,884818,1158459
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","38","...","  Employer contributions for government social insurance",85437,86100,91859,109473,139739,153522,147100,164832,189907,220217,246977,254012,288265,293608,323222,367733,385497,415772,436001,481276,515328,553973,585205,631423,672763,723797,764680,796611,793045,799334,812001,801475,794706,793781,853113,939044,966637,1002192,1028165,1073588,1037562,1038118,1077853,1112832,1095739
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","42","...","Plus: Adjustment for residence 6/",116102,98417,102226,105344,126907,144574,165287,209155,240019,290828,341037,381426,407212,395945,394415,435852,464838,462604,485196,529913,566514,627923,614170,644407,600610,662291,687368,734418,883348,973680,1246570,1357193,1304760,1165759,1136929,1185630,1130915,1148494,1093946,930909,910021,912987,1044320,1280804,1362022
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","45","...","Equals: Net earnings by place of residence",2222995,2278968,2368449,2587876,2808126,3004376,3084946,3326643,3778182,4201026,4580791,4842402,5153577,5208695,5448235,5957599,6294695,6588481,6946117,7394979,7950393,8336926,8539893,9163535,9602915,10223345,10672785,11287930,11970515,12858335,13530189,14310576,14444893,14787076,15360174,16142117,16613370,17375073,17799959,18029111,17274170,17629739,18709325,19619157,19944292
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","46","...","Plus: Dividends, interest, and rent 7/",321299,350602,376369,401406,434872,492363,528922,557765,610799,679683,763343,925016,1147530,1292268,1399714,1567680,1663650,1726564,1758623,1899391,2204127,2277894,2258355,2348731,2412503,2558591,2876221,3013071,3223919,3454689,3387013,3604990,3425225,3232248,3348966,3252894,3513637,3862135,4325396,4381651,3803668,3742632,4135735,4534214,4598559
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","47","...","Plus: Personal current transfer receipts",177077,207556,243168,271405,318359,378698,495247,529189,543356,579911,657863,825539,917939,1043095,1122304,1155307,1235953,1306067,1373702,1450327,1564910,1759004,1863177,2042859,2152887,2260418,2404568,2488126,2572141,2583624,2660184,2843768,3080311,3295711,3460523,3600074,3766562,3959297,4199151,4558652,5182599,5389348,5491942,5453093,5610709
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","50","...","Wages and salaries",1902128,1971033,2039043,2231729,2439354,2611203,2630885,2794043,3153179,3499213,3808118,4002524,4286610,4345119,4515773,4922061,5212547,5478840,5769414,6134063,6476167,6777397,6935074,7367904,7735754,8231825,8666703,9131155,9579990,10136658,10440650,10896407,11002308,11342797,11795609,12452444,12938283,13373322,13933315,14230364,13407690,13626928,14119548,14719721,14874220
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","60","...","Supplements to wages and salaries",223089,234211,251168,294577,328592,361066,382259,405765,475753,535794,598817,647477,708775,749254,824709,908790,982471,1071689,1134133,1225579,1376119,1483565,1579869,1767592,1905661,2025942,2087378,2150696,2194846,2317755,2368818,2455225,2591077,2715499,2924261,3119170,3237578,3443461,3521108,3614922,3426952,3528133,3636369,3664064,3896936
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",137652,148111,159309,185104,188853,207544,235159,240933,285846,315577,351840,393465,420510,455646,501487,541057,596974,655917,698132,744303,860791,929592,994664,1136169,1232898,1302145,1322698,1354085,1401801,1518421,1556817,1653750,1796371,1921718,2071148,2180126,2270941,2441269,2492943,2541334,2389390,2490015,2558516,2551232,2801197
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","62","...","  Employer contributions for government social insurance",85437,86100,91859,109473,139739,153522,147100,164832,189907,220217,246977,254012,288265,293608,323222,367733,385497,415772,436001,481276,515328,553973,585205,631423,672763,723797,764680,796611,793045,799334,812001,801475,794706,793781,853113,939044,966637,1002192,1028165,1073588,1037562,1038118,1077853,1112832,1095739
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","70","...","Proprietors' income 9/",138079,133883,145678,153598,164038,164336,176773,213318,247006,262709,271781,269050,277056,257144,292504,338718,328181,324243,344740,374329,472610,453968,473533,523736,578251,619625,622175,725854,793320,958078,1041207,1187083,1127350,1172815,1198782,1210030,1204359,1396160,1306870,1391252,1588707,1633777,1842661,1952218,2065312
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","71","...","  Farm proprietors' income",3028,2966,5148,4694,6015,7507,5603,4631,4217,90,-558,-2667,-1976,-281,-2679,6811,2491,2351,2279,279,2699,1253,360,4959,5336,8255,4300,9981,11134,6142,4768,2730,2035,2268,1127,1454,3473,178,899,2816,4391,519,3298,-165,3312
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","72","...","  Nonfarm proprietors' income",135051,130917,140530,148904,158023,156829,171170,208687,242789,262619,272339,271717,279032,257425,295183,331907,325690,321892,342461,374050,469911,452715,473173,518777,572915,611370,617875,715873,782186,951936,1036439,1184353,1125315,1170547,1197655,1208576,1200886,1395982,1305971,1388436,1584316,1633258,1839363,1952383,2062000
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","7010","...","Total employment",280847,279931,274958,283207,292971,296332,285325,284907,297537,305459,307763,300754,297681,289691,285981,296150,303855,308919,316920,325266,333052,337124,337813,341070,350680,364299,374193,380965,387561,385609,393201,396767,392627,392574,393637,401028,408944,413970,419723,419610,400466,395748,401049,404649,407541
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","7020","...","  Wage and salary employment",256279,254887,249596,256141,264601,267660,256462,254900,266201,273561,276312,268453,265096,256237,252178,260577,266851,270106,275091,281977,289668,292049,290017,294496,302973,314067,322711,328000,332972,333855,340152,340683,335338,334730,333479,339147,344352,348005,350937,350866,329734,324824,327769,332259,333736
"10420","Akron, OH (Metropolitan Statistical Area)","","CA4","7040","...","  Proprietors employment",24568,25044,25362,27066,28370,28672,28863,30007,31336,31898,31451,32301,32585,33454,33803,35573,37004,38813,41829,43289,43384,45075,47796,46574,47707,50232,51482,52965,54589,51754,53049,56084,57289,57844,60158,61881,64592,65965,68786,68744,70732,70924,73280,72390,73805
"10500","Albany, GA (Metropolitan Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",327783,379876,433462,489268,566336,587184,615977,682030,742458,857866,962361,1066594,1220565,1290103,1375283,1540225,1616375,1684442,1740931,1870197,1999429,2125088,2266999,2386012,2499555,2737388,2889006,3068305,3163081,3293190,3386466,3527098,3741744,3858145,4002073,4119900,4271892,4394788,4595837,4767476,4735401,4825885,5195453,5279385,5317564
"10500","Albany, GA (Metropolitan Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",308348,360835,408084,466556,526507,547160,585758,652419,727334,833572,943016,1076025,1192999,1266268,1355680,1479167,1572129,1639444,1692320,1803830,1947122,2076087,2195077,2307636,2434865,2631859,2790149,2977940,3074847,3217691,3298882,3436983,3642311,3752907,3884222,4030120,4153113,4293900,4492631,4623314,4627502,4709784,5030968,5038866,5088155
